cohort_key	nct	results_group_title_norm	n_observations	observation_ids	om_indices	distinct_om_types	distinct_titles	distinct_time_frames	distinct_constructs	distinct_criteria	distinct_criteria_versions	distinct_population_descriptions	distinct_param_types	distinct_units	distinct_denominator_values	distinct_denominator_states	n_usable_for_proportion	duplicate_encoding_candidate	unresolved_states	selection_status	resolution_note
NCT01320085||binimetinib 45 mg braf	NCT01320085	binimetinib 45 mg braf	1	NCT01320085#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	41	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01320085||binimetinib 45 mg nras	NCT01320085	binimetinib 45 mg nras	1	NCT01320085#om0#OG001	0	PRIMARY	1	1	1	1	1	1	1	1	117	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01320085||binimetinib 60 mg braf	NCT01320085	binimetinib 60 mg braf	1	NCT01320085#om0#OG002	0	PRIMARY	1	1	1	1	1	1	1	1	25	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01321554||randomization phase: lenvatinib 24 mg	NCT01321554	randomization phase: lenvatinib 24 mg	1	NCT01321554#om1#OG000	1	SECONDARY	1	1	1	1	1	1	1	1	261	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01321554||randomization phase: placebo	NCT01321554	randomization phase: placebo	1	NCT01321554#om1#OG001	1	SECONDARY	1	1	1	1	1	1	1	1	131	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 120 mg (a10)	NCT01324830	schedule a bi 847325 120 mg (a10)	2	NCT01324830#om1#OG009|NCT01324830#om2#OG009	1|2	SECONDARY	2	2	2	1	1	1	1	1	6	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 13 mg (a3)	NCT01324830	schedule a bi 847325 13 mg (a3)	2	NCT01324830#om1#OG002|NCT01324830#om2#OG002	1|2	SECONDARY	2	2	2	1	1	1	1	1	3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 160 mg (a11)	NCT01324830	schedule a bi 847325 160 mg (a11)	2	NCT01324830#om1#OG010|NCT01324830#om2#OG010	1|2	SECONDARY	2	2	2	1	1	1	1	1	4	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 19 mg (a4)	NCT01324830	schedule a bi 847325 19 mg (a4)	2	NCT01324830#om1#OG003|NCT01324830#om2#OG003	1|2	SECONDARY	2	2	2	1	1	1	1	1	3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 26 mg (a5)	NCT01324830	schedule a bi 847325 26 mg (a5)	2	NCT01324830#om1#OG004|NCT01324830#om2#OG004	1|2	SECONDARY	2	2	2	1	1	1	1	1	7	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 33 mg (a6)	NCT01324830	schedule a bi 847325 33 mg (a6)	2	NCT01324830#om1#OG005|NCT01324830#om2#OG005	1|2	SECONDARY	2	2	2	1	1	1	1	1	7	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 46 mg (a7)	NCT01324830	schedule a bi 847325 46 mg (a7)	2	NCT01324830#om1#OG006|NCT01324830#om2#OG006	1|2	SECONDARY	2	2	2	1	1	1	1	1	3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 6 mg (a1)	NCT01324830	schedule a bi 847325 6 mg (a1)	2	NCT01324830#om1#OG000|NCT01324830#om2#OG000	1|2	SECONDARY	2	2	2	1	1	1	1	1	3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 63 mg (a8)	NCT01324830	schedule a bi 847325 63 mg (a8)	2	NCT01324830#om1#OG007|NCT01324830#om2#OG007	1|2	SECONDARY	2	2	2	1	1	1	1	1	3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 86 mg (a9)	NCT01324830	schedule a bi 847325 86 mg (a9)	2	NCT01324830#om1#OG008|NCT01324830#om2#OG008	1|2	SECONDARY	2	2	2	1	1	1	1	1	5	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a bi 847325 9 mg (a2)	NCT01324830	schedule a bi 847325 9 mg (a2)	2	NCT01324830#om1#OG001|NCT01324830#om2#OG001	1|2	SECONDARY	2	2	2	1	1	1	1	1	2|3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_DENOMINATORS	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule a total (total a)	NCT01324830	schedule a total (total a)	2	NCT01324830#om1#OG019|NCT01324830#om2#OG019	1|2	SECONDARY	2	2	2	1	1	1	1	1	47	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 12 mg (b2)	NCT01324830	schedule b bi 847325 12 mg (b2)	2	NCT01324830#om1#OG012|NCT01324830#om2#OG012	1|2	SECONDARY	2	2	2	1	1	1	1	1	1	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 130 mg (b7)	NCT01324830	schedule b bi 847325 130 mg (b7)	2	NCT01324830#om1#OG017|NCT01324830#om2#OG017	1|2	SECONDARY	2	2	2	1	1	1	1	1	6	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 150 mg (b8)	NCT01324830	schedule b bi 847325 150 mg (b8)	2	NCT01324830#om1#OG018|NCT01324830#om2#OG018	1|2	SECONDARY	2	2	2	1	1	1	1	1	6	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 180 mg (b6)	NCT01324830	schedule b bi 847325 180 mg (b6)	2	NCT01324830#om1#OG016|NCT01324830#om2#OG016	1|2	SECONDARY	2	2	2	1	1	1	1	1	3	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 23 mg (b3)	NCT01324830	schedule b bi 847325 23 mg (b3)	2	NCT01324830#om1#OG013|NCT01324830#om2#OG013	1|2	SECONDARY	2	2	2	1	1	1	1	1	1	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 46 mg (b4)	NCT01324830	schedule b bi 847325 46 mg (b4)	2	NCT01324830#om1#OG014|NCT01324830#om2#OG014	1|2	SECONDARY	2	2	2	1	1	1	1	1	1	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 6 mg (b1)	NCT01324830	schedule b bi 847325 6 mg (b1)	2	NCT01324830#om1#OG011|NCT01324830#om2#OG011	1|2	SECONDARY	2	2	2	1	1	1	1	1	1	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b bi 847325 90 mg (b5)	NCT01324830	schedule b bi 847325 90 mg (b5)	2	NCT01324830#om1#OG015|NCT01324830#om2#OG015	1|2	SECONDARY	2	2	2	1	1	1	1	1	3|1	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_DENOMINATORS	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||schedule b total (total b)	NCT01324830	schedule b total (total b)	2	NCT01324830#om1#OG020|NCT01324830#om2#OG020	1|2	SECONDARY	2	2	2	1	1	1	1	1	22	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324830||total patients	NCT01324830	total patients	2	NCT01324830#om1#OG021|NCT01324830#om2#OG021	1|2	SECONDARY	2	2	2	1	1	1	1	1	69	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01324947||pomalidomide	NCT01324947	pomalidomide	2	NCT01324947#om0#OG000|NCT01324947#om1#OG000	0|1	PRIMARY|SECONDARY	2	1	1	2	1	2	1	1	74	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325428||part a: afatinib once daily (od)	NCT01325428	part a: afatinib once daily (od)	3	NCT01325428#om2#OG000|NCT01325428#om4#OG000|NCT01325428#om6#OG000	2|4|6	SECONDARY	3	3	1	2	2	1	2	2	26|11	PRESENT	3	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325428||part b: afatinib once daily (od)+v (vinorelbine)	NCT01325428	part b: afatinib once daily (od)+v (vinorelbine)	3	NCT01325428#om3#OG000|NCT01325428#om5#OG000|NCT01325428#om7#OG000	3|5|7	SECONDARY	3	3	1	2	2	1	2	2	10|3	PRESENT	3	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_ASSESSMENT_CRITERIA|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325441||napabucasin 200mg bid plus paclitaxel	NCT01325441	napabucasin 200mg bid plus paclitaxel	2	NCT01325441#om4#OG000|NCT01325441#om5#OG000	4|5	SECONDARY	2	2	2	1	1	2	2	2	2	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325441||napabucasin 240mg bid plus paclitaxel	NCT01325441	napabucasin 240mg bid plus paclitaxel	2	NCT01325441#om4#OG001|NCT01325441#om5#OG001	4|5	SECONDARY	2	2	2	1	1	2	2	2	81	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325441||napabucasin 400mg bid plus paclitaxel	NCT01325441	napabucasin 400mg bid plus paclitaxel	2	NCT01325441#om4#OG002|NCT01325441#om5#OG002	4|5	SECONDARY	2	2	2	1	1	2	2	2	1	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325441||napabucasin 480mg bid plus paclitaxel	NCT01325441	napabucasin 480mg bid plus paclitaxel	2	NCT01325441#om4#OG003|NCT01325441#om5#OG003	4|5	SECONDARY	2	2	2	1	1	2	2	2	98	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325441||napabucasin 500mg bid plus paclitaxel	NCT01325441	napabucasin 500mg bid plus paclitaxel	2	NCT01325441#om4#OG004|NCT01325441#om5#OG004	4|5	SECONDARY	2	2	2	1	1	2	2	2	29	PRESENT	2	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_PARAMTYPE_OR_UNIT	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325701||pci-32765: 560 mg	NCT01325701	pci-32765: 560 mg	1	NCT01325701#om0#OG000	0	PRIMARY	1	1	1	1	1	1	1	1	70	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01325701||pci-32765: 840 mg	NCT01325701	pci-32765: 840 mg	1	NCT01325701#om0#OG001	0	PRIMARY	1	1	1	1	1	1	1	1	8	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01326481||single	NCT01326481	single	1	NCT01326481#om3#OG000	3	SECONDARY	1	1	1	1	1	1	1	1	16	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327053||lde225 200mg labcc	NCT01327053	lde225 200mg labcc	6	NCT01327053#om0#OG000|NCT01327053#om1#OG000|NCT01327053#om4#OG000|NCT01327053#om5#OG000|NCT01327053#om10#OG000|NCT01327053#om11#OG000	0|1|4|5|10|11	PRIMARY|SECONDARY	6	2	2	1	1	3	1	1	42|66	PRESENT	6	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327053||lde225 200mg mbcc	NCT01327053	lde225 200mg mbcc	6	NCT01327053#om0#OG002|NCT01327053#om1#OG002|NCT01327053#om4#OG002|NCT01327053#om5#OG002|NCT01327053#om10#OG002|NCT01327053#om11#OG002	0|1|4|5|10|11	PRIMARY|SECONDARY	6	2	2	1	1	3	1	1	13	PRESENT	6	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327053||lde225 800mg labcc	NCT01327053	lde225 800mg labcc	6	NCT01327053#om0#OG001|NCT01327053#om1#OG001|NCT01327053#om4#OG001|NCT01327053#om5#OG001|NCT01327053#om10#OG001|NCT01327053#om11#OG001	0|1|4|5|10|11	PRIMARY|SECONDARY	6	2	2	1	1	3	1	1	93|128	PRESENT	6	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_DENOMINATORS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327053||lde225 800mg mbcc	NCT01327053	lde225 800mg mbcc	6	NCT01327053#om0#OG003|NCT01327053#om1#OG003|NCT01327053#om4#OG003|NCT01327053#om5#OG003|NCT01327053#om10#OG003|NCT01327053#om11#OG003	0|1|4|5|10|11	PRIMARY|SECONDARY	6	2	2	1	1	3	1	1	23	PRESENT	6	False	UNRESOLVED_MULTIPLE_MEASURE_TITLES|UNRESOLVED_MULTIPLE_ENDPOINT_CONSTRUCTS|UNRESOLVED_MULTIPLE_TIME_FRAMES|UNRESOLVED_MULTIPLE_POPULATION_DESCRIPTIONS|UNRESOLVED_MULTIPLE_OUTCOME_TYPES	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20050118: ganitumab 20 mg/kg	NCT01327612	20050118: ganitumab 20 mg/kg	1	NCT01327612#om5#OG000	5	SECONDARY	1	1	1	1	1	1	1	1	2	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20050171: conatumumab 0.45 mg/kg	NCT01327612	20050171: conatumumab 0.45 mg/kg	1	NCT01327612#om5#OG001	5	SECONDARY	1	1	1	1	1	1	1	1	1	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20060295: conatumumab 3 mg/kg	NCT01327612	20060295: conatumumab 3 mg/kg	1	NCT01327612#om5#OG002	5	SECONDARY	1	1	1	1	1	1	1	1	1	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20060340: conatumumab 5 mg/kg	NCT01327612	20060340: conatumumab 5 mg/kg	1	NCT01327612#om5#OG003	5	SECONDARY	1	1	1	1	1	1	1	1	1	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20060464: conatumumab 10 mg/kg + mfolfox6 ± bevacizumab	NCT01327612	20060464: conatumumab 10 mg/kg + mfolfox6 ± bevacizumab	1	NCT01327612#om5#OG005	5	SECONDARY	1	1	1	1	1	1	1	1	3	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20060464: conatumumab 2 mg/kg + mfolfox6 + bevacizumab	NCT01327612	20060464: conatumumab 2 mg/kg + mfolfox6 + bevacizumab	1	NCT01327612#om5#OG004	5	SECONDARY	1	1	1	1	1	1	1	1	2	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327612||20070411: conatumumab 15 mg/kg + ganitumab 18 mg/kg	NCT01327612	20070411: conatumumab 15 mg/kg + ganitumab 18 mg/kg	1	NCT01327612#om5#OG006	5	SECONDARY	1	1	1	1	1	1	1	1	2	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327885||arm a: eribulin mesylate	NCT01327885	arm a: eribulin mesylate	1	NCT01327885#om3#OG000	3	SECONDARY	1	1	1	1	1	1	1	1	228	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01327885||arm b: dacarbazine	NCT01327885	arm b: dacarbazine	1	NCT01327885#om3#OG001	3	SECONDARY	1	1	1	1	1	1	1	1	224	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01328951||erlotinib (early erlotinib)	NCT01328951	erlotinib (early erlotinib)	1	NCT01328951#om7#OG001	7	SECONDARY	1	1	1	1	1	1	1	1	322	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
NCT01328951||placebo (late erlotinib)	NCT01328951	placebo (late erlotinib)	1	NCT01328951#om7#OG000	7	SECONDARY	1	1	1	1	1	1	1	1	321	PRESENT	1	False	SINGLE_OBSERVATION	NOT_SELECTED_BY_DESIGN	This contract approves no preferred endpoint, criteria version, time point, population or single-record-per-cohort rule. The set is retained whole.
