component	component_grain	component_record_key	integration_row_key	disposition	reason
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00077857#om2#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00077857#om3#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00077857#om3#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00454779#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00454779#om1#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00454779#om7#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00454779#om7#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om0#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om0#OG003		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om1#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om1#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om1#OG003		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om1#OG004		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om7#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om7#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om7#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om17#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om17#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om17#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00371345#om17#OG003		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om2#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om12#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om12#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om13#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om13#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om14#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00115765#om14#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00853307#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00853307#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00853307#om4#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00853307#om4#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00545077#om3#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00545077#om3#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00545077#om5#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00545077#om5#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om1#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om2#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om13#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00605267#om13#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00632424#om8#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00632424#om8#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00632424#om8#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00191191#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00191191#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00773383#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00773383#om5#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00968981#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00968981#om1#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00968981#om1#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00054353#om7#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00054353#om7#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om10#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om10#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om11#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om11#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om18#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om18#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om19#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00069095#om19#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971867#om5#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971867#om6#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971867#om7#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971867#om8#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00874848#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00874848#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00874848#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00874848#om2#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00756509#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00375752#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00375752#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00490776#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00490776#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00490776#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00490776#om4#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om17#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om17#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om17#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om17#OG003		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om17#OG004		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om18#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om18#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om18#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om18#OG003		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00721734#om18#OG004		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00707655#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00707655#om2#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971932#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971932#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00971932#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00447421#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00447421#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00447421#om3#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00560352#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00560352#om1#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00560352#om1#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00593827#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00593827#om2#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00798096#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00798096#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00798096#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00798096#om3#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00574288#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00574288#om1#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00574288#om1#OG002		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00574288#om1#OG003		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00574288#om1#OG004		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00574288#om1#OG005		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00019682#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00019682#om0#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00651742#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00651742#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00945191#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00932893#om3#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00932893#om3#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00503867#om2#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT02013765#om5#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00471328#om5#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00471328#om5#OG001		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00471328#om6#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00949702#om0#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
CORRECTED-B/B2	obs_id=(nct,om_index,results_group_id)	NCT00949702#om1#OG000		B_ONLY__NOT_IN_THE_552_SPINE	No denominator/category component and no arm-attribution component exists for this observation. It is neither resolved nor excluded here.
