row_type	nct	mechanism	reducible	registered_enrollment	enrollment_type	selected_cohorts	sum_selected_denominators	excess	reduced_set_sum	om_index	group_id	group_title	denominator	cohort_role	payload	note
COHORT	NCT00623766									0	OG000	Ipilimumab, 10 mg/kg IV, in Corticosteroid-free Patients	51	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00623766									1	OG000	Ipilimumab 10 mg/kg IV, in Corticosteroid-free Patients	51	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
TRIAL	NCT01199055	M1_POOLED_PLUS_COMPONENTS	YES	16	ACTUAL	5	39	23	14							{OM4/OG000 0.25 mg Initial 3; OG001 0.50 mg Initial 3; OG002 0.50 mg Additional 8} = 14 (registered enrollment 16)
COHORT	NCT01199055									4	OG000	CS-7017 0.25 mg BID; Initial Portion	3	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01199055									4	OG002	CS-7017 0.50 mg BID; Additional Portion	8	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01199055									4	OG001	CS-7017 0.50 mg BID; Initial Portion	3	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01199055									4	OG003	CS71017 0.5 mg BID; Initial and Additional Portion	11	POOLED_TOTAL	ctg_results_bor_2010_2013	
COHORT	NCT01199055									4	OG004	Overall	14	POOLED_TOTAL	ctg_results_bor_2010_2013	
TRIAL	NCT01055067	M8_ANALYSIS_POPULATION_NESTING	YES	27	ACTUAL	2	48	21	27							{OM0/OG001 Total 27} = 27 = registered enrollment
COHORT	NCT01055067									0	OG000	Stage 1: ARQ 197 360 mg BID	21	NESTED_SUBSET	ctg_results_bor_2010_2013	
COHORT	NCT01055067									0	OG001	Total	27	KEEP_ITT	ctg_results_bor_2010_2013	
TRIAL	NCT01199068	M1_POOLED_PLUS_COMPONENTS	YES	15	ACTUAL	5	34	19	12							{OM4/OG000 0.25 mg Initial 2; OG003 0.50 mg Initial 3; OG002 0.50 mg Additional 7} = 12 (registered enrollment 15)
COHORT	NCT01199068									4	OG000	CS-7017 0.25 mg BID; Initial Portion	2	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01199068									4	OG002	CS-7017 0.50 mg BID; Additional Portion	7	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01199068									4	OG003	CS-7017 0.50 mg BID; Initial + Additional Portions	10	POOLED_TOTAL	ctg_results_bor_2010_2013	
COHORT	NCT01199068									4	OG001	CS-7017 0.50 mg BID; Initial Portion	3	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01199068									4	OG004	Overall	12	POOLED_TOTAL	ctg_results_bor_2010_2013	
TRIAL	NCT00598975	M1_POOLED_PLUS_COMPONENTS	YES	18	ACTUAL	3	36	18	18							{OM2/OG000 12; OM2/OG001 6} = 18 = registered enrollment
COHORT	NCT00598975									2	OG000	NKTR-102 100 mg/m2 + Cetuximab	12	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00598975									2	OG001	NKTR-102 125 mg/m2 + Cetuximab	6	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00598975									2	OG002	Total	18	POOLED_TOTAL	ctg_results_bor_1999_2009	
TRIAL	NCT00792467	M8_ANALYSIS_POPULATION_NESTING	YES	24	ACTUAL	2	40	16	24							{OM0/OG000 ITT Population 24} = 24 = registered enrollment
COHORT	NCT00792467									0	OG000	ITT Population	24	KEEP_ITT	ctg_results_bor_1999_2009	
COHORT	NCT00792467									0	OG001	PP Population	16	NESTED_SUBSET	ctg_results_bor_1999_2009	
TRIAL	NCT00918203	M5_SEQUENTIAL_REENTRY	YES	137	ACTUAL	3	148	11	131							{OM4/OG000 Olaratumab+P+C 67; OM4/OG001 Paclitaxel+Carboplatin 64} = 131 (registered enrollment 137)
COHORT	NCT00918203									4	OG002	Crossover to Olaratumab	17	SEQUENTIAL_REENTRY	ctg_results_bor_2010_2013	
COHORT	NCT00918203									4	OG000	Olaratumab + Paclitaxel + Carboplatin	67	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT00918203									4	OG001	Paclitaxel + Carboplatin	64	COMPONENT	ctg_results_bor_2010_2013	
TRIAL	NCT00700258	M5_SEQUENTIAL_REENTRY	UNRESOLVED	1520	ACTUAL	5	1528	8	UNRESOLVED							partially: {OM2/OG000 mRCC-Temsirolimus 577; OM2/OG003 MCL-Temsirolimus 55; OM2/OG004 GIST-Sunitinib 24} are disjoint; the mRCC-Sunitinib 651 and mRCC-Axitinib 221 groups overlap by an amount the record does not state
COHORT	NCT00700258									2	OG004	GIST - Sunitinib	24	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00700258									2	OG003	MCL - Temsirolimus	55	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00700258									2	OG002	mRCC - Axitinib	221	UNRESOLVED_PART	ctg_results_bor_1999_2009	
COHORT	NCT00700258									2	OG001	mRCC - Sunitinib	651	UNRESOLVED_PART	ctg_results_bor_1999_2009	
COHORT	NCT00700258									2	OG000	mRCC - Temsirolimus	577	COMPONENT	ctg_results_bor_1999_2009	
TRIAL	NCT00756509	M6_REGISTRY_INCONSISTENCY	NO	34	ACTUAL	1	41	7	41							not applicable - only ONE cohort is selected, so no overlap is possible
COHORT	NCT00756509									0	OG000	Nilotinib	41	STANDALONE_EXCEEDS_ENROLLMENT	ctg_results_bor_1999_2009	
TRIAL	NCT00885755	M8_ANALYSIS_POPULATION_NESTING + M3_TITLE_VARIANT_DUPLICATE	YES	33	ACTUAL	2	39	6	20							{OM9/OG000 Group A ... 20} = 20 (registered enrollment 33)
COHORT	NCT00885755									9	OG000	Group A: Trastuzumab+Taxane /Capcetabine (6 Weeks)	20	KEEP_ITT	ctg_results_bor_1999_2009	
COHORT	NCT00885755									11	OG000	Group A: Trastuzumab+Taxane /Capecitabine (6 Weeks)	19	NESTED_SUBSET	ctg_results_bor_1999_2009	
TRIAL	NCT00928642	M3_TITLE_VARIANT_DUPLICATE	YES	8	ACTUAL	2	14	6	7							{OM2/OG000 Oral Imatinib Plus IV Gemcitabine 7} = 7 (registered enrollment 8)
COHORT	NCT00928642									2	OG000	Oral Imatinib Plus IV Gemcitabine	7	COMPONENT	ctg_results_bor_1999_2009	
COHORT	NCT00928642									4	OG000	Treatment	7	DUPLICATE_TITLE_VARIANT	ctg_results_bor_1999_2009	
TRIAL	NCT01223027	M6_REGISTRY_INCONSISTENCY	NO	564	ACTUAL	2	570	6	570							the two OM3 arms are disjoint by design; 284+286=570 vs registered enrollment 564
COHORT	NCT01223027									3	OG000	Dovitinib + Best Supportive Care (BSC)	284	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01223027									3	OG001	Sorafenib + BSC	286	COMPONENT	ctg_results_bor_2010_2013	
TRIAL	NCT01232296	M6_REGISTRY_INCONSISTENCY	NO	162	ACTUAL	2	165	3	165							the two OM2 arms are disjoint by design; 82+83=165 vs registered enrollment 162
COHORT	NCT01232296									2	OG001	Sorafenib	83	COMPONENT	ctg_results_bor_2010_2013	
COHORT	NCT01232296									2	OG000	TKI258	82	COMPONENT	ctg_results_bor_2010_2013	
TRIAL	NCT00229723	M6_REGISTRY_INCONSISTENCY	NO	224	ACTUAL	7	226	2	226							all seven OM0 groups are disjoint by design; their sum 226 already exceeds registered enrollment 224
COHORT	NCT00229723									0	OG003	250mg/250mg	31	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00229723									0	OG001	250mg/Placebo	24	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00229723									0	OG004	500mg/500mg	24	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00229723									0	OG002	500mg/Placebo	31	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00229723									0	OG005	Placebo/250mg	34	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00229723									0	OG006	Placebo/500mg	22	COMPONENT	ctg_placebo_onc_1999_2009	
COHORT	NCT00229723									0	OG000	Placebo/Placebo	60	COMPONENT	ctg_placebo_onc_1999_2009	
TRIAL	NCT01023308	M6_REGISTRY_INCONSISTENCY	NO	767	ACTUAL	2	768	1	768							the two OM4 arms are disjoint by design; 387+381=768 vs registered enrollment 767
COHORT	NCT01023308									4	OG000	Panobinostat + Bortezomib	387	COMPONENT	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009	
COHORT	NCT01023308									4	OG001	Placebo + Bortezomib	381	COMPONENT	ctg_placebo_onc_1999_2009|ctg_results_bor_1999_2009	
