nct_id	payload_file	outcome_measure_index	outcome_measure_title	group_id	group_title	class_index	class_title	n_classes_in_om	classes_contributing	reported_denominator_participants	denoms_units_all	class_all_categories_sum	class_full_category_vector	matched_categories_this_class	matched_sum_this_class	dropped_categories_this_class	dropped_sum_this_class	stored_cells_producer	stored_evaluable_n	corrected_denominator	corrected_matched_cells_all_contributing_classes	residual_denominator_minus_matched	class_survived_labels	content_lost_from_this_class	recoverable	verdict	source_pointer
NCT02263508	ctg_results_bor_2014_2017.txt	19	Phase 3: Best Overall Response Assessed Using Modified irRC-RECIST	OG000	Phase 3: Placebo + Pembrolizumab	0	<untitled>	1	0	346	Participants=346	346	Complete response (iCR)=28 | Partial response (iPR)=110 | Stable disease (iSD)=57 | Progressive disease (iPD)=56 | Unevaluable (iUE)=69 | Missing=26	Complete response (iCR)[CR]=28 | Partial response (iPR)[PR]=110 | Stable disease (iSD)[SD]=57 | Progressive disease (iPD)[PD]=56	251	Unevaluable (iUE)=69 | Missing=26	95	CR=28,PR=110,SD=57,PD=56	251	346	CR=28,PR=110,SD=57,PD=56	95	CR,PD,PR,SD	dropped category Unevaluable (iUE)=69 ;; dropped category Missing=26	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02263508] :: outcomeMeasures[19] :: classes[0] :: groups[OG000]
NCT02263508	ctg_results_bor_2014_2017.txt	19	Phase 3: Best Overall Response Assessed Using Modified irRC-RECIST	OG001	Phase 3: Talimogene Laherparepvec + Pembrolizumab	0	<untitled>	1	0	346	Participants=346	346	Complete response (iCR)=50 | Partial response (iPR)=120 | Stable disease (iSD)=51 | Progressive disease (iPD)=65 | Unevaluable (iUE)=30 | Missing=30	Complete response (iCR)[CR]=50 | Partial response (iPR)[PR]=120 | Stable disease (iSD)[SD]=51 | Progressive disease (iPD)[PD]=65	286	Unevaluable (iUE)=30 | Missing=30	60	CR=50,PR=120,SD=51,PD=65	286	346	CR=50,PR=120,SD=51,PD=65	60	CR,PD,PR,SD	dropped category Unevaluable (iUE)=30 ;; dropped category Missing=30	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02263508] :: outcomeMeasures[19] :: classes[0] :: groups[OG001]
NCT02277093	ctg_results_bor_2014_2017.txt	2	Overall Response Rate (ORR)	OG000	Pacritinib	0	<untitled>	1	0	11	Participants=11	11	Complete response=0 | Partial response=0 | Stable disease=1 | Progressive disease=6 | Not evaluable=4	Complete response[CR]=0 | Partial response[PR]=0 | Stable disease[SD]=1 | Progressive disease[PD]=6	7	Not evaluable=4	4	CR=0,PR=0,SD=1,PD=6	7	11	CR=0,PR=0,SD=1,PD=6	4	CR,PD,PR,SD	dropped category Not evaluable=4	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02277093] :: outcomeMeasures[2] :: classes[0] :: groups[OG000]
NCT02336165	ctg_results_bor_2014_2017.txt	6	Number of Subjects With Best Overall Response	OG003	Cohort B3	0	<untitled>	1	0	33	Participants=33	33	CR=0 | PR=3 | SD=18 | PD=11 | Unknown Response=1	CR[CR]=0 | PR[PR]=3 | SD[SD]=18 | PD[PD]=11	32	Unknown Response=1	1	CR=0,PR=3,SD=18,PD=11	32	33	CR=0,PR=3,SD=18,PD=11	1	CR,PD,PR,SD	dropped category Unknown Response=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02336165] :: outcomeMeasures[6] :: classes[0] :: groups[OG003]
NCT02336165	ctg_results_bor_2014_2017.txt	6	Number of Subjects With Best Overall Response	OG004	Cohort C	0	<untitled>	1	0	22	Participants=22	22	CR=0 | PR=0 | SD=6 | PD=14 | Unknown Response=2	CR[CR]=0 | PR[PR]=0 | SD[SD]=6 | PD[PD]=14	20	Unknown Response=2	2	CR=0,PR=0,SD=6,PD=14	20	22	CR=0,PR=0,SD=6,PD=14	2	CR,PD,PR,SD	dropped category Unknown Response=2	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02336165] :: outcomeMeasures[6] :: classes[0] :: groups[OG004]
NCT02347917	ctg_results_bor_2014_2017.txt	5	Best Overall Response	OG002	MPM or NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	0	<untitled>	1	0	4	Participants=4	4	Complete response (CR)=0 | Partial response (PR)=0 | Stable disease (SD)=3 | Progressive disease (PD)=0 | Not evaluated (NE)=1	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=0 | Stable disease (SD)[SD]=3 | Progressive disease (PD)[PD]=0	3	Not evaluated (NE)=1	1	CR=0,PR=0,SD=3,PD=0	3	4	CR=0,PR=0,SD=3,PD=0	1	CR,PD,PR,SD	dropped category Not evaluated (NE)=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: classes[0] :: groups[OG002]
NCT02347917	ctg_results_bor_2014_2017.txt	5	Best Overall Response	OG003	MPM: BBI608 + Pem + CDDP (Phase 2 Part)	0	<untitled>	1	0	24	Participants=24	24	Complete response (CR)=0 | Partial response (PR)=8 | Stable disease (SD)=11 | Progressive disease (PD)=2 | Not evaluated (NE)=3	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=8 | Stable disease (SD)[SD]=11 | Progressive disease (PD)[PD]=2	21	Not evaluated (NE)=3	3	CR=0,PR=8,SD=11,PD=2	21	24	CR=0,PR=8,SD=11,PD=2	3	CR,PD,PR,SD	dropped category Not evaluated (NE)=3	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: classes[0] :: groups[OG003]
NCT02347917	ctg_results_bor_2014_2017.txt	5	Best Overall Response	OG004	MPM: BBI608 + Pem + CDDP (Phase 2 Part Including Participants With MPM in Phase 1 Part)	0	<untitled>	1	0	25	Participants=25	25	Complete response (CR)=0 | Partial response (PR)=8 | Stable disease (SD)=11 | Progressive disease (PD)=2 | Not evaluated (NE)=4	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=8 | Stable disease (SD)[SD]=11 | Progressive disease (PD)[PD]=2	21	Not evaluated (NE)=4	4	CR=0,PR=8,SD=11,PD=2	21	25	CR=0,PR=8,SD=11,PD=2	4	CR,PD,PR,SD	dropped category Not evaluated (NE)=4	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: classes[0] :: groups[OG004]
NCT02395172	ctg_results_bor_2014_2017.txt	4	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by an Independent Endpoint Review Committee (IERC) in Full Analysis Set Population	OG000	Avelumab	0	<untitled>	1	0	396	Participants=396	396	Complete Response=5 | Partial Response=54 | Stable Disease=129 | Non-complete Response/ Non-progressive Disease=5 | Progressive Disease=150 | Not Evaluable=53	Complete Response[CR]=5 | Partial Response[PR]=54 | Stable Disease[SD]=129 | Progressive Disease[PD]=150	338	Non-complete Response/ Non-progressive Disease=5 | Not Evaluable=53	58	CR=5,PR=54,SD=129,PD=150	338	396	CR=5,PR=54,SD=129,PD=150	58	CR,PD,PR,SD	dropped category Non-complete Response/ Non-progressive Disease=5 ;; dropped category Not Evaluable=53	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02395172] :: outcomeMeasures[4] :: classes[0] :: groups[OG000]
NCT02395172	ctg_results_bor_2014_2017.txt	4	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by an Independent Endpoint Review Committee (IERC) in Full Analysis Set Population	OG001	Docetaxel	0	<untitled>	1	0	396	Participants=396	396	Complete Response=2 | Partial Response=42 | Stable Disease=158 | Non-complete Response/ Non-progressive Disease=13 | Progressive Disease=82 | Not Evaluable=99	Complete Response[CR]=2 | Partial Response[PR]=42 | Stable Disease[SD]=158 | Progressive Disease[PD]=82	284	Non-complete Response/ Non-progressive Disease=13 | Not Evaluable=99	112	CR=2,PR=42,SD=158,PD=82	284	396	CR=2,PR=42,SD=158,PD=82	112	CR,PD,PR,SD	dropped category Non-complete Response/ Non-progressive Disease=13 ;; dropped category Not Evaluable=99	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02395172] :: outcomeMeasures[4] :: classes[0] :: groups[OG001]
NCT02395172	ctg_results_bor_2014_2017.txt	5	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Independent Endpoint Review Committee (IERC) in PD-L1+ Full Analysis Set Population	OG000	Avelumab	0	<untitled>	1	0	264	Participants=264	264	Complete Response=4 | Partial Response=46 | Stable Disease=86 | Non-complete Response/ Non-progressive Disease=4 | Progressive Disease=93 | Not Evaluable=31	Complete Response[CR]=4 | Partial Response[PR]=46 | Stable Disease[SD]=86 | Progressive Disease[PD]=93	229	Non-complete Response/ Non-progressive Disease=4 | Not Evaluable=31	35	CR=4,PR=46,SD=86,PD=93	229	264	CR=4,PR=46,SD=86,PD=93	35	CR,PD,PR,SD	dropped category Non-complete Response/ Non-progressive Disease=4 ;; dropped category Not Evaluable=31	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02395172] :: outcomeMeasures[5] :: classes[0] :: groups[OG000]
NCT02395172	ctg_results_bor_2014_2017.txt	5	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Independent Endpoint Review Committee (IERC) in PD-L1+ Full Analysis Set Population	OG001	Docetaxel	0	<untitled>	1	0	265	Participants=265	265	Complete Response=1 | Partial Response=30 | Stable Disease=104 | Non-complete Response/ Non-progressive Disease=12 | Progressive Disease=57 | Not Evaluable=61	Complete Response[CR]=1 | Partial Response[PR]=30 | Stable Disease[SD]=104 | Progressive Disease[PD]=57	192	Non-complete Response/ Non-progressive Disease=12 | Not Evaluable=61	73	CR=1,PR=30,SD=104,PD=57	192	265	CR=1,PR=30,SD=104,PD=57	73	CR,PD,PR,SD	dropped category Non-complete Response/ Non-progressive Disease=12 ;; dropped category Not Evaluable=61	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02395172] :: outcomeMeasures[5] :: classes[0] :: groups[OG001]
NCT02421588	ctg_results_bor_2014_2017.txt	3	Overall Response Rate (ORR) by Independent Review Committee	OG000	Lurbinectedin	0	<untitled>	1	0	221	Participants=221	221	Complete response=3 | Partial response=29 | Stable disease=90 | Progressive disease=83 | Unknown=16	Complete response[CR]=3 | Partial response[PR]=29 | Stable disease[SD]=90 | Progressive disease[PD]=83	205	Unknown=16	16	CR=3,PR=29,SD=90,PD=83	205	221	CR=3,PR=29,SD=90,PD=83	16	CR,PD,PR,SD	dropped category Unknown=16	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02421588] :: outcomeMeasures[3] :: classes[0] :: groups[OG000]
NCT02421588	ctg_results_bor_2014_2017.txt	3	Overall Response Rate (ORR) by Independent Review Committee	OG001	Control (PLD or Topotecan)	0	<untitled>	1	0	221	Participants=221	221	Complete response=3 | Partial response=25 | Stable disease=97 | Progressive disease=72 | Unknown=24	Complete response[CR]=3 | Partial response[PR]=25 | Stable disease[SD]=97 | Progressive disease[PD]=72	197	Unknown=24	24	CR=3,PR=25,SD=97,PD=72	197	221	CR=3,PR=25,SD=97,PD=72	24	CR,PD,PR,SD	dropped category Unknown=24	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02421588] :: outcomeMeasures[3] :: classes[0] :: groups[OG001]
NCT02421588	ctg_results_bor_2014_2017.txt	4	Overall Response Rate by Investigator's Assessment	OG000	Lurbinectedin	0	<untitled>	1	0	221	Participants=221	221	Complete response=3 | Partial response=32 | Stable disease=107 | Progressive disease=63 | Unknown=16	Complete response[CR]=3 | Partial response[PR]=32 | Stable disease[SD]=107 | Progressive disease[PD]=63	205	Unknown=16	16	CR=3,PR=32,SD=107,PD=63	205	221	CR=3,PR=32,SD=107,PD=63	16	CR,PD,PR,SD	dropped category Unknown=16	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02421588] :: outcomeMeasures[4] :: classes[0] :: groups[OG000]
NCT02421588	ctg_results_bor_2014_2017.txt	4	Overall Response Rate by Investigator's Assessment	OG001	Control (PLD or Topotecan)	0	<untitled>	1	0	221	Participants=221	221	Complete response=2 | Partial response=35 | Stable disease=94 | Progressive disease=68 | Unknown=22	Complete response[CR]=2 | Partial response[PR]=35 | Stable disease[SD]=94 | Progressive disease[PD]=68	199	Unknown=22	22	CR=2,PR=35,SD=94,PD=68	199	221	CR=2,PR=35,SD=94,PD=68	22	CR,PD,PR,SD	dropped category Unknown=22	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02421588] :: outcomeMeasures[4] :: classes[0] :: groups[OG001]
NCT02421588	ctg_results_bor_2014_2017.txt	7	Best Response According to Tumor Marker Evaluation (CA-125)	OG000	Lurbinectedin	0	<untitled>	1	0	173	Participants=173	173	Complete response=13 | Partial response=33 | Stable disease=95 | Progressive disease=17 | Unknown=15	Complete response[CR]=13 | Partial response[PR]=33 | Stable disease[SD]=95 | Progressive disease[PD]=17	158	Unknown=15	15	CR=13,PR=33,SD=95,PD=17	158	173	CR=13,PR=33,SD=95,PD=17	15	CR,PD,PR,SD	dropped category Unknown=15	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02421588] :: outcomeMeasures[7] :: classes[0] :: groups[OG000]
NCT02421588	ctg_results_bor_2014_2017.txt	7	Best Response According to Tumor Marker Evaluation (CA-125)	OG001	Control (PLD or Topotecan)	0	<untitled>	1	0	165	Participants=165	165	Complete response=3 | Partial response=29 | Stable disease=94 | Progressive disease=16 | Unknown=23	Complete response[CR]=3 | Partial response[PR]=29 | Stable disease[SD]=94 | Progressive disease[PD]=16	142	Unknown=23	23	CR=3,PR=29,SD=94,PD=16	142	165	CR=3,PR=29,SD=94,PD=16	23	CR,PD,PR,SD	dropped category Unknown=23	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02421588] :: outcomeMeasures[7] :: classes[0] :: groups[OG001]
NCT02431260	ctg_results_bor_2014_2017.txt	7	Objective Response Rate (ORR)	OG000	Part 2 / Treatment Group A: 20 MG BID INCB054329	0	<untitled>	1	0	10	Participants=10	10	Complete response (CR)=0 | Partial response (PR)=0 | Stable disease (SD) >= 6 months=0 | Stable disease (SD) < 6 months=4 | Progressive disease (PD)=5 | Not evaluable (NE)=1	Complete response (CR)[CR]=0 | Partial response (PR)[PR]=0 | Stable disease (SD) >= 6 months[SD]=0 | Stable disease (SD) < 6 months[SD]=4 | Progressive disease (PD)[PD]=5	9	Not evaluable (NE)=1	1	CR=0,PR=0,SD=4,PD=5	9	10	CR=0,PR=0,SD=4,PD=5	1	CR,PD,PR,SD	within-class collision on SD: Stable disease (SD) >= 6 months=0 vs Stable disease (SD) < 6 months=4 (last write wins) ;; dropped category Not evaluable (NE)=1	YES	Single contributing class; all categories of that class sum exactly to the reported participant denominator. Corrected denominator = reported denominator; full category vector recovered including every category the producer dropped.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02431260] :: outcomeMeasures[7] :: classes[0] :: groups[OG000]
NCT02440464	ctg_results_bor_2014_2017.txt	3	Percentage of Participants With Best Response to Treatment After Randomization	OG000	Ixazomib Maintenance	0	Participants in sCR/CR at Randomization	2	0,1	21	Participants=21	9	Stringent Complete Response (sCR)=6 | Complete Response (CR)=2 | Very Good Partial Response (VGPR)=0 | Partial Response (PR)=0 | Stable Disease (SD)=0 | Progressive Disease (PD)=1	Complete Response (CR)[CR]=2 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=0 | Progressive Disease (PD)[PD]=1	3	Stringent Complete Response (sCR)=6 | Very Good Partial Response (VGPR)=0	6	CR=2,PR=2,SD=0,PD=1	5	21	CR=4,PR=2,SD=0,PD=2	13	(none)	Complete Response (CR)=2 (label CR overwritten by class[1]) ;; Partial Response (PR)=0 (label PR overwritten by class[1]) ;; Stable Disease (SD)=0 (label SD overwritten by class[1]) ;; Progressive Disease (PD)=1 (label PD overwritten by class[1]) ;; dropped category Stringent Complete Response (sCR)=6 ;; dropped category Very Good Partial Response (VGPR)=0	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[3] :: classes[0] :: groups[OG000]
NCT02440464	ctg_results_bor_2014_2017.txt	3	Percentage of Participants With Best Response to Treatment After Randomization	OG000	Ixazomib Maintenance	1	Participants Not in sCR/CR at Randomization	2	0,1	21	Participants=21	12	Stringent Complete Response (sCR)=3 | Complete Response (CR)=2 | Very Good Partial Response (VGPR)=4 | Partial Response (PR)=2 | Stable Disease (SD)=0 | Progressive Disease (PD)=1	Complete Response (CR)[CR]=2 | Partial Response (PR)[PR]=2 | Stable Disease (SD)[SD]=0 | Progressive Disease (PD)[PD]=1	5	Stringent Complete Response (sCR)=3 | Very Good Partial Response (VGPR)=4	7	CR=2,PR=2,SD=0,PD=1	5	21	CR=4,PR=2,SD=0,PD=2	13	CR,PD,PR,SD	dropped category Stringent Complete Response (sCR)=3 ;; dropped category Very Good Partial Response (VGPR)=4	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[3] :: classes[1] :: groups[OG000]
NCT02440464	ctg_results_bor_2014_2017.txt	3	Percentage of Participants With Best Response to Treatment After Randomization	OG001	Placebo	0	Participants in sCR/CR at Randomization	2	0,1	22	Participants=22	11	Stringent Complete Response (sCR)=5 | Complete Response (CR)=4 | Very Good Partial Response (VGPR)=1 | Partial Response (PR)=0 | Stable Disease (SD)=0 | Progressive Disease (PD)=1	Complete Response (CR)[CR]=4 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=0 | Progressive Disease (PD)[PD]=1	5	Stringent Complete Response (sCR)=5 | Very Good Partial Response (VGPR)=1	6	CR=3,PR=0,SD=0,PD=0	3	22	CR=7,PR=0,SD=0,PD=1	14	(none)	Complete Response (CR)=4 (label CR overwritten by class[1]) ;; Partial Response (PR)=0 (label PR overwritten by class[1]) ;; Stable Disease (SD)=0 (label SD overwritten by class[1]) ;; Progressive Disease (PD)=1 (label PD overwritten by class[1]) ;; dropped category Stringent Complete Response (sCR)=5 ;; dropped category Very Good Partial Response (VGPR)=1	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[3] :: classes[0] :: groups[OG001]
NCT02440464	ctg_results_bor_2014_2017.txt	3	Percentage of Participants With Best Response to Treatment After Randomization	OG001	Placebo	1	Participants Not in sCR/CR at Randomization	2	0,1	22	Participants=22	11	Stringent Complete Response (sCR)=4 | Complete Response (CR)=3 | Very Good Partial Response (VGPR)=4 | Partial Response (PR)=0 | Stable Disease (SD)=0 | Progressive Disease (PD)=0	Complete Response (CR)[CR]=3 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=0 | Progressive Disease (PD)[PD]=0	3	Stringent Complete Response (sCR)=4 | Very Good Partial Response (VGPR)=4	8	CR=3,PR=0,SD=0,PD=0	3	22	CR=7,PR=0,SD=0,PD=1	14	CR,PD,PR,SD	dropped category Stringent Complete Response (sCR)=4 ;; dropped category Very Good Partial Response (VGPR)=4	YES	Multiple contributing classes that PARTITION the arm (class sums add exactly to the reported denominator). Corrected reading = union over all classes; the producer kept only the last class.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[3] :: classes[1] :: groups[OG001]
NCT02440464	ctg_results_bor_2014_2017.txt	4	Percentage of Participants With Response to Treatment	OG000	Ixazomib Maintenance	0	Response to Treatment at 18 Months Post-transplant for Participants in sCR/CR at Randomization	4	0,1,2,3	21	Participants=21	9	Stringent Complete Response (sCR)=3 | Complete Response (CR)=2 | Very Good Partial Response (VGPR)=1 | Partial Response (PR)=0 | Stable Disease (SD)=0 | Progressive Disease (PD)=1 | Died Before Evaluation=1 | Not Evaluable=1	Complete Response (CR)[CR]=2 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=0 | Progressive Disease (PD)[PD]=1	3	Stringent Complete Response (sCR)=3 | Very Good Partial Response (VGPR)=1 | Died Before Evaluation=1 | Not Evaluable=1	6	CR=1,PR=0,SD=1,PD=0	2	21	UNRESOLVED	UNRESOLVED	(none)	Complete Response (CR)=2 (label CR overwritten by class[3]) ;; Partial Response (PR)=0 (label PR overwritten by class[3]) ;; Stable Disease (SD)=0 (label SD overwritten by class[3]) ;; Progressive Disease (PD)=1 (label PD overwritten by class[3]) ;; dropped category Stringent Complete Response (sCR)=3 ;; dropped category Very Good Partial Response (VGPR)=1 ;; dropped category Died Before Evaluation=1 ;; dropped category Not Evaluable=1	UNRESOLVED	Multiple contributing classes each covering the SAME participants (class sums are multiples of the reported denominator). Denominator is recoverable; a single corrected category vector is NOT, because the record states no selection basis among the classes.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[4] :: classes[0] :: groups[OG000]
NCT02440464	ctg_results_bor_2014_2017.txt	4	Percentage of Participants With Response to Treatment	OG000	Ixazomib Maintenance	1	Response to Treatment at 18 Months Post-transplant for Participants Not in sCR/CR at Randomization	4	0,1,2,3	21	Participants=21	12	Stringent Complete Response (sCR)=2 | Complete Response (CR)=1 | Very Good Partial Response (VGPR)=3 | Partial Response (PR)=1 | Stable Disease (SD)=1 | Progressive Disease (PD)=0 | Died Before Evaluation=0 | Not Evaluable=4	Complete Response (CR)[CR]=1 | Partial Response (PR)[PR]=1 | Stable Disease (SD)[SD]=1 | Progressive Disease (PD)[PD]=0	3	Stringent Complete Response (sCR)=2 | Very Good Partial Response (VGPR)=3 | Died Before Evaluation=0 | Not Evaluable=4	9	CR=1,PR=0,SD=1,PD=0	2	21	UNRESOLVED	UNRESOLVED	(none)	Complete Response (CR)=1 (label CR overwritten by class[3]) ;; Partial Response (PR)=1 (label PR overwritten by class[3]) ;; Stable Disease (SD)=1 (label SD overwritten by class[3]) ;; Progressive Disease (PD)=0 (label PD overwritten by class[3]) ;; dropped category Stringent Complete Response (sCR)=2 ;; dropped category Very Good Partial Response (VGPR)=3 ;; dropped category Died Before Evaluation=0 ;; dropped category Not Evaluable=4	UNRESOLVED	Multiple contributing classes each covering the SAME participants (class sums are multiples of the reported denominator). Denominator is recoverable; a single corrected category vector is NOT, because the record states no selection basis among the classes.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[4] :: classes[1] :: groups[OG000]
NCT02440464	ctg_results_bor_2014_2017.txt	4	Percentage of Participants With Response to Treatment	OG000	Ixazomib Maintenance	2	Response to Treatment at 24 Months Post-transplant for Participants in sCR/CR at Randomization	4	0,1,2,3	21	Participants=21	9	Stringent Complete Response (sCR)=2 | Complete Response (CR)=3 | Very Good Partial Response (VGPR)=1 | Partial Response (PR)=0 | Stable Disease (SD)=0 | Progressive Disease (PD)=1 | Died Before Evaluation=1 | Not Evaluable=1	Complete Response (CR)[CR]=3 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=0 | Progressive Disease (PD)[PD]=1	4	Stringent Complete Response (sCR)=2 | Very Good Partial Response (VGPR)=1 | Died Before Evaluation=1 | Not Evaluable=1	5	CR=1,PR=0,SD=1,PD=0	2	21	UNRESOLVED	UNRESOLVED	(none)	Complete Response (CR)=3 (label CR overwritten by class[3]) ;; Partial Response (PR)=0 (label PR overwritten by class[3]) ;; Stable Disease (SD)=0 (label SD overwritten by class[3]) ;; Progressive Disease (PD)=1 (label PD overwritten by class[3]) ;; dropped category Stringent Complete Response (sCR)=2 ;; dropped category Very Good Partial Response (VGPR)=1 ;; dropped category Died Before Evaluation=1 ;; dropped category Not Evaluable=1	UNRESOLVED	Multiple contributing classes each covering the SAME participants (class sums are multiples of the reported denominator). Denominator is recoverable; a single corrected category vector is NOT, because the record states no selection basis among the classes.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[4] :: classes[2] :: groups[OG000]
NCT02440464	ctg_results_bor_2014_2017.txt	4	Percentage of Participants With Response to Treatment	OG000	Ixazomib Maintenance	3	Response to Treatment at 24 Months Post-transplant for Participants Not in sCR/CR at Randomization	4	0,1,2,3	21	Participants=21	12	Stringent Complete Response (sCR)=2 | Complete Response (CR)=1 | Very Good Partial Response (VGPR)=3 | Partial Response (PR)=0 | Stable Disease (SD)=1 | Progressive Disease (PD)=0 | Died Before Evaluation=0 | Not Evaluable=5	Complete Response (CR)[CR]=1 | Partial Response (PR)[PR]=0 | Stable Disease (SD)[SD]=1 | Progressive Disease (PD)[PD]=0	2	Stringent Complete Response (sCR)=2 | Very Good Partial Response (VGPR)=3 | Died Before Evaluation=0 | Not Evaluable=5	10	CR=1,PR=0,SD=1,PD=0	2	21	UNRESOLVED	UNRESOLVED	CR,PD,PR,SD	dropped category Stringent Complete Response (sCR)=2 ;; dropped category Very Good Partial Response (VGPR)=3 ;; dropped category Died Before Evaluation=0 ;; dropped category Not Evaluable=5	UNRESOLVED	Multiple contributing classes each covering the SAME participants (class sums are multiples of the reported denominator). Denominator is recoverable; a single corrected category vector is NOT, because the record states no selection basis among the classes.	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02440464] :: outcomeMeasures[4] :: classes[3] :: groups[OG000]
