nct	group_norm	payload	n_competing_at_step_f	om_indices	participants_denoms	selected_om_index	selected_om_title	classification	basis_fields	basis_detail	selection_effect	alt_om_index	alt_om_title	note
NCT01905943	g-clb: relapsed/refractory	ctg_results_bor_2010_2013	2	3|5	46|46	3	Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)	BASIS_EXISTS	title/construct;timeFrame	om[3] type=SECONDARY title='Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)' timeFrame='3 months after the last dose of study treatment (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL || om[5] type=SECONDARY title='Percentage of Participants With Best Overall Response (BOR)' timeFrame='Baseline, Day 85, end of treatment or early termination, and follow-up, assessed up to disease progression or death, whichever occurs first (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL	CONDITIONAL			
NCT01905943	g-fc: previously untreated fit	ctg_results_bor_2010_2013	2	3|5	140|140	3	Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)	BASIS_EXISTS	title/construct;timeFrame	om[3] type=SECONDARY title='Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)' timeFrame='3 months after the last dose of study treatment (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL || om[5] type=SECONDARY title='Percentage of Participants With Best Overall Response (BOR)' timeFrame='Baseline, Day 85, end of treatment or early termination, and follow-up, assessed up to disease progression or death, whichever occurs first (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL	CONDITIONAL			
NCT01905943	g-fc: previously untreated unfit	ctg_results_bor_2010_2013	2	3|5	13|13	3	Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)	BASIS_EXISTS	title/construct;timeFrame	om[3] type=SECONDARY title='Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)' timeFrame='3 months after the last dose of study treatment (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL || om[5] type=SECONDARY title='Percentage of Participants With Best Overall Response (BOR)' timeFrame='Baseline, Day 85, end of treatment or early termination, and follow-up, assessed up to disease progression or death, whichever occurs first (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL	CONDITIONAL			
NCT01905943	g-fc: relapsed/refractory	ctg_results_bor_2010_2013	2	3|5	40|40	3	Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)	BASIS_EXISTS	title/construct;timeFrame	om[3] type=SECONDARY title='Percentage of Participants With Overall Response (OR) at Final Response Assessment (FRA)' timeFrame='3 months after the last dose of study treatment (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL || om[5] type=SECONDARY title='Percentage of Participants With Best Overall Response (BOR)' timeFrame='Baseline, Day 85, end of treatment or early termination, and follow-up, assessed up to disease progression or death, whichever occurs first (up to approximately 5 years)' populationDescription='The ITT population was defined as all participants enrolled in the study regardless of whether or not they received any study drug.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWCLL	CONDITIONAL			
NCT01911273	bsc alone	ctg_placebo_onc_2010_2013	2	3|5	2|2	3	Objective Response Rate (ORR) - Percentage of Participants With Objective Response	BASIS_EXISTS	title/construct;assessment_criteria;timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) - Percentage of Participants With Objective Response' timeFrame='Screening and every 8 weeks by calendar thereafter, up to 24 months after last participant randomization.' populationDescription='FAS included all randomized participants regardless of what treatment, if any, was received.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Percentage of Participants With Disease Control Rate (DCR) at 16 Weeks' timeFrame='From first randomization to date of first documented progression or date of death from any cause, whichever came first, assessed up to 24 months after last participant randomization' populationDescription='FAS included all randomized participants regardless of what treatment, if any, was received.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST (unversioned)	NO_CHANGE_SAME_PICK			
NCT01911273	pf-03446962 plus bsc	ctg_placebo_onc_2010_2013	2	3|5	1|1	3	Objective Response Rate (ORR) - Percentage of Participants With Objective Response	BASIS_EXISTS	title/construct;assessment_criteria;timeFrame	om[3] type=SECONDARY title='Objective Response Rate (ORR) - Percentage of Participants With Objective Response' timeFrame='Screening and every 8 weeks by calendar thereafter, up to 24 months after last participant randomization.' populationDescription='FAS included all randomized participants regardless of what treatment, if any, was received.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST 1.1 || om[5] type=SECONDARY title='Percentage of Participants With Disease Control Rate (DCR) at 16 Weeks' timeFrame='From first randomization to date of first documented progression or date of death from any cause, whichever came first, assessed up to 24 months after last participant randomization' populationDescription='FAS included all randomized participants regardless of what treatment, if any, was received.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=RECIST (unversioned)	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 100 mg	ctg_results_bor_2010_2013	2	6|9	29|29	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 150 mg	ctg_results_bor_2010_2013	2	6|9	13|13	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 200 mg	ctg_results_bor_2010_2013	2	6|9	22|22	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 300 mg	ctg_results_bor_2010_2013	2	6|9	14|14	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 450 mg	ctg_results_bor_2010_2013	2	6|9	5|5	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 50 mg	ctg_results_bor_2010_2013	2	6|9	9|9	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 60 mg	ctg_results_bor_2010_2013	2	6|9	7|7	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 650 mg	ctg_results_bor_2010_2013	2	6|9	7|7	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose escalation: enasidenib 75 mg	ctg_results_bor_2010_2013	2	6|9	7|7	6	Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose	BASIS_EXISTS	timeFrame	om[6] type=SECONDARY title='Phase 1 Dose Escalation: Investigator Assessed Overall Response Rate (ORR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in the dose escalation phase was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[9] type=SECONDARY title='Phase 1 Dose Escalation: Complete Response Rate (CRR) by Total Daily Dose' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Escalation was 5.0 months (range 0.4 to 34.2 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Dose Escalation. Participants were grouped according to assigned total daily dose.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose expansion arm 1: enasidenib 100 mg qd	ctg_results_bor_2010_2013	2	7|10	49|49	7	Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)	BASIS_EXISTS	populationDescription	om[7] type=SECONDARY title='Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Expansion.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[10] type=SECONDARY title='Phase 1 Dose Expansion: Complete Response Rate' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants in Phase 1 Dose Expansion who received at least one dose of study treatment.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose expansion arm 2: enasidenib 100 mg qd	ctg_results_bor_2010_2013	2	7|10	25|25	7	Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)	BASIS_EXISTS	populationDescription	om[7] type=SECONDARY title='Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Expansion.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[10] type=SECONDARY title='Phase 1 Dose Expansion: Complete Response Rate' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants in Phase 1 Dose Expansion who received at least one dose of study treatment.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose expansion arm 3: enasidenib 100 mg qd	ctg_results_bor_2010_2013	2	7|10	25|25	7	Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)	BASIS_EXISTS	populationDescription	om[7] type=SECONDARY title='Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Expansion.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[10] type=SECONDARY title='Phase 1 Dose Expansion: Complete Response Rate' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants in Phase 1 Dose Expansion who received at least one dose of study treatment.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01915498	phase 1 dose expansion arm 4: enasidenib 100 mg qd	ctg_results_bor_2010_2013	2	7|10	27|27	7	Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)	BASIS_EXISTS	populationDescription	om[7] type=SECONDARY title='Phase 1 Dose Expansion: Investigator Assessed Overall Response Rate (ORR)' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants who received at least one dose of study treatment in Phase 1 Expansion.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG || om[10] type=SECONDARY title='Phase 1 Dose Expansion: Complete Response Rate' timeFrame='Response assessments were performed every 28 days through Month 12 and every 56 days thereafter until the end of treatment; median duration of treatment exposure in Phase 1 Dose Expansion was 5.2 months (range 0.5 to 32.8 months).' populationDescription='All participants in Phase 1 Dose Expansion who received at least one dose of study treatment.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=IWG	NO_CHANGE_SAME_PICK			
NCT01938001	rituximab + lenalidomide (r^2)	ctg_results_bor_2010_2013	2	1|3	178|178	1	Durable Complete Response Rate (DCCR) as Assessed by the IRC According to the 2007 IWGRC	BASIS_EXISTS	timeFrame	om[1] type=SECONDARY title='Durable Complete Response Rate (DCCR) as Assessed by the IRC According to the 2007 IWGRC' timeFrame='From first dose of investigational product (IP) to data cut-off date of 22 June 2018; the median treatment duration was 11.19 months in the rituximab/lenalidomiade arm and 11.04 months in the rituximab/placebo arm' populationDescription='The ITT population was defined as all participants who were randomized into the trial, regardless of whether they received study treatment or not.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=none || om[3] type=SECONDARY title='Percentage of Participants With an Objective Response as Assessed by the IRC According to the 2007 IWGRC' timeFrame='From date of first dose to data cut-off date of 22 June 2018; the median treatment duration was 11.19 months in the rituximab/lenalidomide arm and 11.04 months in the rituximab/placebo arm' populationDescription='The ITT population was defined as all participants who were randomized into the trial, regardless of whether they received study treatment or not.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=none	CHANGES	3	Percentage of Participants With an Objective Response as Assessed by the IRC According to the 2007 IWGRC	
NCT01938001	rituximab + placebo	ctg_results_bor_2010_2013	2	1|3	180|180	1	Durable Complete Response Rate (DCCR) as Assessed by the IRC According to the 2007 IWGRC	BASIS_EXISTS	timeFrame	om[1] type=SECONDARY title='Durable Complete Response Rate (DCCR) as Assessed by the IRC According to the 2007 IWGRC' timeFrame='From first dose of investigational product (IP) to data cut-off date of 22 June 2018; the median treatment duration was 11.19 months in the rituximab/lenalidomiade arm and 11.04 months in the rituximab/placebo arm' populationDescription='The ITT population was defined as all participants who were randomized into the trial, regardless of whether they received study treatment or not.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=none || om[3] type=SECONDARY title='Percentage of Participants With an Objective Response as Assessed by the IRC According to the 2007 IWGRC' timeFrame='From date of first dose to data cut-off date of 22 June 2018; the median treatment duration was 11.19 months in the rituximab/lenalidomide arm and 11.04 months in the rituximab/placebo arm' populationDescription='The ITT population was defined as all participants who were randomized into the trial, regardless of whether they received study treatment or not.' paramType='NUMBER' unitOfMeasure='Percentage of Participants' criteria=none	CHANGES	3	Percentage of Participants With an Objective Response as Assessed by the IRC According to the 2007 IWGRC	
NCT01943461	expansion cohort: avelumab 10 mg/kg	ctg_results_bor_2010_2013	2	17|18	40|40	17	Expansion Cohort: Number of Participants With Best Overall Response (BOR) According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1	BASIS_EXISTS	title(other wording)	om[17] type=SECONDARY title='Expansion Cohort: Number of Participants With Best Overall Response (BOR) According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1' timeFrame='Time from first dose of study treatment up to 1906 days' populationDescription='Safety analysis set included all participants who have received at least 1 dose of study treatment.' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned) || om[18] type=SECONDARY title='Expansion Cohort: Number of Participants With Immune-related Best Overall Response (irBOR) According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1' timeFrame='Time from first dose of study treatment up to 1906 days' populationDescription='Safety analysis set included all participants who have received at least 1 dose of study treatment.' paramType='COUNT_OF_PARTICIPANTS' unitOfMeasure='Participants' criteria=RECIST (unversioned)	CONDITIONAL			
NCT01951586	denosumab	ctg_placebo_onc_2010_2013	2	3|6	144|144	3	Objective Response Rate	BASIS_EXISTS	title/construct	om[3] type=SECONDARY title='Objective Response Rate' timeFrame='From randomization until the data cut-off date of 29 July 2016; median time on study was 9.64 months.' populationDescription='Randomized participants with at least one baseline measurable lesion per modified RECIST 1.1.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1|mRECIST || om[6] type=SECONDARY title='Clinical Benefit Rate' timeFrame='From randomization until the data cut-off date of 29 July 2016; median time on study was 9.64 months.' populationDescription='Randomized participants with at least one baseline measurable lesion per modified RECIST 1.1.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1|mRECIST	NO_CHANGE_SAME_PICK			
NCT01951586	placebo	ctg_placebo_onc_2010_2013	2	3|6	76|76	3	Objective Response Rate	BASIS_EXISTS	title/construct	om[3] type=SECONDARY title='Objective Response Rate' timeFrame='From randomization until the data cut-off date of 29 July 2016; median time on study was 9.64 months.' populationDescription='Randomized participants with at least one baseline measurable lesion per modified RECIST 1.1.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1|mRECIST || om[6] type=SECONDARY title='Clinical Benefit Rate' timeFrame='From randomization until the data cut-off date of 29 July 2016; median time on study was 9.64 months.' populationDescription='Randomized participants with at least one baseline measurable lesion per modified RECIST 1.1.' paramType='NUMBER' unitOfMeasure='percentage of participants' criteria=RECIST 1.1|mRECIST	NO_CHANGE_SAME_PICK			
NCT01958021	placebo + letrozole	ctg_placebo_onc_2010_2013	2	2|3	334|334	2	Overall Response Rate (ORR) by Investigator Assessment	BASIS_EXISTS	title/construct	om[2] type=SECONDARY title='Overall Response Rate (ORR) by Investigator Assessment' timeFrame='Up to 23 months' populationDescription='FAS including all randomized participants' paramType='NUMBER' unitOfMeasure='Percentage of participants' criteria=RECIST 1.1 || om[3] type=SECONDARY title='Clinical Benefit Rate (CBR) by Investigator Assessment' timeFrame='Up to 23 months' populationDescription='FAS including all randomized participants' paramType='NUMBER' unitOfMeasure='Percentage of participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01958021	ribociclib + letrozole	ctg_placebo_onc_2010_2013	2	2|3	334|334	2	Overall Response Rate (ORR) by Investigator Assessment	BASIS_EXISTS	title/construct	om[2] type=SECONDARY title='Overall Response Rate (ORR) by Investigator Assessment' timeFrame='Up to 23 months' populationDescription='FAS including all randomized participants' paramType='NUMBER' unitOfMeasure='Percentage of participants' criteria=RECIST 1.1 || om[3] type=SECONDARY title='Clinical Benefit Rate (CBR) by Investigator Assessment' timeFrame='Up to 23 months' populationDescription='FAS including all randomized participants' paramType='NUMBER' unitOfMeasure='Percentage of participants' criteria=RECIST 1.1	NO_CHANGE_SAME_PICK			
NCT01980888	idelalisib+bendamustine+rituximab	ctg_placebo_onc_2014_2017	2	1|3	0|0	1	Overall Response Rate	BASIS_EXISTS	title(other wording)	om[1] type=SECONDARY title='Overall Response Rate' timeFrame='Up to 22 months' populationDescription='The study was terminated in agreement with the FDA due to urgent safety measures. Complete data were not collected for any participant.' paramType='' unitOfMeasure='' criteria=none || om[3] type=SECONDARY title='Complete Response Rate' timeFrame='Up to 22 months' populationDescription='The study was terminated in agreement with the FDA due to urgent safety measures. Complete data were not collected for any participant.' paramType='' unitOfMeasure='' criteria=none	NO_CHANGE_SAME_PICK			
NCT01980888	placebo+bendamustine+rituximab	ctg_placebo_onc_2014_2017	2	1|3	0|0	1	Overall Response Rate	BASIS_EXISTS	title(other wording)	om[1] type=SECONDARY title='Overall Response Rate' timeFrame='Up to 22 months' populationDescription='The study was terminated in agreement with the FDA due to urgent safety measures. Complete data were not collected for any participant.' paramType='' unitOfMeasure='' criteria=none || om[3] type=SECONDARY title='Complete Response Rate' timeFrame='Up to 22 months' populationDescription='The study was terminated in agreement with the FDA due to urgent safety measures. Complete data were not collected for any participant.' paramType='' unitOfMeasure='' criteria=none	NO_CHANGE_SAME_PICK			
