peak	hg18_coords	classification	gene_id	gene_symbol	peak_exon_gene_symbol	differentially_expressed_cancer_type
4411	chr2:219782134-219782594_+	coding	NM_138802	ZFAND2B	ZFAND2B	
4415	chr2:219809285-219809708_+	coding	NM_001042410	ANKZF1	ANKZF1	
4416	chr2:219821569-219821852_+	coding	NM_001008910	STK16	STK16	
4417	chr2:219823063-219823354_+	coding	NM_001008910	STK16	STK16	HN_
4418	chr2:219859089-219859842_+	coding	NM_006736	DNAJB2	DNAJB2	
4420	chr2:219998624-219998689_+	coding	NM_001927	DES	DES	Prostate_
4421	chr2:219998875-219999681_+	coding	NM_001927	DES	DES	Prostate_
4423	chr2:220039314-220039812_+	coding	NM_001173476	SPEG	SPEG	LMS_
4424	chr2:220062426-220062632_+	coding	NM_005876	SPEG	SPEG	
4425	chr2:220066166-220066572_+	coding	NM_005876	SPEG	SPEG	LMS_
4426	chr2:220071000-220071253_+	Hughes	NM_005876	SPEG		LMS_
4427	chr2:220079661-220079936_+	coding	NM_013335	GMPPA	GMPPA	NPC_ESS_
4428	chr2:220111459-220111715_+	coding	NM_182847	ACCN4	ACCN4	
4430	chr2:220123088-220123537_+	coding	NM_001005209	TMEM198	TMEM198	HN_
4431	chr2:220128688-220129002_+	all_mrna	AK092118			
4432	chr2:220132352-220132564_+	downstream	AK092118			
4434	chr2:220148244-220148654_+	coding	NM_002191	INHA	INHA	EWS_SS_
4435	chr2:220182432-220182657_+	coding	NM_052902	STK11IP	STK11IP	MLS_
4436	chr2:220189015-220189394_+	coding	NM_052902	STK11IP	STK11IP	MLS_
4437	chr2:220214614-220214921_+	coding	NM_201574	SLC4A3	SLC4A3	MLS_
4440	chr2:222145478-222145603_+	all_mrna	uc002vms.1			EWS_
4444	chr2:223131838-223132043_+	coding	NM_152386	SGPP2	SGPP2	HN_
4445	chr2:223135439-223135560_+	downstream	AK096323	SGPP2		NPC_
4447	chr2:223501370-223501592_+	intron	NM_203372	ACSL3		
4448	chr2:223514650-223514829_+	coding	NM_203372	ACSL3	ACSL3	
4449	chr2:223514985-223515179_+	coding	NM_203372	ACSL3	ACSL3	
4450	chr2:223515847-223516030_+	coding	NM_203372	ACSL3	ACSL3	
4451	chr2:223517356-223517591_+	all_mrna	uc002vnk.1	ACSL3	ACSL3	GIST_
4452	chr2:223628427-223628575_+	coding	NM_080671	KCNE4	KCNE4	
4453	chr2:224539880-224540131_+	coding	NM_022915	MRPL44	MRPL44	
4454	chr2:224540473-224540650_+	coding	NM_022915	MRPL44	MRPL44	
4458	chr2:226738658-226738820_+	intron	uc002vog.1			
4459	chr2:227374095-227374317_+	promoter				Bladder_
4460	chr2:227374549-227374730_+	promoter				
4462	chr2:227383804-227383980_+	Hughes	AK127274			
4465	chr2:227572068-227572152_+	coding	NM_001167608	RHBDD1	RHBDD1	NPC_
4466	chr2:227887579-227887766_+	coding	NM_031365	COL4A3	COL4A3	
4467	chr2:227921954-227922121_+	intron	NM_020194	MFF		
4468	chr2:227930047-227930103_+	coding	NM_020194	MFF	MFF	
4469	chr2:227930699-227930742_+	coding	NM_020194	MFF	MFF	
4470	chr2:228069168-228069301_+	intron	NM_001135189	AGFG1		NPC_
4471	chr2:228079319-228079504_+	intron	NM_001135189	AGFG1		
4472	chr2:228112540-228112577_+	intron	NM_001135189	AGFG1		NPC_
4473	chr2:228127859-228128060_+	coding	NM_001135189	AGFG1	AGFG1	
4474	chr2:228129427-228129603_+	coding	NM_001135189	AGFG1	AGFG1	
4475	chr2:228133941-228134161_+	coding	NM_001135189	AGFG1	AGFG1	NPC_GIST_
4476	chr2:228390316-228390501_+	coding	NM_001130046	CCL20	CCL20	NPC_
4478	chr2:229753707-229753777_+	intron	CU691825			
4479	chr2:229753798-229753894_+	intron	CU691825			
4480	chr2:229824718-229824891_+	intron	CU691825			NPC_
4484	chr2:230927704-230927736_+	intron	NM_138402	SP140L		NPC_
4485	chr2:230976494-230976671_+	coding	NM_138402	SP140L	SP140L	NPC_
4486	chr2:231043109-231043472_+	coding	uc002vqq.1	SP100	SP100	HN_
4487	chr2:231096955-231097002_+	intron	NM_001080391	SP100		NPC_
4488	chr2:231118501-231118634_+	coding	NM_001080391	SP100	SP100	NPC_
4489	chr2:231315420-231315499_+	intron	NM_016289	CAB39		
4490	chr2:231344187-231344256_+	intron	NM_016289	CAB39		NPC_
4492	chr2:231450964-231451223_+	coding	NM_030926	ITM2C	ITM2C	
4493	chr2:231451421-231452208_+	coding	NM_030926	ITM2C	ITM2C	GIST_
4494	chr2:231620460-231620844_+	coding	NM_001144994	C2orf72	C2orf72	
4495	chr2:231621552-231621874_+	coding	NM_001144994	C2orf72	C2orf72	Prostate_
4496	chr2:231622384-231622653_+	coding	NM_001144994	C2orf72	C2orf72	Prostate_
4497	chr2:231625355-231625568_+	all_mrna	AF086098			ESS_
4498	chr2:231735541-231735635_+	intron	NM_002807	PSMD1		
4499	chr2:231736571-231736658_+	coding	NM_002807	PSMD1	PSMD1	
4500	chr2:231738047-231738189_+	coding	NM_002807	PSMD1	PSMD1	
4501	chr2:231745489-231745799_+	coding	NM_002807	PSMD1	PSMD1	
4502	chr2:231776929-231776999_+	intron	NM_025139	ARMC9		
4503	chr2:231827383-231827493_+	intron	NM_025139	ARMC9		
4504	chr2:231917927-231918134_+	coding	NM_025139	ARMC9	ARMC9	Breast_
4505	chr2:231934165-231934269_+	intron	uc002vrr.1	ARMC9		
4506	chr2:231945419-231945626_+	ref_known_Gencode_nc	uc002vrr.1	ARMC9	ARMC9	
4507	chr2:231947232-231947482_+	ref_known_Gencode_nc	AB058771			
4508	chr2:231967682-231967922_+	Gencode_lnc	BC014149			ESS_
4511	chr2:232037808-232038017_+	intron				EWS_
4512	chr2:232285561-232285752_+	ref_known_Gencode_nc	BX647606	PTMA	PTMA	
4513	chr2:232380438-232380976_+	coding	NM_022730	COPS7B	COPS7B	
4514	chr2:232381070-232381725_+	coding	NM_022730	COPS7B	COPS7B	Bladder_
4516	chr2:232704720-232704883_+	coding	uc002vsn.1	DIS3L2	DIS3L2	NPC_
4517	chr2:232854816-232855079_+	intron	NM_152383	DIS3L2		NPC_
4518	chr2:232909510-232909966_+	coding	NM_152383	DIS3L2	DIS3L2	HN_ESS_
4519	chr2:232909987-232910090_+	coding	NM_152383	DIS3L2	DIS3L2	
4521	chr2:232917523-232917612_+	downstream	AK094293	DIS3L2		
4523	chr2:233141621-233142140_+	coding	NM_004846	EIF4E2	EIF4E2	HN_GIST_
4524	chr2:233153858-233154025_+	coding	uc002vtb.1	EIF4E2	EIF4E2	
4525	chr2:233156397-233156577_+	coding	uc002vtb.1	EIF4E2	EIF4E2	GIST_
4527	chr2:233215897-233216132_+	intron	NM_025202	EFHD1		Breast_
4529	chr2:233255036-233255717_+	coding	NM_025202	EFHD1	EFHD1	Breast_
4530	chr2:233279756-233279817_+	intron	NM_015575	GIGYF2		NPC_
4531	chr2:233281413-233281496_+	intron	NM_015575	GIGYF2		NPC_
4532	chr2:233312649-233312749_+	intron	NM_015575	GIGYF2		NPC_
4533	chr2:233346623-233346763_+	all_mrna	BC012484	GIGYF2	GIGYF2	NPC_
4534	chr2:233346876-233346910_+	intron	NM_015575	GIGYF2		
4535	chr2:233389781-233389964_+	coding	NM_015575	GIGYF2	GIGYF2	
4536	chr2:233430613-233430780_+	coding	NM_015575	GIGYF2	GIGYF2	NPC_
4537	chr2:233431264-233431561_+	coding	NM_015575	GIGYF2	GIGYF2	
4538	chr2:233433416-233433534_+	coding	NM_015575	GIGYF2	GIGYF2	
4539	chr2:233448752-233449053_+	coding	NM_206895	C2orf82	C2orf82	
4540	chr2:233449151-233449337_+	coding	NM_206895	C2orf82	C2orf82	
4542	chr2:233451381-233451722_+	ref_known_Gencode_nc	BC049848	C2orf82	C2orf82	
4543	chr2:233739706-233739801_+	intron	NM_005541	INPP5D		NPC_
4544	chr2:233743752-233743951_+	coding	NM_005541	INPP5D	INPP5D	
4545	chr2:233780728-233781272_+	coding	NM_005541	INPP5D	INPP5D	NPC_
4546	chr2:233849121-233849341_+	ref_known_Gencode_nc	NR_003008	SCARNA5	SCARNA5	
4547	chr2:233868652-233869035_+	coding	NM_017974	ATG16L1	ATG16L1	
4548	chr2:234034289-234034389_+	intron	NM_003648	DGKD		
4550	chr2:234043149-234043507_+	coding	NM_003648	DGKD	DGKD	
4551	chr2:234044793-234045466_+	coding	NM_003648	DGKD	DGKD	
4552	chr2:234048875-234049144_+	all_mrna	BC047714			
4553	chr2:234342976-234343089_+	coding	uc002vuq.2	UGT1A10	UGT1A10	Bladder_
4554	chr2:234346398-234346670_+	coding	NM_019076	UGT1A8	UGT1A8	Bladder_
4556	chr2:234516099-234516368_+	coding	NM_024080	TRPM8	TRPM8	Prostate_
4557	chr2:234591715-234591943_+	coding	NM_024080	TRPM8	TRPM8	Prostate_
4558	chr2:234592696-234592885_+	coding	NM_024080	TRPM8	TRPM8	Prostate_
4561	chr2:235526335-235526561_+	ref_known_Gencode_nc	NM_014521	SH3BP4		
4563	chr2:235628607-235629073_+	coding	NM_014521	SH3BP4	SH3BP4	GIST_
4564	chr2:236154269-236154432_+	intron	NM_001037131	AGAP1		
4565	chr2:236221846-236221963_+	intron	NM_001037131	AGAP1		
4566	chr2:236251001-236251275_+	intron	NM_001037131	AGAP1		
4567	chr2:236303601-236303844_+	all_mrna	AK055821			
4568	chr2:236307660-236307894_+	intron	NM_001037131	AGAP1		MLS_
4569	chr2:236404340-236404551_+	intron	NM_001037131	AGAP1		
4570	chr2:236442568-236442675_+	all_mrna	AK074478			
4571	chr2:236652456-236652610_+	intron	NM_001037131	AGAP1		NPC_
4572	chr2:236668075-236668184_+	intron	NM_001037131	AGAP1		
4573	chr2:236704831-236705155_+	coding	CR608907			
4574	chr2:236743469-236743654_+	promoter				ESS_SS_
4575	chr2:236760552-236760762_+	novel_intergenic				ESS_
4578	chr2:236977337-236977528_+	intron				ESS_
4579	chr2:237144765-237144987_+	all_mrna	uc002vwe.1	CXCR7	CXCR7	
4580	chr2:237155464-237155716_+	coding	NM_020311	CXCR7	CXCR7	HN_
4581	chr2:237671243-237671486_+	coding	NM_198189	COPS8	COPS8	
4582	chr2:237671764-237672207_+	coding	NM_198189	COPS8	COPS8	
4583	chr2:237833504-237833666_+	novel_intergenic				
4588	chr2:238063440-238063624_+	intron	NM_024101	MLPH		
4589	chr2:238065640-238065751_+	intron	NM_024101	MLPH		
4592	chr2:238086121-238086470_+	intron	NM_024101	MLPH		Breast_Prostate_
4594	chr2:238100759-238100917_+	coding	NM_024101	MLPH	MLPH	Breast_
4595	chr2:238105690-238105891_+	intron	NM_024101	MLPH		Breast_
4596	chr2:238126945-238127396_+	coding	NM_024101	MLPH	MLPH	Breast_Prostate_
4598	chr2:238280556-238280665_+	intron	NM_001137553	LRRFIP1		
4599	chr2:238313390-238313496_+	all_mrna	AK023938			
4601	chr2:238339205-238339283_+	coding	NM_001137553	LRRFIP1	LRRFIP1	HN_
4602	chr2:238352980-238353239_+	coding	NM_001137550	LRRFIP1	LRRFIP1	
4603	chr2:238353264-238353676_+	coding	NM_001137550	LRRFIP1	LRRFIP1	Bladder_GIST_
4604	chr2:238484906-238485473_+	coding	NM_005855	RAMP1	RAMP1	ESS_GIST_
4606	chr2:238614769-238614806_+	coding	NM_080678	UBE2F	UBE2F	NPC_
4607	chr2:238614849-238615419_+	coding	NM_080678	UBE2F	UBE2F	HN_
4608	chr2:238615694-238615955_+	coding	AK290063			
4609	chr2:238665038-238665431_+	coding	uc002vxn.2	SCLY	SCLY	
4610	chr2:238667979-238668201_+	intron	NM_016510	SCLY		
4611	chr2:238672540-238672769_+	coding	NM_016510	SCLY	SCLY	NPC_
4612	chr2:238706417-238706642_+	coding	NM_194312	ESPNL	ESPNL	EWS_
4613	chr2:238741962-238742251_+	coding	uc002vxt.2			EWS_
4617	chr2:238974002-238974267_+	coding	NM_015650	TRAF3IP1	TRAF3IP1	
4618	chr2:239019768-239020313_+	coding	NM_001040445	ASB1	ASB1	
4619	chr2:239025217-239025606_+	coding	NM_001040445	ASB1	ASB1	
4620	chr2:239460608-239460809_+	coding	BC033168			ESS_MLS_
4621	chr2:239496916-239497158_+	Bartel				ESS_MLS_
4625	chr2:239988713-239988970_+	promoter				
4627	chr2:240602866-240602922_+	all_mrna	CU678463			
4629	chr2:241044497-241044947_+	intron	NM_002081	GPC1		
4630	chr2:241046011-241046201_+	intron	NM_002081	GPC1		Bladder_
4633	chr2:241054133-241054903_+	coding	NM_002081	GPC1	GPC1	
4634	chr2:241055007-241056173_+	coding	NM_002081	GPC1	GPC1	
4635	chr2:241149422-241149715_+	coding	NM_001033575	DUSP28	DUSP28	
4636	chr2:241165683-241166798_+	coding	NM_018226	RNPEPL1	RNPEPL1	NPC_
4637	chr2:241186736-241187197_+	coding	NM_023085	CAPN10	CAPN10	HN_GIST_
4638	chr2:241204589-241204813_+	coding	NM_023089	CAPN10	CAPN10	
4639	chr2:241218996-241219326_+	coding	NM_005301	GPR35	GPR35	Colon_
4640	chr2:241466983-241467145_+	coding	NM_000030	AGXT	AGXT	
4641	chr2:241581185-241581316_+	novel_intergenic				
4642	chr2:241650235-241650441_+	intron	NM_001080437	SNED1		
4643	chr2:241661834-241662017_+	coding	uc002wak.2	SNED1	SNED1	ESS_
4645	chr2:241680655-241681149_+	coding	NM_001080437	SNED1	SNED1	ESS_
4646	chr2:241683174-241683826_+	all_mrna	AK074075	SNED1	SNED1	ESS_
4647	chr2:241742374-241742489_+	intron	NM_002712	PPP1R7		NPC_
4648	chr2:241754418-241754510_+	coding	NM_002712	PPP1R7	PPP1R7	
4649	chr2:241754769-241755242_+	coding	uc002war.1	PPP1R7	PPP1R7	
4650	chr2:241766829-241767038_+	all_mrna	BC027905			
4651	chr2:241770732-241771088_+	coding	NM_002712	PPP1R7	PPP1R7	Prostate_
4652	chr2:241771427-241771711_+	all_mrna	CR609492	PPP1R7	PPP1R7	NPC_
4653	chr2:241783979-241784228_+	coding	NM_001001666	ANO7	ANO7	Prostate_
4654	chr2:241811264-241811481_+	coding	NM_001001891	ANO7	ANO7	Prostate_
4655	chr2:241812161-241813323_+	coding	NM_001001891	ANO7	ANO7	Prostate_
4656	chr2:241813666-241814091_+	downstream	AK057322	ANO7		Prostate_
4659	chr2:241817279-241817750_+	all_mrna	AF116718	HDLBP	HDLBP	Prostate_
4662	chr2:241861392-241861588_+	intron				
4663	chr2:241906035-241906199_+	all_mrna	BC043180	2-Sep	2-Sep	MLS_
4664	chr2:241915362-241915603_+	intron	NM_006155	2-Sep		MLS_
4665	chr2:241940057-241940716_+	coding	NM_006155	2-Sep	2-Sep	
4666	chr2:242034820-242035217_+	all_mrna	AK055601			
4667	chr2:242037166-242037252_+	intron	NM_014808	FARP2		NPC_
4668	chr2:242068953-242069015_+	intron	NM_014808	FARP2		
4669	chr2:242082578-242082949_+	coding	NM_014808	FARP2	FARP2	HN_MLS_
4672	chr2:242097756-242097954_+	promoter				
4673	chr2:242161424-242162214_+	coding	NM_032515	BOK	BOK	NPC_GIST_MLS_SS_
4675	chr2:242170555-242170748_+	downstream	AK095022			GIST_
4677	chr2:242260162-242260703_+	coding	NM_013325	ATG4B	ATG4B	GIST_
4678	chr2:242261388-242261807_+	coding	NM_013325	ATG4B	ATG4B	HN_
4680	chr2:242275297-242275599_+	all_mrna	CU674895			MLS_
4681	chr2:242278127-242278338_+	downstream	CU674895			
4682	chr2:242282532-242282626_+	novel_intergenic				
4684	chr2:242313657-242314064_+	coding	NM_032329	ING5	ING5	EWS_
4686	chr2:242317340-242317544_+	coding	NM_032329	ING5	ING5	Bladder_
4687	chr2:242352036-242352083_+	intron	NM_152783	D2HGDH		
4688	chr2:242356501-242356878_+	coding	NM_152783	D2HGDH	D2HGDH	EWS_
4689	chr2:242397908-242398054_+	intron	AB040610	GAL3ST2		EWS_
4690	chr2:242398814-242399052_+	coding	NM_001167601	NEU4	NEU4	EWS_
4691	chr2:242407131-242407392_+	coding	NM_001167599	NEU4	NEU4	EWS_
4692	chr2:242411364-242411494_+	downstream	BC063465	NEU4		EWS_
4693	chr2:242412349-242412519_+	novel_intergenic				EWS_
4694	chr2:242414687-242415000_+	novel_intergenic				EWS_
4695	chr2:242453070-242453235_+	promoter				EWS_
4696	chr2:242454546-242454835_+	promoter				EWS_
4697	chr2:242464451-242464633_+	all_mrna	AK094921			EWS_
4698	chr2:242481879-242482131_+	novel_intergenic				NPC_
4699	chr2:242505084-242505300_+	promoter				
4700	chr2:242558820-242558998_+	promoter				EWS_
4701	chr2:242562597-242562741_+	Bartel	uc002wcs.1			
4702	chr2:242567851-242568079_+	Bartel	uc002wcs.1			MLS_
4705	chr2:242579282-242579446_+	all_mrna	AK098031			EWS_
4706	chr2:242587886-242588110_+	intron	AK125674			EWS_
4709	chr3:425913-426076_+	coding	NM_001100168	CCR5	CCR5	
4713	chr3:2145791-2145936_+	all_mrna	AK130917			
4714	chr3:2165097-2165133_+	intron	NM_175607	CNTN4		
4716	chr3:3074498-3074622_+	coding	NM_175607	CNTN4	CNTN4	
4717	chr3:3165400-3165683_+	coding	NM_182916	TRNT1	TRNT1	Bladder_
4719	chr3:3169946-3170095_+	intron	CU675979			NPC_
4721	chr3:3829352-3829483_+	intron	NM_020873	LRRN1		NPC_
4722	chr3:3864077-3864373_+	coding	NM_020873	LRRN1	LRRN1	
4723	chr3:4339136-4339219_+	intron				
4724	chr3:4559680-4559796_+	intron	NM_002222	ITPR1		NPC_
4725	chr3:4692620-4692771_+	intron	NM_002222	ITPR1		
4727	chr3:4803786-4803939_+	intron	NM_002222	ITPR1		
4728	chr3:4863888-4864063_+	coding	NM_002222	ITPR1	ITPR1	
4729	chr3:4864086-4864166_+	coding	NM_002222	ITPR1	ITPR1	
4730	chr3:4999729-5000502_+	coding	NM_003670	BHLHE40	BHLHE40	HN_
4731	chr3:5000551-5001846_+	coding	NM_003670	BHLHE40	BHLHE40	HN_GIST_
4732	chr3:5120403-5120508_+	novel_intergenic				NPC_
4734	chr3:5196089-5196202_+	coding	NM_018184	ARL8B	ARL8B	HN_
4735	chr3:5197468-5197576_+	coding	NM_018184	ARL8B	ARL8B	
4736	chr3:5235987-5236626_+	coding	NM_014674	EDEM1	EDEM1	NPC_
4738	chr3:5865108-5865302_+	novel_intergenic				
4739	chr3:6915269-6915402_+	intron	NM_181874	GRM7		
4741	chr3:8536259-8536413_+	intron	NM_014583	LMCD1		
4742	chr3:8584152-8584404_+	coding	NM_014583	LMCD1	LMCD1	
4743	chr3:8584433-8584787_+	coding	NM_014583	LMCD1	LMCD1	GIST_
4744	chr3:8590372-8590549_+	Bartel	NR_024065	LOH3CR2A	LOH3CR2A	NPC_
4745	chr3:8590999-8591329_+	ref_known_Gencode_nc	NR_024065	LOH3CR2A		MLS_
4747	chr3:9401322-9401533_+	coding	NM_001114092	THUMPD3	THUMPD3	NPC_
4748	chr3:9402166-9402403_+	coding	NM_001114092	THUMPD3	THUMPD3	NPC_
4749	chr3:9403063-9403224_+	coding	NM_001114092	THUMPD3	THUMPD3	
4750	chr3:9471169-9471207_+	intron	NM_001080517	SETD5		NPC_
4751	chr3:9483703-9483730_+	intron	NM_001080517	SETD5		NPC_
4752	chr3:9492743-9493129_+	coding	NM_001080517	SETD5	SETD5	GIST_MLS_
4753	chr3:9494644-9494779_+	coding	NM_001080517	SETD5	SETD5	HN_
4754	chr3:9718472-9719053_+	coding	NM_022485	MTMR14	MTMR14	MLS_
4755	chr3:9746343-9746568_+	coding	NM_153635	CPNE9	CPNE9	ESS_
4756	chr3:9764373-9764424_+	coding	NM_004634	BRPF1	BRPF1	HN_
4757	chr3:9764460-9764544_+	coding	NM_004634	BRPF1	BRPF1	
4758	chr3:9764565-9764720_+	coding	NM_004634	BRPF1	BRPF1	
4759	chr3:9769014-9769168_+	intron	NM_016821	OGG1		
4760	chr3:9773681-9774259_+	coding	NM_016819	OGG1	OGG1	HN_MLS_
4761	chr3:9778464-9778684_+	all_mrna	uc003bsv.1			
4762	chr3:9783180-9783341_+	coding	NM_016821	OGG1	OGG1	
4764	chr3:9822893-9823181_+	coding	NM_005718	ARPC4	ARPC4	
4765	chr3:9823213-9823786_+	coding	NM_005718	ARPC4	ARPC4	NPC_
4766	chr3:9837389-9837702_+	coding	NM_001025930	TTLL3	TTLL3	
4767	chr3:9845752-9846200_+	coding	NM_001025930	TTLL3	TTLL3	
4768	chr3:9851364-9852095_+	coding	NM_001025930	TTLL3	TTLL3	HN_
4769	chr3:9852894-9852962_+	coding	NM_001025930	TTLL3	TTLL3	
4771	chr3:9910264-9910542_+	coding	NM_032492	JAGN1	JAGN1	
4773	chr3:9932868-9933062_+	coding	NM_153480	IL17RE	IL17RE	
4774	chr3:9949832-9950292_+	coding	NM_032732	IL17RC	IL17RC	
4775	chr3:9961053-9961731_+	coding	NM_001077415	CRELD1	CRELD1	HN_GIST_
4776	chr3:9961787-9962079_+	coding	NM_001077415	CRELD1	CRELD1	
4778	chr3:9970396-9970481_+	intron				MLS_
4782	chr3:9981452-9981643_+	intron	CU692723			MLS_
4783	chr3:9994584-9994702_+	intron	CU692723			MLS_
4784	chr3:10021714-10021881_+	coding	uc003bup.1			
4785	chr3:10023525-10023656_+	Gencode_lnc	BC022834			
4786	chr3:10118363-10118606_+	coding	NM_001018115	FANCD2	FANCD2	NPC_
4788	chr3:10143377-10143489_+	coding	NM_018462	C3orf10	C3orf10	
4789	chr3:10143754-10143851_+	coding	NM_018462	C3orf10	C3orf10	
4790	chr3:10168638-10168668_+	coding	NM_000551	VHL	VHL	
4791	chr3:10170131-10170271_+	coding	AF088066	VHL		Bladder_NPC_GIST_
4794	chr3:10296033-10296253_+	coding	NM_014760	TATDN2	TATDN2	
4795	chr3:10296524-10296674_+	coding	NM_014760	TATDN2	TATDN2	
4796	chr3:10297500-10297885_+	coding	NM_014760	TATDN2	TATDN2	
4797	chr3:10309212-10309469_+	Gencode_lnc	NR_024145	GHRLOS	GHRLOS	
4798	chr3:10327597-10327840_+	intron	CU678079			NPC_
4800	chr3:10955704-10955865_+	downstream	NM_014229	SLC6A11		HN_
4801	chr3:10957068-10957391_+	downstream	NM_014229	SLC6A11		HN_
4802	chr3:11055761-11055909_+	coding	NM_003042	SLC6A1	SLC6A1	
4803	chr3:11278794-11278955_+	coding	NM_001098213	HRH1	HRH1	HN_
4806	chr3:11367118-11367297_+	intron	NM_006395	ATG7		NPC_
4807	chr3:11449544-11449638_+	intron	NM_006395	ATG7		
4808	chr3:11458951-11459100_+	intron	NM_006395	ATG7		NPC_
4810	chr3:11522882-11522934_+	intron	NM_006395	ATG7		NPC_
4811	chr3:11524198-11524408_+	intron	NM_006395	ATG7		NPC_
4812	chr3:11524555-11524710_+	intron	NM_006395	ATG7		
4813	chr3:11526636-11526838_+	intron	NM_006395	ATG7		NPC_
4814	chr3:11532247-11532490_+	intron	NM_006395	ATG7		NPC_
4815	chr3:11554913-11555033_+	all_mrna	uc003bwe.1			NPC_
4816	chr3:11571129-11571551_+	coding	NM_006395	ATG7	ATG7	HN_
4817	chr3:11572540-11573050_+	coding	NM_006395	ATG7	ATG7	
4818	chr3:11573476-11574193_+	coding	NM_006395	ATG7	ATG7	HN_
4819	chr3:12345455-12345521_+	intron	NM_005037	PPARG		MLS_
4820	chr3:12346706-12346784_+	intron	NM_005037	PPARG		MLS_
4821	chr3:12383946-12384061_+	intron	NM_015869	PPARG		MLS_
4823	chr3:12445807-12445941_+	intron	NM_015869	PPARG		MLS_
4824	chr3:12450396-12450838_+	coding	NM_015869	PPARG	PPARG	Bladder_MLS_
4825	chr3:12522292-12522345_+	intron	NM_025265	TSEN2		NPC_
4827	chr3:12555918-12556109_+	ref_known_Gencode_nc	AK027821	TSEN2	TSEN2	
4828	chr3:12558959-12559195_+	downstream	AF086155			MLS_
4830	chr3:12598705-12598953_+	coding	NM_014160	MKRN2	MKRN2	
4831	chr3:12599638-12599860_+	coding	NM_014160	MKRN2	MKRN2	
4832	chr3:12600001-12600547_+	coding	NM_014160	MKRN2	MKRN2	Bladder_
4833	chr3:12601007-12601195_+	all_mrna	AK124449			
4835	chr3:12850938-12851293_+	coding	NM_012298	CAND2	CAND2	
4840	chr3:13521583-13521867_+	coding	NM_024827	HDAC11	HDAC11	Breast_
4841	chr3:13522378-13522893_+	coding	NM_024827	HDAC11	HDAC11	
4842	chr3:13654089-13654905_+	coding	NM_001165035	FBLN2	FBLN2	GIST_
4843	chr3:14145521-14145661_+	all_mrna	AK026869			
4844	chr3:14145694-14145793_+	all_mrna	AK026869			NPC_
4845	chr3:14159276-14159716_+	coding	NM_024334	TMEM43	TMEM43	GIST_
4846	chr3:14159941-14160171_+	coding	NM_024334	TMEM43	TMEM43	GIST_
4847	chr3:14161370-14161587_+	Gencode_lnc	U16120	SLC6A6		
4849	chr3:14503712-14503957_+	coding	NM_003043	SLC6A6	SLC6A6	
4851	chr3:14505687-14505838_+	coding	NM_003043	SLC6A6	SLC6A6	
4853	chr3:14687550-14687692_+	coding	NM_016474	C3orf19	C3orf19	MLS_
4854	chr3:14688943-14689140_+	coding	NM_016474	C3orf19	C3orf19	
4857	chr3:14950566-14951061_+	coding	NM_152536	FGD5	FGD5	
4859	chr3:14981885-14982019_+	intron	NM_003298	NR2C2		NPC_
4861	chr3:15045124-15045333_+	coding	NM_003298	NR2C2	NR2C2	
4862	chr3:15065512-15065764_+	coding	NM_003298	NR2C2	NR2C2	
4864	chr3:15243383-15243476_+	intron	NM_014296	CAPN7		
4865	chr3:15268570-15268811_+	coding	NM_014296	CAPN7	CAPN7	
4867	chr3:15280805-15281001_+	Gencode_lnc	uc003bzo.1			NPC_
4868	chr3:15458910-15459100_+	coding	NM_033083	EAF1	EAF1	
4869	chr3:15658457-15658741_+	coding	NM_000060	BTD	BTD	
4870	chr3:15660186-15660282_+	intron	NM_000060	BTD		MLS_
4871	chr3:15661998-15662309_+	coding	NM_000060	BTD	BTD	NPC_
4874	chr3:15877326-15877534_+	promoter				
4877	chr3:17045599-17045828_+	intron	NM_015184	PLCL2		
4878	chr3:17106797-17107080_+	coding	NM_015184	PLCL2	PLCL2	
4884	chr3:19990974-19991125_+	intron	NM_004162	RAB5A		
4885	chr3:20001418-20001606_+	coding	NM_004162	RAB5A	RAB5A	Bladder_
4886	chr3:20060324-20060545_+	intron	NM_003884	KAT2B		NPC_
4887	chr3:20068979-20069046_+	intron	NM_003884	KAT2B		NPC_
4888	chr3:20170651-20170875_+	coding	NM_003884	KAT2B	KAT2B	GIST_
4889	chr3:20722645-20722797_+	novel_intergenic				NPC_
4891	chr3:23243255-23243452_+	intron	NM_152653	UBE2E2		
4892	chr3:23280664-23280815_+	intron	NM_152653	UBE2E2		NPC_
4893	chr3:23307155-23307246_+	intron	NM_152653	UBE2E2		
4894	chr3:23394538-23394719_+	intron	NM_152653	UBE2E2		HN_
4895	chr3:23396407-23396564_+	intron	NM_152653	UBE2E2		
4896	chr3:23443537-23443622_+	intron	NM_152653	UBE2E2		
4898	chr3:23457605-23457720_+	intron	NM_152653	UBE2E2		
4899	chr3:23496923-23497095_+	intron	NM_152653	UBE2E2		
4900	chr3:23532052-23532163_+	intron	NM_152653	UBE2E2		
4901	chr3:23606226-23606425_+	coding	NM_152653	UBE2E2	UBE2E2	
4902	chr3:23606867-23607070_+	coding	NM_152653	UBE2E2	UBE2E2	
4904	chr3:23873265-23873373_+	all_mrna	AK022062			MLS_
4905	chr3:23885937-23886101_+	intron	NM_003341	UBE2E1		
4906	chr3:23907578-23907803_+	coding	NM_003341	UBE2E1	UBE2E1	
4908	chr3:23936209-23936273_+	coding	NM_002948	RPL15	RPL15	
4909	chr3:23937160-23937202_+	coding	NM_002948	RPL15	RPL15	Bladder_
