^SAMPLE = GSM281777
!Sample_title = 293-tet-On-EWS/NOR1 without doxycycline
!Sample_geo_accession = GSM281777
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-EWS/NOR1 cells, doxycycline untreated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-EWS/NOR1 cells were cultured without doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = without doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by EWS/NOR1 overexpression, we compared expression profiles between EWS/NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281777/suppl/GSM281777.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = EWS/NOR1 without doxycycline
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
216898_s_at	13.6	A	0.067627
216899_s_at	562.5	P	0.000244
216900_s_at	0.6	A	0.919434
216901_s_at	6.5	A	0.303711
216902_s_at	520.3	P	0.000244
216903_s_at	605.6	P	0.000244
216904_at	12.6	A	0.149658
216905_s_at	0.4	A	0.976074
216906_at	0.8	A	0.753906
216907_x_at	6.5	A	0.390625
216908_x_at	313.3	P	0.000732
216909_at	8.2	A	0.533936
216910_at	8	A	0.27417
216911_s_at	4.2	A	0.665527
216912_at	2.5	A	0.919434
216913_s_at	449.3	P	0.000244
216914_at	17.3	A	0.334473
216915_s_at	52.9	P	0.00293
216916_s_at	1.2	A	0.870361
216917_s_at	0.2	A	0.919434
216918_s_at	7.7	A	0.696289
216919_at	11.3	A	0.696289
216920_s_at	0.8	A	0.904785
216921_s_at	3.4	A	0.334473
216922_x_at	0.6	A	0.901123
216923_at	6.5	A	0.171387
216924_s_at	1.9	A	0.601074
216925_s_at	11.5	A	0.303711
216926_s_at	42.6	P	0.030273
216927_at	2.2	A	0.633789
216928_at	0.8	A	0.969727
216929_x_at	10.3	A	0.466064
216930_at	12.5	A	0.129639
216931_at	9	M	0.056152
216932_at	28.6	A	0.171387
216933_x_at	13.6	P	0.005859
216934_at	22.2	A	0.19458
216935_at	1.8	A	0.567627
216936_at	3.9	A	0.633789
216937_s_at	2.1	A	0.601074
216938_x_at	22.4	P	0.046143
216939_s_at	2.8	A	0.633789
216940_x_at	26.1	A	0.111572
216941_s_at	438.3	P	0.000244
216942_s_at	164.2	P	0.000244
216943_at	3.7	A	0.432373
216944_s_at	97	P	0.000732
216945_x_at	67.5	P	0.00415
216946_at	19.6	M	0.056152
216947_at	5.1	A	0.165527
216948_at	10.8	P	0.046143
216949_s_at	3.4	A	0.753906
216950_s_at	13.1	A	0.326416
216951_at	3.7	A	0.303711
216952_s_at	426.6	P	0.000244
216953_s_at	13.5	A	0.432373
216954_x_at	529.8	P	0.000244
216955_at	10.9	A	0.246094
216956_s_at	0.7	A	0.969727
216957_at	5	A	0.5
216958_s_at	146.5	P	0.001221
216959_x_at	63.4	P	0.037598
216960_s_at	82	P	0.001953
216961_s_at	85.1	P	0.001221
216962_at	232.9	P	0.000244
216963_s_at	22.3	A	0.5
216964_at	15.9	A	0.398926
216965_x_at	5.3	A	0.753906
216966_at	7.5	A	0.219482
216967_at	6.4	A	0.567627
216968_at	8.6	A	0.633789
216969_s_at	192.8	P	0.000244
216970_at	1.2	A	0.567627
216971_s_at	22.3	A	0.19458
216972_at	4.4	A	0.491699
216973_s_at	330.5	P	0.000244
216974_at	0.8	A	0.696289
216975_x_at	18.2	A	0.19458
216976_s_at	162.4	P	0.000244
216977_x_at	1423.7	P	0.000244
216978_x_at	7.4	A	0.567627
216979_at	7.3	A	0.27417
216980_s_at	3.8	A	0.633789
216981_x_at	25.4	A	0.219482
216982_x_at	0.9	A	0.828613
216983_s_at	49.2	P	0.001221
216984_x_at	2.6	A	0.665527
216985_s_at	104.3	P	0.001221
216986_s_at	3.2	A	0.780518
216987_at	0.2	A	0.953857
216988_s_at	1495	P	0.000244
216989_at	9.3	A	0.219482
216990_at	19.3	P	0.001953
216991_at	3.8	A	0.466064
216992_s_at	26.7	P	0.046143
216993_s_at	39.1	P	0.037598
216994_s_at	11.4	A	0.080566
216995_x_at	19.5	A	0.398926
216996_s_at	649.1	P	0.000244
216997_x_at	63.3	P	0.000732
216998_s_at	1	A	0.80542
216999_at	1	A	0.850342
217000_at	5.9	A	0.303711
217001_x_at	33.5	A	0.246094
217002_s_at	7.9	A	0.5
217003_s_at	17.4	A	0.246094
217004_s_at	8.7	A	0.19458
217005_at	1.9	A	0.753906
217006_x_at	3.3	A	0.466064
217007_s_at	99.1	P	0.00415
217008_s_at	7.1	A	0.398926
217009_at	16.9	P	0.00415
217010_s_at	163.4	P	0.000244
217011_at	4	A	0.780518
217012_at	2.1	A	0.601074
217013_at	1.2	A	0.943848
217014_s_at	15.4	A	0.067627
217015_at	10.4	A	0.077148
217016_x_at	11.5	P	0.046143
217017_at	14.5	A	0.246094
217018_at	7	A	0.303711
217019_at	150.5	P	0.000244
217020_at	5.6	A	0.366211
217021_at	6.5	A	0.067627
217022_s_at	0.7	A	0.953857
217023_x_at	6.6	A	0.5
217024_x_at	14.8	A	0.5
217025_s_at	101.1	P	0.000244
217026_at	10.4	A	0.366211
217027_x_at	396.9	P	0.008057
217028_at	483.1	P	0.000244
217029_at	3	A	0.850342
217030_at	7.5	A	0.753906
217031_at	0.6	A	0.962402
217032_at	1.8	A	0.850342
217033_x_at	6.8	A	0.366211
217034_at	1.9	A	0.780518
217035_at	16.2	A	0.19458
217036_at	1.3	A	0.72583
217037_at	2.4	A	0.72583
217038_at	12.6	A	0.095215
217039_x_at	60.7	A	0.080566
217040_x_at	39.8	A	0.171387
217041_at	15.4	A	0.067627
217042_at	30.6	P	0.00293
217043_s_at	533.5	P	0.000732
217044_s_at	12.7	A	0.466064
217045_x_at	45.7	A	0.067627
217046_s_at	7.5	A	0.601074
217047_s_at	208.9	P	0.000244
217048_at	12.1	A	0.398926
217049_x_at	13.9	A	0.219482
217050_at	11.3	A	0.366211
217051_s_at	60.5	P	0.018555
217052_x_at	111.4	P	0.01416
217053_x_at	50.6	A	0.067627
217054_at	22.2	A	0.095215
217055_x_at	1.5	A	0.901123
217056_at	0.9	A	0.696289
217057_s_at	1	A	0.828613
217058_at	1.8	A	0.780518
217059_at	1.5	A	0.567627
217060_at	4.8	A	0.466064
217061_s_at	26.3	A	0.129639
217062_at	1.2	A	0.780518
217063_x_at	2.4	A	0.567627
217065_at	14.2	A	0.366211
217066_s_at	4.3	A	0.466064
217067_s_at	0.8	A	0.80542
217068_at	7.7	A	0.366211
217069_at	1.5	A	0.919434
217070_at	35.4	A	0.095215
217071_s_at	2.2	A	0.466064
217072_at	2.4	A	0.633789
217073_x_at	2.6	A	0.888428
217074_at	7.8	A	0.567627
217075_x_at	3	A	0.398926
217076_s_at	17.9	M	0.056152
217077_s_at	10.1	A	0.5
217078_s_at	1	A	0.932373
217079_at	1	A	0.696289
217080_s_at	142.3	P	0.000244
217081_at	3.2	A	0.334473
217082_at	2.9	A	0.80542
217083_at	0.5	A	0.981445
217084_at	4.1	A	0.533936
217085_at	4.3	A	0.432373
217086_at	0.5	A	0.850342
217087_at	2.4	A	0.5
217088_s_at	2	A	0.633789
217090_at	13.9	M	0.056152
217091_at	0.8	A	0.888428
217092_x_at	1968.3	P	0.010742
217093_at	7	A	0.149658
217094_s_at	277.9	P	0.000244
217095_x_at	6.9	A	0.398926
217096_at	6.9	A	0.366211
217097_s_at	160.4	P	0.000244
217098_s_at	17.1	P	0.037598
217099_s_at	549.6	P	0.000244
217100_s_at	368.6	P	0.000244
217101_at	5	A	0.366211
217102_at	9.7	A	0.366211
217103_at	4.7	A	0.780518
217104_at	28.1	P	0.000244
217105_at	0.5	A	0.780518
217106_x_at	1537.4	P	0.000732
217107_at	93.1	P	0.018555
217108_at	1.1	A	0.962402
217109_at	1.3	A	0.753906
217110_s_at	10.9	A	0.095215
217111_at	10.2	A	0.129639
217112_at	2.5	A	0.753906
217113_at	4.7	A	0.398926
217114_at	20.3	P	0.01416
217115_at	2	A	0.753906
217117_x_at	39.3	P	0.001953
217118_s_at	454.2	P	0.000732
217119_s_at	2.4	A	0.753906
217120_s_at	31.2	P	0.008057
217121_at	1.6	A	0.72583
217122_s_at	554.7	P	0.000244
217123_x_at	3.8	A	0.19458
217124_at	17	P	0.037598
217125_at	112.5	P	0.01416
217126_at	1.8	A	0.753906
217127_at	217.8	P	0.000244
217128_s_at	7.5	A	0.334473
217129_at	19.7	A	0.129639
217130_at	14.2	P	0.030273
217131_at	0.3	A	0.423828
217132_at	0.6	A	0.780518
217133_x_at	9.6	A	0.171387
217134_at	11.3	A	0.366211
217135_x_at	70	P	0.030273
217136_at	13.4	P	0.030273
217137_x_at	20.6	A	0.095215
217138_x_at	1.2	A	0.919434
217139_at	28.8	P	0.023926
217140_s_at	1756.4	P	0.000244
217141_at	1.7	A	0.904785
217142_at	92.1	P	0.030273
217143_s_at	6.2	A	0.567627
217144_at	620.9	P	0.018555
217145_at	2	A	0.466064
217146_at	1.1	A	0.696289
217147_s_at	1.2	A	0.366211
217148_x_at	20.9	A	0.303711
217149_x_at	22	M	0.056152
217150_s_at	56.9	P	0.001221
217151_at	6.2	A	0.366211
217152_at	25.1	P	0.023926
217153_at	9.2	A	0.432373
217154_s_at	1.3	A	0.870361
217155_at	0.6	A	0.753906
217156_at	26.7	P	0.037598
217157_x_at	3.7	A	0.303711
217158_at	0.8	A	0.932373
217159_x_at	1.9	A	0.943848
217160_at	2.4	A	0.780518
217161_x_at	15.7	A	0.533936
217162_at	3.1	A	0.72583
217163_at	1.8	A	0.696289
217164_at	10.3	P	0.037598
217165_x_at	55.4	A	0.067627
217166_at	6.9	P	0.008057
217167_x_at	57.8	P	0.00415
217168_s_at	903	P	0.000244
217169_at	11	A	0.42334
217170_at	15	A	0.171387
217171_at	10.8	A	0.432373
217172_at	1	A	0.981445
217173_s_at	102.3	P	0.000244
217174_s_at	5.1	A	0.72583
217175_at	0.6	A	0.932373
217176_s_at	125	P	0.000244
217177_s_at	11.4	M	0.056152
217178_at	9.9	A	0.303711
217179_x_at	19	A	0.246094
217180_at	10.1	A	0.398926
217181_at	1.3	A	0.989258
217182_at	15.9	A	0.171387
217183_at	27	A	0.533936
217184_s_at	14.7	A	0.080566
217185_s_at	272.4	P	0.000244
217186_at	11.7	A	0.219482
217187_at	2.9	A	0.567627
217188_s_at	353.9	P	0.001953
217189_s_at	70.1	P	0.005859
217190_x_at	6.2	A	0.601074
217191_x_at	81.9	P	0.00293
217192_s_at	30.5	A	0.219482
217193_x_at	4.1	A	0.466064
217194_at	0.4	A	0.753906
217195_at	3.4	A	0.303711
217196_s_at	434.6	P	0.000732
217197_x_at	20.3	A	0.27417
217198_x_at	10.1	A	0.533936
217199_s_at	10.6	A	0.432373
217200_x_at	166.9	P	0.001953
217201_at	0.7	A	0.991943
217202_s_at	620.2	P	0.000244
217203_at	26.4	P	0.037598
217204_at	8.1	A	0.432373
217205_at	97.1	P	0.001953
217206_at	9.4	M	0.056152
217207_s_at	33.1	P	0.046143
217208_s_at	41.5	P	0.000732
217209_at	1.1	A	0.559326
217210_at	16.6	A	0.303711
217211_at	186.1	P	0.01416
217212_s_at	27.3	P	0.023926
217213_at	7.7	A	0.567627
217214_s_at	7.4	P	0.01416
217215_s_at	0.5	A	0.994141
217216_x_at	127	P	0.000732
217217_at	1.2	A	0.601074
217218_at	43.3	P	0.00293
217219_at	1.2	A	0.991943
217220_at	15.4	P	0.010742
217221_x_at	365	P	0.000244
217222_at	1	A	0.932373
217223_s_at	117.7	P	0.00293
217224_at	2.1	A	0.919434
217225_x_at	2398.2	P	0.000244
217226_s_at	89	P	0.000732
217227_x_at	13.5	A	0.27417
217228_s_at	0.6	A	0.888428
217229_at	0.3	A	0.943848
217230_at	71.4	A	0.067627
217231_s_at	3.2	A	0.633789
217232_x_at	27.4	A	0.095215
217233_at	3.8	A	0.633789
217234_s_at	675.3	P	0.000732
217235_x_at	8	A	0.533936
217236_x_at	8.5	A	0.466064
217237_at	1.9	A	0.601074
217238_s_at	0.4	A	0.994141
217239_x_at	5.4	A	0.246094
217240_at	19.5	P	0.018555
217242_at	11.3	A	0.398926
217244_at	0.7	A	0.80542
217245_at	5.4	A	0.303711
217246_s_at	19.6	P	0.00415
217247_at	36.9	M	0.056152
217248_s_at	10.1	A	0.149658
217249_x_at	819.9	P	0.001953
217250_s_at	1.2	A	0.932373
217251_x_at	4.7	A	0.828613
217252_at	6.7	A	0.5
217253_at	74.1	P	0.008057
217254_s_at	3.2	A	0.5
217255_at	1.1	A	0.976074
217256_x_at	4867.2	P	0.000244
217257_at	13.6	A	0.129639
217258_x_at	2.2	A	0.780518
217259_at	5.2	A	0.366211
217260_x_at	9.7	A	0.334473
217261_at	21.7	P	0.037598
217262_s_at	14.6	A	0.366211
217263_x_at	14.2	A	0.149658
217264_s_at	10.4	A	0.398926
217265_at	1.4	A	0.932373
217266_at	904.4	P	0.000244
217267_s_at	8.3	A	0.171387
217268_at	4.9	A	0.334473
217269_s_at	29.9	A	0.095215
217270_s_at	59.5	P	0.008057
217271_at	0.7	A	0.976074
217272_s_at	8.6	A	0.171387
217273_at	0.9	A	0.932373
217274_x_at	9.4	A	0.533936
217275_at	3.4	A	0.888428
217276_x_at	6.1	A	0.533936
217277_at	6.8	A	0.149658
217278_x_at	1.3	A	0.850342
217279_x_at	4.4	A	0.665527
217280_x_at	2.4	A	0.80542
217281_x_at	2.1	A	0.780518
217282_at	1.9	A	0.5
217283_at	0.7	A	0.72583
217284_x_at	24.8	A	0.27417
217285_at	5.6	A	0.633789
217286_s_at	377.4	P	0.001953
217287_s_at	0.6	A	0.962402
217288_at	13.7	P	0.00293
217289_s_at	156.6	P	0.000244
217290_at	3	A	0.753906
217291_at	29.2	A	0.219482
217292_at	10.9	A	0.067627
217293_at	12.6	A	0.080566
217294_s_at	7442.8	P	0.000244
217295_at	20.7	A	0.149658
217296_at	2.2	A	0.601074
217297_s_at	65.7	P	0.005859
217298_at	1	A	0.943848
217299_s_at	191.4	P	0.000244
217300_at	47.8	P	0.000244
217301_x_at	1929.4	P	0.000244
217302_at	10.6	A	0.080566
217303_s_at	4.2	A	0.72583
217304_at	15.6	A	0.080566
217305_s_at	4.4	A	0.432373
217306_at	13.6	A	0.095215
217307_at	31.5	A	0.27417
217308_at	0.7	A	0.696289
217309_s_at	99	P	0.000732
217310_s_at	55.7	P	0.00293
217311_at	0.9	A	0.870361
217312_s_at	22.1	A	0.633789
217313_at	339.3	P	0.010742
217314_at	1.2	A	0.943848
217315_s_at	2.3	A	0.633789
217316_at	16.6	A	0.080566
217317_s_at	337.7	P	0.000244
217318_x_at	7.7	A	0.466064
217319_x_at	13.1	A	0.149658
217320_at	0.4	A	0.962402
217321_x_at	7.3	P	0.030273
217322_x_at	96.5	P	0.01416
217323_at	8.5	A	0.567627
217324_at	14.4	A	0.246094
217325_at	0.6	A	0.828613
217326_x_at	8.3	A	0.466064
217327_at	2	A	0.665527
217328_at	2.4	A	0.633789
217329_x_at	325.9	P	0.008057
217330_at	14.6	A	0.149658
217331_at	7.6	A	0.432373
217332_at	9.5	A	0.095215
217333_at	1.8	A	0.969727
217334_at	0.9	A	0.962402
217335_at	15.6	M	0.056152
217336_at	164.6	P	0.000244
217337_at	27.1	P	0.010742
217338_at	6.8	A	0.665527
217339_x_at	1	A	0.72583
217340_at	6.7	A	0.095215
217341_at	5.9	A	0.466064
217342_x_at	6.4	A	0.19458
217343_at	0.8	A	0.822754
217344_at	33.5	P	0.001953
217345_at	7.3	A	0.188477
217346_at	111.7	P	0.01416
217347_at	282.7	P	0.001953
217348_x_at	21.8	A	0.111572
217349_s_at	19.8	A	0.334473
217350_at	1.9	A	0.633789
217351_at	7.3	A	0.334473
217352_at	43.3	P	0.030273
217353_at	97.6	P	0.00293
217354_s_at	52.3	M	0.056152
217355_at	1.5	A	0.657227
217356_s_at	2949.5	P	0.000244
217357_at	2.7	A	0.870361
217358_at	8.6	A	0.398926
217359_s_at	1.7	A	0.398926
217360_x_at	1.3	A	0.888428
217361_at	10.4	A	0.466064
217362_x_at	46	A	0.095215
217363_x_at	57.5	A	0.111572
217364_x_at	104.1	P	0.005859
217365_at	36	P	0.001953
217366_at	1.6	A	0.72583
217367_s_at	25.5	P	0.001953
217368_at	34.4	P	0.046143
217369_at	22.5	P	0.046143
217370_x_at	381.1	P	0.001221
217371_s_at	32.7	P	0.001221
217372_at	0.5	A	0.953857
217373_x_at	18	A	0.129639
217374_x_at	3.3	A	0.80542
217375_at	0.8	A	0.80542
217376_at	1	A	0.533936
217377_x_at	16	A	0.246094
217378_x_at	1.5	A	0.888428
217379_at	2808	P	0.018555
217380_s_at	8.5	M	0.056152
217381_s_at	12.4	A	0.334473
217382_at	4.5	A	0.334473
217383_at	118	P	0.00293
217384_x_at	1.7	A	0.753906
217385_at	0.5	A	0.976074
217386_at	14.7	A	0.129639
217387_at	2.9	A	0.696289
217388_s_at	1.1	A	0.888428
217389_s_at	9.6	A	0.398926
217390_x_at	3.3	A	0.398926
217391_x_at	7	A	0.334473
217392_at	2.9	A	0.5
217393_x_at	338.9	P	0.00415
217394_at	11	P	0.046143
217395_at	12.8	A	0.366211
217396_at	1.2	A	0.919434
217397_at	21.7	P	0.030273
217398_x_at	11441.2	P	0.000244
217399_s_at	43.9	A	0.111572
217400_at	16.2	A	0.129639
217401_at	0.3	A	0.870361
217402_at	3.6	A	0.398926
217403_s_at	1087.7	P	0.000244
217404_s_at	32.4	P	0.001221
217405_x_at	18	A	0.334473
217406_at	19.8	P	0.010742
217407_x_at	106.3	P	0.010742
217408_at	1907.2	P	0.000244
217409_at	5.2	A	0.366211
217410_at	3	A	0.888428
217411_s_at	0.8	A	0.969727
217412_at	8.2	A	0.107178
217413_s_at	17.3	A	0.432373
217414_x_at	18.7	A	0.633789
217415_at	13.5	P	0.030273
217416_x_at	132.5	P	0.000732
217417_at	0.3	A	0.943848
217418_x_at	15.3	A	0.149658
217419_x_at	75.5	P	0.001953
217420_s_at	8.1	A	0.303711
217421_at	1.5	A	0.991943
217422_s_at	0.5	A	0.932373
217423_at	23.8	P	0.00293
217424_at	1.1	A	0.850342
217425_at	1.9	A	0.919434
217426_at	66.6	P	0.037598
217427_s_at	650.3	P	0.00415
217428_s_at	5.2	A	0.19458
217429_at	19.6	A	0.246094
217430_x_at	105	P	0.008057
217431_x_at	5.5	A	0.366211
217432_s_at	28.9	A	0.067627
217433_at	10.3	A	0.246094
217434_at	0.9	A	0.932373
217435_x_at	1.7	A	0.696289
217436_x_at	321.3	P	0.005859
217437_s_at	239	P	0.000244
217438_at	9.6	P	0.037598
217439_at	1.9	A	0.601074
217440_at	0.4	A	0.665527
217441_at	45.9	P	0.001221
217442_at	2	A	0.888428
217443_at	7.8	A	0.149658
217444_at	1.2	A	0.567627
217445_s_at	604	P	0.000244
217446_x_at	44.5	P	0.00293
217447_at	8.4	A	0.466064
217448_s_at	188.3	P	0.000244
217449_at	14.6	P	0.046143
217450_at	23.4	A	0.27417
217451_at	0.7	A	0.80542
217452_s_at	0.3	A	0.919434
217453_at	17.5	A	0.149658
217454_at	0.9	A	0.567627
217455_s_at	24.4	A	0.129639
217456_x_at	295.8	P	0.000732
217457_s_at	374.4	P	0.000732
217458_at	1.5	A	0.753906
217459_at	2.5	A	0.533936
217460_at	1.2	A	0.657959
217461_x_at	79.8	A	0.111572
217462_at	3.2	A	0.696289
217463_s_at	0.8	A	0.953857
217464_at	4.7	A	0.303711
217465_at	261.9	P	0.000244
217466_x_at	7985	P	0.000244
217467_at	37.9	M	0.056152
217468_at	1.3	A	0.828613
217469_at	1.5	A	0.888428
217470_at	3	A	0.466064
217471_at	13.3	M	0.056152
217472_at	28.2	A	0.095215
217473_x_at	35	A	0.080566
217474_at	17.2	A	0.067627
217475_s_at	15.1	P	0.030273
217476_at	1.2	A	0.953857
217477_at	13.6	M	0.056152
217478_s_at	42.9	P	0.000244
217479_at	3.4	A	0.466064
217480_x_at	65.8	P	0.037598
217481_x_at	10.5	A	0.219482
217482_at	24.7	A	0.067627
217483_at	5.4	A	0.828613
217484_at	3.8	A	0.366211
217485_x_at	210.5	P	0.000244
217486_s_at	30.3	P	0.000244
217487_x_at	11.6	A	0.19458
217488_x_at	4.3	A	0.696289
217489_s_at	20.8	P	0.030273
217490_at	3	A	0.533936
217491_x_at	7179.5	P	0.000244
217492_s_at	640.5	P	0.000244
217493_x_at	27.9	A	0.466064
217494_s_at	50	P	0.001953
217495_x_at	1.7	A	0.919434
217496_s_at	605.9	P	0.000244
217497_at	5.9	A	0.171387
217498_at	16.1	P	0.030273
217499_x_at	130.4	P	0.000244
217500_at	17.4	A	0.080566
217501_at	296.8	P	0.000732
217502_at	2.6	A	0.753906
217503_at	42.1	P	0.00293
217504_at	5.6	A	0.633789
217505_at	5.2	A	0.19458
217506_at	56.4	P	0.008057
217507_at	1.1	A	0.624756
217508_s_at	134.4	P	0.000244
217509_x_at	32.8	A	0.111572
217510_at	4	A	0.696289
217511_at	10.5	A	0.567627
217512_at	9.7	A	0.27417
217513_at	1.4	A	0.601074
217514_at	1.1	A	0.72583
217515_s_at	3	A	0.633789
217516_x_at	38.8	A	0.366211
217517_x_at	3.4	A	0.665527
217518_at	12.9	A	0.366211
217519_at	5	A	0.111572
217520_x_at	165.6	P	0.000244
217521_at	6	A	0.533936
217522_at	4.2	A	0.246094
217523_at	3.2	A	0.27417
217524_x_at	3.6	A	0.303711
217525_at	13.4	A	0.111572
217526_at	641.7	P	0.000244
217527_s_at	864.4	P	0.000244
217528_at	5.9	A	0.398926
217529_at	60.9	P	0.000732
217530_at	5.3	A	0.366211
217531_at	9.9	A	0.665527
217532_x_at	4.5	A	0.850342
217533_x_at	1.2	A	0.888428
217534_at	2.4	A	0.696289
217535_at	1.1	A	0.850342
217536_x_at	2.5	A	0.334473
217537_x_at	8.7	A	0.111572
217538_at	22.8	P	0.010742
217539_at	96.2	P	0.001221
217540_at	131.9	P	0.000244
217541_x_at	56.2	P	0.001221
217542_at	109.3	P	0.00415
217543_s_at	260.6	P	0.000244
217544_at	2.1	A	0.601074
217545_at	0.7	A	0.969727
217546_at	1	A	0.80542
217547_x_at	80.6	P	0.000244
217548_at	66.7	P	0.00415
217549_at	27.5	A	0.171387
217550_at	53.1	P	0.010742
217551_at	93.8	P	0.000244
217552_x_at	4.3	A	0.326416
217553_at	28.7	P	0.037598
217554_at	27.1	P	0.01416
217555_at	38.9	M	0.056152
217556_at	10	A	0.27417
217557_s_at	11	A	0.171387
217558_at	14.9	A	0.111572
217559_at	75.4	P	0.00293
217560_at	33.7	A	0.129639
217561_at	10.1	A	0.111572
217562_at	0.3	A	0.932373
217563_at	19.8	A	0.080566
217564_s_at	31.1	P	0.000244
217565_at	3.9	A	0.567627
217566_s_at	19.7	P	0.010742
217567_at	3	A	0.665527
217568_at	0.5	A	0.696289
217569_x_at	1	A	0.80542
217570_x_at	16.8	P	0.018555
217571_at	2	A	0.665527
217572_at	1.2	A	0.665527
217573_at	16.9	P	0.046143
217574_at	1.7	A	0.357666
217575_s_at	4.3	A	0.72583
217576_x_at	44.6	P	0.001221
217577_at	1	A	0.633789
217578_at	5.7	A	0.149658
217579_x_at	56	P	0.030273
217580_x_at	72.5	P	0.018555
217581_at	5.1	A	0.466064
217582_at	0.4	A	0.665527
217583_at	4.1	A	0.466064
217584_at	24.4	A	0.219482
217585_at	15.5	P	0.018555
217586_x_at	40.4	A	0.067627
217587_at	0.9	A	0.932373
217588_at	14.5	A	0.129639
217589_at	20.4	P	0.023926
217590_s_at	42.9	P	0.030273
217591_at	25	P	0.046143
217592_at	26.5	A	0.129639
217593_at	34	M	0.056152
217594_at	14.9	P	0.008057
217595_at	63.9	P	0.00415
217596_at	60	A	0.080566
217597_x_at	72.4	A	0.111572
217598_at	67.7	P	0.000244
217599_s_at	66.9	P	0.000244
217600_at	8	A	0.188477
217601_at	52	P	0.00293
217602_at	21	P	0.00415
217603_at	8.1	A	0.219482
217604_at	69	P	0.001953
217605_at	14.4	A	0.129639
217606_at	41.3	P	0.00415
217607_x_at	11.2	A	0.165771
217608_at	171	P	0.000732
217609_at	22.6	P	0.023926
217610_at	61.3	P	0.030273
217611_at	10	A	0.246094
217612_at	315.1	P	0.00415
217613_at	0.8	A	0.718506
217614_at	13.9	A	0.27417
217615_at	1	A	0.981445
217616_at	1.5	A	0.919434
217617_at	0.6	A	0.932373
217618_x_at	126	P	0.000244
217619_x_at	104.6	P	0.00415
217620_s_at	39.5	P	0.00415
217621_at	0.4	A	0.753906
217622_at	47	P	0.01416
217623_at	3.7	A	0.432373
217624_at	9	A	0.077393
217625_x_at	47.5	P	0.030273
217626_at	11.6	A	0.633789
217627_at	568.5	P	0.000244
217628_at	12.3	A	0.246094
217629_at	15.2	A	0.080566
217630_at	25.8	P	0.037598
217631_at	144.4	P	0.000732
217632_at	48.2	P	0.001221
217633_at	9.9	A	0.5
217634_at	2.1	A	0.665527
217635_s_at	87	P	0.037598
217636_at	3.3	A	0.633789
217637_at	19	A	0.171387
217638_at	9	A	0.567627
217639_at	4.6	A	0.303711
217640_x_at	346.1	P	0.000732
217641_at	9.7	A	0.334473
217642_at	6.3	A	0.567627
217643_x_at	11.4	P	0.046143
217644_s_at	53.7	P	0.00293
217645_at	188.2	P	0.000244
217646_at	23.9	A	0.27417
217647_at	45.8	P	0.030273
217648_at	1.5	A	0.953857
217649_at	9.6	A	0.219482
217650_x_at	65.7	A	0.080566
217651_at	54	P	0.000244
217652_at	10.2	A	0.5
217653_x_at	137.8	P	0.005859
217654_at	8.7	A	0.466064
217655_at	20.4	P	0.037598
217656_at	18.6	A	0.366211
217657_at	32.2	P	0.01416
217658_at	3.6	A	0.633789
217659_at	12.7	A	0.080566
217660_at	12	A	0.303711
217661_x_at	4.4	A	0.567627
217662_x_at	22.5	P	0.005859
217663_at	83.9	P	0.000244
217664_at	0.6	A	0.74707
217665_at	35.7	P	0.001953
217666_at	19.7	P	0.037598
217667_at	11.3	A	0.26709
217668_at	10.5	A	0.567627
217669_s_at	0.5	A	0.884033
217670_at	16	A	0.080566
217671_at	7.1	A	0.219482
217672_x_at	125.3	P	0.046143
217673_x_at	1030.6	P	0.000732
217674_at	1.2	A	0.780518
217675_at	0.6	A	0.976074
217676_at	10.3	A	0.246094
217677_at	1.3	A	0.533936
217678_at	76.1	P	0.001953
217679_x_at	149.5	P	0.000244
