^SAMPLE = GSM281776
!Sample_title = 293-tet-On-NOR1 with doxycycline
!Sample_geo_accession = GSM281776
!Sample_status = Public on Dec 10 2008
!Sample_submission_date = Apr 16 2008
!Sample_last_update_date = Aug 28 2018
!Sample_type = RNA
!Sample_channel_count = 1
!Sample_source_name_ch1 = 293-tet-On-NOR1 cells, doxycycline treated
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 293-tet-On-NOR1 cells were cultured with doxycycline for 24 hours.
!Sample_treatment_protocol_ch1 = with doxycycline
!Sample_growth_protocol_ch1 = DMEM supplemented with 10% FCS
!Sample_molecule_ch1 = total RNA
!Sample_extract_protocol_ch1 = Qiagen RNeasy mini column 
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = in vitro transcription, Affymetrix protocol
!Sample_hyb_protocol = Labeled cRNA was hybridized with the array in the hybridization buffer for 16 hours.
!Sample_scan_protocol = GCOS (GeneChip operating software)
!Sample_description = To identify genes affected by NOR1 overexpression, we compared expression profiles between NOR1-induced 293-tet-On cells and its control cells.
!Sample_data_processing = GCOS (GeneChip operating software)
!Sample_platform_id = GPL570
!Sample_contact_name = Naganari,,Ohkura
!Sample_contact_email = nohkura@ncc.go.jp
!Sample_contact_phone = +81-3-3542-2511
!Sample_contact_fax = +81-3-3542-8170
!Sample_contact_department = Tumor Endocrinology Project
!Sample_contact_institute = National Cancer Center Research Institute
!Sample_contact_address = 5-1-1, Tsukiji, Chuo-ku
!Sample_contact_city = Tokyo
!Sample_contact_zip/postal_code = 104-0045
!Sample_contact_country = Japan
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM281nnn/GSM281776/suppl/GSM281776.CEL.gz
!Sample_relation = Reanalyzed by: GSE119087
!Sample_series_id = GSE11185
!Sample_data_row_count = 54675
#ID_REF = 
#VALUE = NOR1 plus doxycycline
#ABS_CALL = 
#DETECTION P-VALUE = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
209339_at	221.2	P	0.001221
209340_at	950.6	P	0.000244
209341_s_at	190	P	0.000244
209342_s_at	53	P	0.00293
209343_at	252.2	P	0.001221
209344_at	183.4	P	0.000732
209345_s_at	459.1	P	0.001221
209346_s_at	86.1	P	0.00293
209347_s_at	16.7	A	0.27417
209348_s_at	126.9	P	0.000244
209349_at	156.1	P	0.000244
209350_s_at	993.2	P	0.000244
209351_at	6.7	A	0.398926
209352_s_at	122.8	P	0.00415
209353_s_at	22.5	A	0.19458
209354_at	6.6	A	0.432373
209355_s_at	145.4	P	0.000244
209356_x_at	18.7	M	0.056152
209357_at	1792.5	P	0.000244
209358_at	1033.7	P	0.000244
209359_x_at	33.9	P	0.023926
209360_s_at	128.9	P	0.030273
209361_s_at	75.1	P	0.037598
209362_at	635	P	0.000244
209363_s_at	330.6	P	0.000244
209364_at	109.6	P	0.01416
209365_s_at	39.3	M	0.056152
209366_x_at	555.6	P	0.000244
209367_at	161.9	P	0.001221
209368_at	95.7	P	0.046143
209369_at	520.6	P	0.000244
209370_s_at	102	P	0.037598
209371_s_at	23.2	A	0.27417
209372_x_at	656.7	P	0.000244
209373_at	6.3	A	0.780518
209374_s_at	5.7	A	0.633789
209375_at	407.8	P	0.000732
209376_x_at	400.7	P	0.001953
209377_s_at	3488.8	P	0.000244
209378_s_at	71.4	P	0.001221
209379_s_at	303.3	P	0.000244
209380_s_at	291.4	P	0.030273
209381_x_at	109.9	A	0.080566
209382_at	618.5	P	0.000732
209383_at	372.3	P	0.000244
209384_at	472	P	0.000244
209385_s_at	466.5	P	0.000732
209386_at	18	P	0.037598
209387_s_at	8.4	A	0.125
209388_at	538.4	P	0.000244
209389_x_at	1321.6	P	0.000732
209390_at	423.6	P	0.000244
209391_at	429.8	P	0.000244
209392_at	250.7	P	0.000244
209393_s_at	742.6	P	0.000732
209394_at	54.6	P	0.005859
209395_at	0.6	A	0.98584
209396_s_at	10.2	A	0.358887
209397_at	1422.5	P	0.000244
209398_at	302.1	P	0.000244
209399_at	126.4	P	0.008057
209400_at	23.2	A	0.129639
209401_s_at	19.9	A	0.398926
209402_s_at	52.8	A	0.219482
209403_at	299.8	P	0.000732
209404_s_at	862.6	P	0.000244
209405_s_at	97.9	P	0.000732
209406_at	951.5	P	0.000244
209407_s_at	241	P	0.001221
209408_at	1167.8	P	0.000244
209409_at	890.9	P	0.000244
209410_s_at	185	P	0.000244
209411_s_at	131.5	P	0.005859
209412_at	339.4	P	0.000244
209413_at	127.1	P	0.00293
209414_at	45.4	P	0.005859
209415_at	73.3	A	0.111572
209416_s_at	112.6	P	0.00415
209417_s_at	38.8	P	0.037598
209418_s_at	441.7	P	0.000244
209419_at	46.3	P	0.000244
209420_s_at	53.8	A	0.171387
209421_at	1341.5	P	0.000244
209422_at	481.2	P	0.000244
209423_s_at	35.4	A	0.171387
209424_s_at	189.5	P	0.000244
209425_at	121.3	P	0.000244
209426_s_at	175.1	P	0.000244
209427_at	71.1	A	0.076904
209428_s_at	118.8	P	0.046143
209429_x_at	691.2	P	0.000732
209430_at	710.5	P	0.000244
209431_s_at	148.7	P	0.000244
209432_s_at	336.4	P	0.023926
209433_s_at	377.1	P	0.000244
209434_s_at	446.9	P	0.000244
209435_s_at	374.1	P	0.000244
209436_at	262	P	0.001221
209437_s_at	68.4	P	0.00415
209438_at	53.8	P	0.023926
209439_s_at	207.8	P	0.000732
209440_at	1394.5	P	0.000244
209441_at	1.9	A	0.753906
209442_x_at	235.5	P	0.000732
209443_at	12.3	A	0.466064
209444_at	466.4	P	0.000244
209445_x_at	559.7	P	0.000244
209446_s_at	25.6	P	0.000732
209447_at	63.9	A	0.19458
209448_at	1180.6	P	0.000244
209449_at	470.6	P	0.000244
209450_at	377.6	P	0.000244
209451_at	585	P	0.000732
209452_s_at	808.4	P	0.000244
209453_at	99	P	0.046143
209454_s_at	70.4	P	0.000244
209455_at	683.5	P	0.000244
209456_s_at	123.9	P	0.000244
209457_at	246.5	P	0.000244
209458_x_at	101.8	P	0.030273
209459_s_at	142	P	0.000244
209460_at	35.1	P	0.018555
209461_x_at	436.5	P	0.00293
209462_at	72	M	0.056152
209463_s_at	181.7	P	0.000244
209464_at	653.7	P	0.001221
209465_x_at	13.1	M	0.056152
209466_x_at	46.3	P	0.030273
209467_s_at	298.4	P	0.000732
209468_at	42.7	A	0.067627
209469_at	281.5	P	0.000244
209470_s_at	270	P	0.000244
209471_s_at	926.8	P	0.000732
209472_at	912.8	P	0.000244
209473_at	59.2	M	0.056152
209474_s_at	12.7	A	0.567627
209475_at	214.3	P	0.000244
209476_at	2553.1	P	0.000244
209477_at	400.5	P	0.000244
209478_at	1079.4	P	0.000244
209479_at	965.6	P	0.000244
209480_at	108.6	P	0.030273
209481_at	545.3	P	0.000244
209482_at	1453.1	P	0.000244
209483_s_at	44.2	P	0.000732
209484_s_at	1718	P	0.000244
209485_s_at	439.4	P	0.000244
209486_at	568	P	0.000244
209487_at	260.1	P	0.000244
209488_s_at	95.4	P	0.01416
209489_at	720.6	P	0.001221
209490_s_at	236.2	P	0.000244
209491_s_at	23.7	A	0.171387
209492_x_at	2760.2	P	0.000732
209493_at	40.5	P	0.030273
209494_s_at	162.3	P	0.000244
209495_at	103.5	P	0.037598
209496_at	2.6	A	0.981445
209497_s_at	184.6	P	0.000244
209498_at	0.8	A	0.753906
209499_x_at	20.8	A	0.129639
209500_x_at	25.6	A	0.080566
209501_at	817.2	P	0.00293
209502_s_at	46.6	A	0.095215
209503_s_at	2249.3	P	0.000244
209504_s_at	62.3	P	0.010742
209505_at	428.5	P	0.000732
209506_s_at	105.6	P	0.018555
209507_at	2243.4	P	0.000244
209508_x_at	115.5	P	0.018555
209509_s_at	283.5	P	0.000244
209510_at	819.2	P	0.000244
209511_at	1664.8	P	0.000244
209512_at	331.5	P	0.000244
209513_s_at	603.1	P	0.000732
209514_s_at	183.9	P	0.000244
209515_s_at	176.5	P	0.000244
209516_at	103	P	0.000732
209517_s_at	518.7	P	0.001221
209518_at	242.6	P	0.00293
209519_at	95.7	P	0.000732
209520_s_at	792	P	0.000244
209521_s_at	30.8	P	0.01416
209522_s_at	82.4	P	0.008057
209523_at	1555.3	P	0.000244
209524_at	1114.6	P	0.000244
209525_at	139.6	P	0.000244
209526_s_at	829.2	P	0.000244
209527_at	928.2	P	0.000732
209528_s_at	107.2	P	0.000244
209529_at	90.6	P	0.005859
209530_at	54.7	A	0.067627
209531_at	203.4	P	0.000244
209532_at	65.9	P	0.000732
209533_s_at	723.5	P	0.000244
209534_x_at	104.6	P	0.00415
209535_s_at	61.3	P	0.000244
209536_s_at	460.2	P	0.001953
209537_at	379.9	P	0.000244
209538_at	396.6	P	0.000244
209539_at	427.8	P	0.000244
209540_at	13.6	A	0.398926
209541_at	2	A	0.633789
209542_x_at	28.9	A	0.171387
209543_s_at	21	A	0.303711
209544_at	153.6	P	0.001221
209545_s_at	438.3	P	0.00415
209546_s_at	6.2	A	0.567627
209547_s_at	73	A	0.219482
209549_s_at	1631.9	P	0.000244
209550_at	15.4	A	0.398926
209551_at	405.3	P	0.000244
209552_at	24.4	M	0.056152
209553_at	260.7	P	0.000244
209554_at	0.8	A	0.888428
209555_s_at	6.6	A	0.5
209556_at	84	P	0.000244
209557_s_at	15.2	A	0.80542
209558_s_at	230.6	P	0.00415
209559_at	2.2	A	0.753906
209560_s_at	9.1	A	0.219482
209561_at	85	P	0.000732
209563_x_at	2363.8	P	0.000244
209565_at	461.7	P	0.000244
209566_at	322.1	P	0.000244
209567_at	407.4	P	0.000244
209568_s_at	167.2	P	0.00415
209569_x_at	48.6	P	0.00293
209570_s_at	54.3	P	0.001221
209571_at	130	P	0.001221
209572_s_at	1134.6	P	0.000244
209573_s_at	7	A	0.567627
209574_s_at	65.1	P	0.00293
209575_at	282.1	P	0.000244
209576_at	717.3	P	0.000244
209577_at	84.2	P	0.00293
209578_s_at	168.2	P	0.000732
209579_s_at	493.1	P	0.000244
209580_s_at	304.8	P	0.000244
209581_at	208.3	P	0.023926
209582_s_at	14.1	A	0.466064
209583_s_at	7.4	A	0.366211
209584_x_at	482.2	P	0.000244
209585_s_at	1043.6	P	0.000244
209586_s_at	468.3	P	0.000244
209587_at	51.8	P	0.000244
209588_at	28.2	A	0.095215
209589_s_at	46.8	P	0.010742
209590_at	167.4	P	0.00415
209591_s_at	72.2	P	0.000732
209592_s_at	315.1	P	0.00293
209593_s_at	437.6	P	0.000244
209594_x_at	13.5	A	0.111572
209595_at	302.8	P	0.000244
209596_at	6.5	A	0.533936
209597_s_at	14.5	A	0.171387
209598_at	431.8	P	0.000244
209599_s_at	62.6	P	0.023926
209600_s_at	337.2	P	0.000244
209601_at	2.7	A	0.828613
209602_s_at	168.2	P	0.000244
209603_at	83.9	P	0.037598
209604_s_at	765.6	P	0.000244
209605_at	813.7	P	0.00415
209606_at	13.1	A	0.219482
209607_x_at	253.9	P	0.000732
209608_s_at	1589.8	P	0.000244
209609_s_at	1701.2	P	0.000244
209610_s_at	365.7	P	0.000244
209611_s_at	79.8	P	0.037598
209612_s_at	7.1	A	0.633789
209613_s_at	0.7	A	0.633789
209614_at	2.1	A	0.432373
209615_s_at	101.7	P	0.000244
209616_s_at	8.5	A	0.246094
209617_s_at	8.5	A	0.303711
209618_at	2.8	A	0.919434
209619_at	11.7	A	0.334473
209620_s_at	461.8	P	0.000244
209621_s_at	389.7	P	0.000244
209622_at	250.4	P	0.001953
209623_at	768.2	P	0.000244
209624_s_at	286.6	P	0.000244
209625_at	420.8	P	0.000244
209626_s_at	167.3	P	0.000244
209627_s_at	229.6	P	0.000732
209628_at	472.6	P	0.000244
209629_s_at	100.2	A	0.067627
209630_s_at	675.3	P	0.000244
209631_s_at	101.4	P	0.00415
209632_at	112.4	P	0.000244
209633_at	197.6	P	0.001221
209635_at	172.9	P	0.000244
209636_at	19.8	A	0.095215
209637_s_at	25.2	P	0.030273
209638_x_at	3.3	A	0.246094
209639_s_at	13.7	A	0.067627
209640_at	35.8	P	0.000732
209641_s_at	4.1	A	0.919434
209642_at	1283.1	P	0.000244
209643_s_at	55.1	A	0.149658
209644_x_at	3864.8	P	0.000244
209645_s_at	121.7	P	0.000732
209646_x_at	197.9	P	0.000244
209647_s_at	282.6	P	0.000244
209648_x_at	126.1	P	0.000244
209649_at	398.4	P	0.000244
209650_s_at	87.4	P	0.046143
209651_at	65.9	P	0.010742
209652_s_at	29.1	P	0.000732
209653_at	204.8	P	0.000244
209654_at	739.5	P	0.000244
209655_s_at	9.7	A	0.246094
209656_s_at	0.3	A	0.953857
209657_s_at	1449.8	P	0.000244
209658_at	582.3	P	0.000244
209659_s_at	1173.8	P	0.000244
209660_at	27.2	A	0.334473
209661_at	21	A	0.219482
209662_at	2029.3	P	0.000244
209663_s_at	31.4	A	0.219482
209664_x_at	16.9	A	0.219482
209665_at	129	P	0.00293
209666_s_at	893.5	P	0.000244
209667_at	225.5	P	0.000244
209668_x_at	190.8	P	0.000732
209669_s_at	5257.6	P	0.000244
209670_at	3.8	A	0.567627
209671_x_at	3.4	A	0.870361
209672_s_at	49.9	P	0.005859
209674_at	1022.8	P	0.000732
209675_s_at	538.7	P	0.000244
209676_at	303.4	P	0.000244
209677_at	63	P	0.000244
209678_s_at	899	P	0.000244
209679_s_at	186.4	P	0.001953
209680_s_at	286.3	P	0.01416
209681_at	548.3	P	0.000244
209682_at	269.4	P	0.000244
209683_at	1.6	A	0.919434
209684_at	23.9	A	0.067627
209685_s_at	168.4	P	0.000244
209686_at	0.8	A	0.943848
209687_at	113.5	P	0.00293
209688_s_at	294.4	P	0.000732
209689_at	152	P	0.000732
209690_s_at	11.2	A	0.567627
209691_s_at	37.7	P	0.030273
209692_at	58.6	A	0.129639
209693_at	54.1	P	0.010742
209694_at	1090.2	P	0.000244
209695_at	42.4	P	0.018555
209696_at	25.5	A	0.219482
209697_at	9	A	0.398926
209698_at	193.4	A	0.067627
209699_x_at	1.3	A	0.828613
209700_x_at	29.8	P	0.000732
209701_at	63.6	P	0.00293
209702_at	973.3	P	0.000244
209703_x_at	197.6	P	0.000244
209704_at	524.3	P	0.000244
209705_at	270.3	P	0.000732
209706_at	112	P	0.000244
209707_at	589.6	P	0.000244
209708_at	297.9	P	0.000244
209709_s_at	545.2	P	0.000244
209710_at	92.8	P	0.00293
209711_at	322.9	P	0.000244
209712_at	134.1	P	0.000732
209713_s_at	44.1	P	0.001953
209714_s_at	922.9	P	0.000244
209715_at	315.5	P	0.000244
209716_at	34.5	P	0.018555
209717_at	259.4	P	0.008057
209718_at	63.1	A	0.149658
209719_x_at	13	P	0.046143
209720_s_at	0.2	A	0.969727
209721_s_at	374.2	P	0.001221
209722_s_at	37.8	A	0.171387
209723_at	172.2	P	0.008057
209724_s_at	97.6	P	0.000732
209725_at	198.5	P	0.001221
209726_at	291.5	P	0.000244
209727_at	46.9	A	0.19458
209728_at	1.4	A	0.932373
209729_at	28.6	A	0.303711
209730_at	3.2	A	0.753906
209731_at	207	P	0.018555
209732_at	6.2	A	0.567627
209733_at	103.1	P	0.000244
209734_at	9.8	A	0.601074
209735_at	103.2	P	0.000732
209736_at	32.9	A	0.129639
209737_at	77.9	P	0.000244
209738_x_at	19.2	P	0.037598
209739_s_at	1.9	A	0.976074
209740_s_at	0.3	A	0.976074
209741_x_at	330	P	0.000244
209742_s_at	2.3	A	0.904785
209743_s_at	186.9	P	0.008057
209744_x_at	327.5	P	0.000244
209745_at	158	P	0.010742
209746_s_at	299.4	P	0.000244
209747_at	63.2	M	0.056152
209748_at	559.9	P	0.000244
209749_s_at	5.9	A	0.567627
209750_at	457.1	P	0.000244
209751_s_at	902	P	0.000244
209752_at	4.9	A	0.696289
209753_s_at	414.7	P	0.000244
209754_s_at	784.6	P	0.000244
209755_at	18	A	0.5
209756_s_at	2.8	A	0.943848
209757_s_at	21.3	A	0.111572
209758_s_at	22.7	P	0.005859
209759_s_at	1228.6	P	0.000244
209760_at	138.6	P	0.000244
209761_s_at	110.7	P	0.000244
209762_x_at	127.3	P	0.000244
209763_at	11.2	A	0.080566
209764_at	12.2	A	0.246094
209765_at	39.5	P	0.046143
209766_at	40.9	P	0.008057
209767_s_at	4.9	A	0.366211
209768_s_at	1	A	0.888428
209769_s_at	5.8	A	0.780518
209770_at	91.6	P	0.018555
209771_x_at	549.6	P	0.000244
209772_s_at	88.2	P	0.037598
209773_s_at	1964.5	P	0.000244
209774_x_at	8.6	A	0.72583
209775_x_at	18.2	A	0.111572
209776_s_at	68.5	P	0.037598
209777_s_at	210.4	P	0.046143
209778_at	127	P	0.000244
209779_at	12.9	A	0.129639
209780_at	1280.3	P	0.000244
209781_s_at	504	P	0.000244
209782_s_at	97.3	P	0.00293
209783_at	29.7	A	0.149658
209784_s_at	51.9	P	0.001221
209785_s_at	145.8	P	0.046143
209786_at	1206	P	0.000244
209787_s_at	1585.1	P	0.000244
209788_s_at	222	P	0.000244
209789_at	9.5	A	0.303711
209790_s_at	252.4	P	0.000244
209791_at	21.9	A	0.665527
209792_s_at	1.6	A	0.976074
209793_at	8.1	A	0.633789
209794_at	81.5	P	0.046143
209795_at	0.2	A	0.953857
209796_s_at	981.5	P	0.000244
209797_at	302.3	P	0.000244
209798_at	367.3	P	0.000244
209799_at	214.7	P	0.001221
209800_at	1.1	A	0.870361
209802_at	11.5	P	0.023926
209803_s_at	233.7	P	0.000244
209804_at	328.1	P	0.00415
209805_at	181.1	P	0.008057
209806_at	4087.2	P	0.000244
209807_s_at	8.8	A	0.525391
209808_x_at	109.1	P	0.000244
209810_at	1.6	A	0.919434
209811_at	124.6	P	0.008057
209812_x_at	61.6	A	0.171387
209813_x_at	2.5	A	0.466064
209814_at	1060.1	P	0.000244
209815_at	200.2	P	0.000244
209816_at	3	A	0.601074
209817_at	871.3	P	0.000244
209818_s_at	34	P	0.000732
209819_at	2.4	A	0.696289
209820_s_at	118.9	P	0.000244
209821_at	0.3	A	0.828613
209822_s_at	212.2	P	0.000244
209823_x_at	32.1	A	0.149658
209824_s_at	472.1	P	0.00415
209825_s_at	550.5	P	0.000732
209826_at	53.4	P	0.00415
209827_s_at	19.5	A	0.149658
209828_s_at	2.7	A	0.533936
209829_at	10.4	P	0.008057
209830_s_at	12.1	A	0.27417
209831_x_at	320.8	P	0.008057
209832_s_at	828.1	P	0.000244
209833_at	151.2	P	0.000244
209834_at	64	A	0.111572
209835_x_at	34.9	P	0.000244
209836_x_at	1145.1	P	0.000732
209837_at	108.3	P	0.00293
209838_at	219	P	0.000244
209839_at	24.7	P	0.001953
209840_s_at	1	A	0.888428
209841_s_at	14.2	A	0.219482
209842_at	5.2	A	0.601074
209843_s_at	31.9	A	0.432373
209844_at	15.6	A	0.466064
209845_at	265.5	P	0.000244
209846_s_at	68.5	P	0.000244
209847_at	1.3	A	0.95166
209848_s_at	19.6	A	0.303711
209849_s_at	1363.8	P	0.000244
209850_s_at	58.4	A	0.111572
209851_at	14.8	A	0.303711
209852_x_at	927.1	P	0.000244
209853_s_at	480.9	P	0.000244
209854_s_at	3.5	A	0.850342
209855_s_at	2.3	A	0.932373
209856_x_at	200	P	0.008057
209857_s_at	58	A	0.19458
209858_x_at	149.7	A	0.171387
209859_at	399.7	P	0.000244
209860_s_at	1668.8	P	0.000244
209861_s_at	2535.2	P	0.000244
209862_s_at	293.8	P	0.000244
209863_s_at	7.1	A	0.19458
209864_at	540.4	P	0.000244
209865_at	189.4	P	0.000732
209866_s_at	85	P	0.000244
209867_s_at	111.1	P	0.001221
209868_s_at	440.1	P	0.000244
209869_at	47.3	P	0.01416
209870_s_at	119.5	A	0.111572
209871_s_at	70.6	P	0.030273
209872_s_at	9.5	A	0.665527
209873_s_at	34.5	A	0.303711
209874_x_at	73	P	0.000732
209875_s_at	6.4	A	0.246094
209876_at	252.4	P	0.008057
209877_at	6	A	0.870361
209878_s_at	158.5	P	0.00415
209879_at	30.3	A	0.303711
209880_s_at	6.3	A	0.665527
209881_s_at	6.8	A	0.72583
209882_at	239.2	P	0.000244
209883_at	101.8	P	0.000732
209884_s_at	163.4	P	0.00415
209885_at	29.2	A	0.366211
209886_s_at	3.4	A	0.533936
209887_at	1.2	A	0.5
209888_s_at	4.3	A	0.780518
209889_at	12.8	A	0.601074
209890_at	110.1	P	0.000244
209891_at	524.8	P	0.000244
209892_at	99.8	P	0.001953
209893_s_at	47.1	A	0.080566
209894_at	1157.8	P	0.000244
209895_at	415.9	P	0.000732
209896_s_at	868.3	P	0.000244
209897_s_at	887.9	P	0.000244
209898_x_at	781	P	0.000244
209899_s_at	1689.8	P	0.000732
209900_s_at	546.2	P	0.000244
209901_x_at	2.1	A	0.994141
209902_at	227.7	P	0.000244
209903_s_at	548.9	P	0.000244
209904_at	1.1	A	0.919434
209905_at	1125.7	P	0.000244
209906_at	14.1	A	0.5
209907_s_at	209.5	P	0.000244
209908_s_at	9.2	A	0.219482
209909_s_at	32.9	P	0.00293
209910_at	39.1	P	0.023926
209911_x_at	271.3	P	0.000244
209912_s_at	28.8	P	0.010742
209913_x_at	112	P	0.001221
209914_s_at	2	A	0.696289
209915_s_at	2.3	A	0.366211
209916_at	529.8	P	0.001953
209917_s_at	125	P	0.000732
209918_at	3	A	0.932373
209919_x_at	161.8	P	0.000732
209920_at	151.6	P	0.000244
209921_at	519.6	P	0.000732
209922_at	155.8	P	0.000732
209923_s_at	157.3	P	0.018555
209924_at	3	A	0.5
209925_at	246.6	P	0.000244
209926_at	42.8	P	0.001953
209927_s_at	459.5	P	0.000244
209928_s_at	14.3	A	0.149658
209929_s_at	170.3	P	0.008057
209930_s_at	5.4	A	0.696289
209931_s_at	82.5	P	0.018555
209932_s_at	2669.6	P	0.000732
209933_s_at	7.3	A	0.334473
209934_s_at	162.5	P	0.000244
209935_at	170.7	P	0.000244
209936_at	6.5	A	0.334473
209937_at	2.7	A	0.828613
209938_at	116.2	P	0.000244
209939_x_at	306.9	P	0.000244
209940_at	25.8	A	0.334473
209941_at	106.1	P	0.000244
209942_x_at	0.8	A	0.904785
209943_at	236.7	P	0.000244
209944_at	2529	P	0.000244
209945_s_at	124.9	P	0.000244
209946_at	68.2	P	0.000732
209947_at	107.9	P	0.005859
209948_at	23.2	A	0.171387
209949_at	8.4	A	0.567627
209950_s_at	2.8	A	0.822998
209951_s_at	20.7	P	0.010742
209952_s_at	12.1	A	0.246094
209953_s_at	781.7	P	0.000732
209954_x_at	116.5	P	0.001221
209955_s_at	10.9	A	0.5
209956_s_at	35.8	P	0.005859
209957_s_at	6.2	A	0.696289
209958_s_at	142.4	P	0.030273
209959_at	4.1	A	0.80542
209960_at	11.9	A	0.111572
209961_s_at	19.9	A	0.129639
209962_at	19.9	P	0.008057
209963_s_at	29.7	A	0.067627
209964_s_at	47.6	P	0.046143
209965_s_at	150.3	P	0.000244
209966_x_at	1.6	A	0.533936
209967_s_at	363	P	0.000244
209968_s_at	11.2	A	0.466064
209969_s_at	119.5	P	0.000244
209970_x_at	28.2	P	0.001953
209971_x_at	1721.9	P	0.000244
209972_s_at	124.6	P	0.00293
209973_at	123.1	P	0.00415
209974_s_at	4682.6	P	0.000244
209975_at	30.7	P	0.046143
209976_s_at	1.7	A	0.601074
209977_at	1.8	A	0.601074
209978_s_at	2.5	A	0.72583
209979_at	1	A	0.991943
209980_s_at	319.4	P	0.000732
209981_at	32.1	A	0.219482
209982_s_at	5.1	A	0.466064
209983_s_at	1.1	A	0.870361
209984_at	207.8	P	0.000244
209985_s_at	8.2	A	0.466064
209986_at	11.4	A	0.246094
209987_s_at	3.5	A	0.72583
209988_s_at	17.4	A	0.149658
209989_at	304.8	P	0.000244
209990_s_at	44.1	P	0.005615
209991_x_at	15.9	A	0.219482
209992_at	16.9	P	0.046143
209993_at	666.7	P	0.000244
209994_s_at	605.5	P	0.000244
209995_s_at	6.7	A	0.567627
209996_x_at	25.5	A	0.303711
209997_x_at	58.3	P	0.001953
209998_at	205.7	P	0.00415
209999_x_at	4.8	A	0.665527
210000_s_at	8.6	A	0.5
210001_s_at	20.4	M	0.056152
210002_at	780	P	0.000244
210004_at	4.1	A	0.303711
210005_at	425.2	P	0.001221
210006_at	124.4	P	0.000244
210007_s_at	128.3	P	0.000244
210008_s_at	458.9	P	0.000732
210009_s_at	104.7	P	0.000244
210010_s_at	1433.2	P	0.000244
210011_s_at	814.5	P	0.000244
210012_s_at	35	P	0.023926
210013_at	24.3	A	0.432373
210014_x_at	1712.8	P	0.000244
210015_s_at	5.7	A	0.246094
210016_at	16	A	0.19458
210017_at	230.6	P	0.000244
210018_x_at	230.6	P	0.000244
210019_at	2.1	A	0.665527
210020_x_at	22.4	A	0.149658
210021_s_at	79.1	P	0.008057
210022_at	291	A	0.080566
210023_s_at	282.6	P	0.000244
210024_s_at	2459.7	P	0.000244
210025_s_at	6.5	A	0.72583
210026_s_at	586.6	P	0.000244
210027_s_at	2008.7	P	0.000244
210028_s_at	840.4	P	0.000244
210029_at	25.6	A	0.27417
210030_at	11.9	A	0.567627
210031_at	16.6	A	0.398926
210032_s_at	248.9	P	0.000732
210033_s_at	378.3	P	0.000244
210034_s_at	21.7	P	0.010498
210035_s_at	4.9	A	0.067627
210036_s_at	48.2	A	0.246094
210037_s_at	22.1	A	0.219482
210038_at	188.1	P	0.00293
210039_s_at	154.3	P	0.005859
210040_at	7.9	A	0.366211
210041_s_at	338.6	P	0.000732
210042_s_at	94.9	P	0.000244
210043_at	6.6	A	0.303711
210044_s_at	5.9	A	0.665527
210045_at	75.3	M	0.056152
210046_s_at	424	P	0.000244
210047_at	50.4	P	0.01416
210048_at	100.1	P	0.000244
210049_at	0.9	A	0.828613
210050_at	99.6	P	0.00415
210051_at	4.7	A	0.80542
210052_s_at	1235.3	P	0.000244
210053_at	550.7	P	0.000244
210054_at	397.4	P	0.000244
210055_at	0.5	A	0.98584
210056_at	62.2	P	0.008057
210057_at	166.2	P	0.000244
210058_at	298.1	P	0.000244
210059_s_at	276.6	P	0.001953
210060_at	9.2	A	0.72583
210061_at	75	P	0.037598
210062_s_at	59.3	P	0.001953
210063_at	22	M	0.064453
210064_s_at	6.7	A	0.5
210065_s_at	1.8	A	0.780518
210066_s_at	0.3	A	0.976074
210067_at	0.6	A	0.981445
210068_s_at	14.8	A	0.398926
210069_at	600.2	P	0.000244
210070_s_at	292.1	P	0.000732
210072_at	13.6	A	0.366211
210073_at	0.7	A	0.72583
210074_at	392.1	P	0.000244
210075_at	72.8	A	0.067627
210076_x_at	1263.7	P	0.00293
210077_s_at	8.9	P	0.023926
210078_s_at	20.3	P	0.010742
210079_x_at	4.6	A	0.567627
210080_x_at	11.3	A	0.466064
210081_at	7.9	A	0.432373
210082_at	2	A	0.991943
210083_at	9	A	0.466064
210084_x_at	2.3	A	0.943848
210085_s_at	13.3	A	0.246094
210086_at	1.3	A	0.932373
210087_s_at	252.8	P	0.000244
210088_x_at	44.3	P	0.01416
210089_s_at	148.7	P	0.001953
210090_at	30.7	A	0.366211
210091_s_at	47	P	0.018555
210092_at	1157.8	P	0.000244
210093_s_at	1063.8	P	0.000732
210094_s_at	588	P	0.001221
210095_s_at	19.2	A	0.246094
210096_at	0.6	A	0.567627
210097_s_at	2294.9	P	0.000244
210098_s_at	169.2	P	0.000244
210099_at	1.7	A	0.904785
210100_s_at	28.4	A	0.219482
210101_x_at	912.8	P	0.000244
210102_at	37.6	P	0.001221
210103_s_at	1.4	A	0.80542
210104_at	756.2	P	0.000244
210105_s_at	1494.5	P	0.000244
210106_at	40.8	A	0.067627
210107_at	9.8	A	0.246094
210108_at	8.6	A	0.19458
210109_at	3.5	A	0.80542
210110_x_at	829.9	P	0.000244
210111_s_at	1027.7	P	0.000244
