nct	om_title	group_title	evaluable_n	era	family	trial_conditions	n_trial_conditions	n_disease_keys	n_disease_keys_lenient	disease_status	disease_specificity	attributed_key	disease_value	disease_basis	trial_phases	phase_status	phase_value	phase_group_hint	registry_arm_label	registry_arm_type	arm_match_quality	n_arms_registered	registry_has_control_arm	control_status	control_basis	control_flag	producer_control_arm_candidate	group_description	registry_arm_description
NCT02212015	Response Rate (RR), Subgroup1 Analysis	Pazopanib + Paclitaxel	7	2014_2017	bor	Angiosarcoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	angiosarcoma	Angiosarcoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Pazopanib + Paclitaxel	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Pazopanib + Paclitaxel' type=EXPERIMENTAL (EXACT match)		False	Paclitaxel i.v. infusion over 6 cycles, administered on day 1, day 8, day 15 of every cycle with a dosage of 70mg/m2 in combination with Pazopanib taken orally with a dosage of 800mg daily/once per day in the treatment of patients with advanced or metastatic angiosarcoma.	Paclitaxel administered every 28 days at day 1, day 8 and day 15 as a 2h intravenous infusion in a dose of 70mg/m2 in combination with pazopanib in a daily oral dose of 800mg (2x400mg)
NCT02259582	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	Demcizumab/Demcizumab Arm (Arm 3)	26	2014_2017	bor	Nonsquamous Nonsmall Cell Neoplasm of Lung	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	nonsquamous nonsmall cell of lung	Nonsquamous Nonsmall Cell Neoplasm of Lung	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2				NONE	3	True	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Demcizumab plus pemetrexed and carboplatin (4 cycles), pemetrexed (4 cycles), demcizumab plus pemetrexed (4 cycles)	
NCT02259582	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	Demcizumab/Placebo Arm (Arm 2)	28	2014_2017	bor	Nonsquamous Nonsmall Cell Neoplasm of Lung	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	nonsquamous nonsmall cell of lung	Nonsquamous Nonsmall Cell Neoplasm of Lung	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2				NONE	3	True	UNKNOWN_AMBIGUOUS_SEQUENCE_LABEL	group title names a treatment sequence ending in placebo; it is not evidence that this group is the placebo control arm		True	Demcizumab plus pemetrexed and carboplatin (4 cycles), pemetrexed (4 cycles), placebo plus pemetrexed (4 cycles)	
NCT02259582	To Compare the Investigator-assessed (RECIST) v1.1 Response Rate in the Treatment Arms.	Placebo/Placebo Arm (Arm 1)	25	2014_2017	bor	Nonsquamous Nonsmall Cell Neoplasm of Lung	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	nonsquamous nonsmall cell of lung	Nonsquamous Nonsmall Cell Neoplasm of Lung	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2				NONE	3	True	UNKNOWN_AMBIGUOUS_SEQUENCE_LABEL	group title names a treatment sequence ending in placebo; it is not evidence that this group is the placebo control arm		True	Placebo plus pemetrexed and carboplatin (4 cycles), pemetrexed (4 cycles), placebo plus pemetrexed (4 cycles)	
NCT02263508	Phase 1b: Best Overall Response (BOR)	Phase 1b: Talimogene Laherparepvec + Pembrolizumab	20	2014_2017	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Phase 1b: Talimogene Laherparepvec + Pembrolizumab	EXPERIMENTAL	EXACT	3	True	NOT_CONTROL	registry arm 'Phase 1b: Talimogene Laherparepvec + Pembrolizumab' type=EXPERIMENTAL (EXACT match)		False	Participants received talimogene laherparepvec at an initial dose of up to 4 mL 10⁶ plaque-forming units (PFU)/mL by intralesional injection on day 1 of week 1. Subsequent doses of talimogene laherparepvec at up to 4 mL of 10⁸ PFU/mL began 3 weeks after the first dose and were administered every 2 weeks until disappearance of injectable lesions, complete response (CR), confirmed disease progressio	Participants received talimogene laherparepvec at an initial dose of up to 4 mL 10⁶ plaque-forming units (PFU)/mL by intralesional injection. Subsequent doses of talimogene laherparepvec at up to 4 mL of 10⁸ PFU/mL began 3 weeks after the first dose and were administered every 2 weeks until disappearance of injectable lesions, complete response (CR), confirmed disease progression (PD) per modified
NCT02263508	Phase 3: Best Overall Response Assessed Using Modified RECIST 1.1	Phase 3: Placebo + Pembrolizumab	293	2014_2017	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3	Phase 3	Phase 3 : Placebo + Pembrolizumab	PLACEBO_COMPARATOR	NORMALIZED	3	True	CONTROL_PLACEBO	registry arm 'Phase 3 : Placebo + Pembrolizumab' type=PLACEBO_COMPARATOR (NORMALIZED match)		True	Participants received up to 4 mL placebo to talimogene laherparepvec by intralesional injection on day 1 of week 0. Subsequent doses of placebo (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection (week 9), and then synchronously with pembrolizumab thereafter every 3 weeks until disappearance of injectable lesions, complete response per modi	Participants received up to 4 mL placebo to talimogene laherparepvec by intralesional injection on day 1 of week 0. Subsequent doses of placebo (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection (week 9), and then synchronously with pembrolizumab thereafter every 3 weeks until disappearance of injectable lesions, complete response per modi
NCT02263508	Phase 3: Best Overall Response Assessed Using Modified RECIST 1.1	Phase 3: Talimogene Laherparepvec + Pembrolizumab	302	2014_2017	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3	Phase 3	Phase 3: Talimogene Laherparepvec + Pembrolizumab	EXPERIMENTAL	EXACT	3	True	NOT_CONTROL	registry arm 'Phase 3: Talimogene Laherparepvec + Pembrolizumab' type=EXPERIMENTAL (EXACT match)		False	Participants received talimogene laherparepvec at an initial dose of up to 4 mL 10⁶ PFU/mL by intralesional injection on day 1. Subsequent doses of talimogene laherparepvec at 10⁸ PFU/mL (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection of talimogene laherparepvec (week 9), and then synchronously with pembrolizumab thereafter every 3 week	Participants received talimogene laherparepvec at an initial dose of up to 4 mL 10⁶ PFU/mL by intralesional injection on day 1. Subsequent doses of talimogene laherparepvec at 10⁸ PFU/mL (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection of talimogene laherparepvec (week 9), and then synchronously with pembrolizumab thereafter every 3 week
NCT02263508	Phase 3: Best Overall Response Assessed Using Modified irRC-RECIST	Phase 3: Placebo + Pembrolizumab	251	2014_2017	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3	Phase 3	Phase 3 : Placebo + Pembrolizumab	PLACEBO_COMPARATOR	NORMALIZED	3	True	CONTROL_PLACEBO	registry arm 'Phase 3 : Placebo + Pembrolizumab' type=PLACEBO_COMPARATOR (NORMALIZED match)		True	Participants received up to 4 mL placebo to talimogene laherparepvec by intralesional injection on day 1 of week 0. Subsequent doses of placebo (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection (week 9), and then synchronously with pembrolizumab thereafter every 3 weeks until disappearance of injectable lesions, complete response per modi	Participants received up to 4 mL placebo to talimogene laherparepvec by intralesional injection on day 1 of week 0. Subsequent doses of placebo (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection (week 9), and then synchronously with pembrolizumab thereafter every 3 weeks until disappearance of injectable lesions, complete response per modi
NCT02263508	Phase 3: Best Overall Response Assessed Using Modified irRC-RECIST	Phase 3: Talimogene Laherparepvec + Pembrolizumab	286	2014_2017	bor	Melanoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	melanoma	Melanoma	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3	Phase 3	Phase 3: Talimogene Laherparepvec + Pembrolizumab	EXPERIMENTAL	EXACT	3	True	NOT_CONTROL	registry arm 'Phase 3: Talimogene Laherparepvec + Pembrolizumab' type=EXPERIMENTAL (EXACT match)		False	Participants received talimogene laherparepvec at an initial dose of up to 4 mL 10⁶ PFU/mL by intralesional injection on day 1. Subsequent doses of talimogene laherparepvec at 10⁸ PFU/mL (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection of talimogene laherparepvec (week 9), and then synchronously with pembrolizumab thereafter every 3 week	Participants received talimogene laherparepvec at an initial dose of up to 4 mL 10⁶ PFU/mL by intralesional injection on day 1. Subsequent doses of talimogene laherparepvec at 10⁸ PFU/mL (up to 4 mL) began 3 weeks after the first dose and were administered every 2 weeks until the fifth injection of talimogene laherparepvec (week 9), and then synchronously with pembrolizumab thereafter every 3 week
NCT02271945	Number of Participants With Best Overall Response	MEDI-551 12 mg/kg and MEDI0680 10 mg/kg	5	2014_2017	bor	Relapsed/Refractory Aggressive B-cell Lymphomas	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	aggressive b cell lymphomas	Relapsed/Refractory Aggressive B-cell Lymphomas	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2		MEDI-551 12 mg/kg and MEDI0680 10 mg/kg	EXPERIMENTAL	EXACT	2	False	NOT_CONTROL	registry arm 'MEDI-551 12 mg/kg and MEDI0680 10 mg/kg' type=EXPERIMENTAL (EXACT match)		False	Participants received IV infusion of MEDI-551 12 mg/kg on Days 1 and 8 of Cycle 1 and Day 1 of Cycle 2 through Cycle 13 (each cycle of 28 days) and IV infusion of MEDI0680 10 mg/kg on Days 2 and 15 of Cycle 1 and Days 1 and 15 of Cycle 2 through Cycle 13.	Participants will receive IV infusion of MEDI-551 12 mg/kg on Days 1 and 8 of Cycle 1 and Day 1 of Cycle 2 through Cycle 13 (each cycle of 28 days) and IV infusion of MEDI0680 10 mg/kg on Days 2 and 15 of Cycle 1 and Days 1 and 15 of Cycle 2 through Cycle 13.
NCT02271945	Number of Participants With Best Overall Response	MEDI-551 12 mg/kg and MEDI0680 2.5 mg/kg	5	2014_2017	bor	Relapsed/Refractory Aggressive B-cell Lymphomas	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	aggressive b cell lymphomas	Relapsed/Refractory Aggressive B-cell Lymphomas	trial lists exactly one condition	PHASE1/PHASE2	MIXED	PHASE1/PHASE2		MEDI-551 12 mg/kg and MEDI0680 2.5 mg/kg	EXPERIMENTAL	EXACT	2	False	NOT_CONTROL	registry arm 'MEDI-551 12 mg/kg and MEDI0680 2.5 mg/kg' type=EXPERIMENTAL (EXACT match)		False	Participants received IV infusion of MEDI-551 12 mg/kg on Days 1 and 8 of Cycle 1 and Day 1 of Cycle 2 through Cycle 13 (each cycle of 28 days) and IV infusion of MEDI0680 2.5 mg/kg on Days 2 and 15 of Cycle 1 and Days 1 and 15 of Cycle 2 through Cycle 13.	Participants will receive intravenous (IV) infusion of MEDI-551 12 mg/kg on Days 1 and 8 of Cycle 1 and Day 1 of Cycle 2 through Cycle 13 (each cycle of 28 days) and IV infusion of MEDI0680 2.5 mg/kg on Days 2 and 15 of Cycle 1 and Days 1 and 15 of Cycle 2 through Cycle 13.
NCT02277093	Overall Response Rate (ORR)	Pacritinib	7	2014_2017	bor	Colorectal Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	colorectal	Colorectal Cancer	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Pacritinib	EXPERIMENTAL	EXACT	1	False	NOT_CONTROL	registry arm 'Pacritinib' type=EXPERIMENTAL (EXACT match)		False	* Pacritinib is an oral drug which will be taken on an outpatient basis daily on a 28-day cycle at a dose of 200 mg twice a day (BID) * Pacritinib should be take at approximately the same times every day with a glass of water, with or without food	* Pacritinib is an oral drug which will be taken on an outpatient basis daily on a 28-day cycle at a dose of 200 mg twice a day (BID) * Pacritinib should be take at approximately the same times every day with a glass of water, with or without food
NCT02336165	Number of Subjects With Best Overall Response	Cohort A	40	2014_2017	bor	Glioblastoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	glioblastoma	Glioblastoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Cohort A	EXPERIMENTAL	EXACT	5	False	NOT_CONTROL	registry arm 'Cohort A' type=EXPERIMENTAL (EXACT match)		False	Subjects with newly diagnosed unmethlyated MGMT GBM receive durvalumab (10 mg/kg IV Q2W) + standard radiotherapy (2 Gy/day x 5 days per week, for a total of 60 Gy over 30 fractions per local guidelines). On days when radiotherapy and durvalumab overlap, radiotherapy is administered first followed by durvalumab.	Subjects with newly diagnosed unmethylated MGMT GBM receive durvalumab (10 mg/kg Q2W) + standard radiotherapy.
NCT02336165	Number of Subjects With Best Overall Response	Cohort B	31	2014_2017	bor	Glioblastoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	glioblastoma	Glioblastoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Cohort B	EXPERIMENTAL	EXACT	5	False	NOT_CONTROL	registry arm 'Cohort B' type=EXPERIMENTAL (EXACT match)		False	Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg IV Q2W) as monotherapy.	Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) as monotherapy.
NCT02336165	Number of Subjects With Best Overall Response	Cohort B2	33	2014_2017	bor	Glioblastoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	glioblastoma	Glioblastoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Cohort B2	EXPERIMENTAL	EXACT	5	False	NOT_CONTROL	registry arm 'Cohort B2' type=EXPERIMENTAL (EXACT match)		False	Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg IV Q2W) + bevacizumab (10 mg/kg IV Q2W).  Durvalumab is administered first followed by a 1-hour observation period, after which, bevacizumab is infused.	Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) + bevacizumab (10 mg/kg Q2W).
NCT02336165	Number of Subjects With Best Overall Response	Cohort B3	32	2014_2017	bor	Glioblastoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	glioblastoma	Glioblastoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Cohort B3	EXPERIMENTAL	EXACT	5	False	NOT_CONTROL	registry arm 'Cohort B3' type=EXPERIMENTAL (EXACT match)		False	Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg IV Q2W) + bevacizumab (3 mg/kg IV Q2W).  Durvalumab is administered first followed by a 1-hour observation period, after which, bevacizumab is infused.	Bevacizumab-naïve subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) + bevacizumab (3 mg/kg Q2W).
NCT02336165	Number of Subjects With Best Overall Response	Cohort C	20	2014_2017	bor	Glioblastoma	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	glioblastoma	Glioblastoma	trial lists exactly one condition	PHASE2	TRIAL_SINGLE	PHASE2		Cohort C	EXPERIMENTAL	EXACT	5	False	NOT_CONTROL	registry arm 'Cohort C' type=EXPERIMENTAL (EXACT match)		False	Bevacizumab-refractory subjects with recurrent GBM receive durvalumab (10 mg/kg IV Q2W) + continued bevacizumab (10 mg/kg IV Q2W).  Durvalumab is administered first followed by a 1-hour observation period, after which, bevacizumab is infused.	Bevacizumab-refractory subjects with recurrent GBM receive durvalumab (10 mg/kg Q2W) + continued bevacizumab (10 mg/kg Q2W).
NCT02347917	Best Overall Response	MPM or NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	3	2014_2017	bor	Malignant Pleural Mesothelioma ; Non-Small Cell Lung Cancer	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 1			NONE	1	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 1 arm group(s)		False	Participants orally received BBI608 (480 mg) twice daily plus intravenously received Pem (500 mg/m2) and CDDP (75 mg/m2) on Day 3 in only Cycles 1 and on Days 1 in Cycles 2 and subsequent cycles.  Premeditation with folic acid and vitamin B12 was given to reduce occurrence of serious adverse drug reactions, with reference to the package insert for Pem. Each cycle was defined as 21 days.	
NCT02347917	Best Overall Response	MPM: BBI608 + Pem + CDDP (Phase 2 Part Including Participants With MPM in Phase 1 Part)	21	2014_2017	bor	Malignant Pleural Mesothelioma ; Non-Small Cell Lung Cancer	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 2			NONE	1	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 1 arm group(s)		False	Participants orally received BBI608 (480 mg) twice daily plus intravenously received Pem (500 mg/m2) and CDDP (75 mg/m2) on Day 3 in only Cycles 1 and on Days 1 in Cycles 2 and subsequent cycles.  Premeditation with folic acid and vitamin B12 was given to reduce occurrence of serious adverse drug reactions, with reference to the package insert for Pem. Each cycle was defined as 21 days.	
NCT02347917	Best Overall Response	MPM: BBI608 + Pem + CDDP (Phase 2 Part)	21	2014_2017	bor	Malignant Pleural Mesothelioma ; Non-Small Cell Lung Cancer	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 2			NONE	1	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 1 arm group(s)		False	Participants orally received BBI608 (480 mg) twice daily plus intravenously received Pem (500 mg/m2) and CDDP (75 mg/m2) on Day 3 in only Cycles 1 and on Days 1 in Cycles 2 and subsequent cycles.  Premeditation with folic acid and vitamin B12 was given to reduce occurrence of serious adverse drug reactions, with reference to the package insert for Pem. Each cycle was defined as 21 days.	
NCT02347917	Best Overall Response	NSCLC: BBI608 + Pem + CDDP (Phase 1 Part)	3	2014_2017	bor	Malignant Pleural Mesothelioma ; Non-Small Cell Lung Cancer	2	2	2	MIXED	UNASSIGNABLE			2 distinct disease keys at trial level, no single-disease group evidence	PHASE1/PHASE2	MIXED	PHASE1/PHASE2	Phase 1			NONE	1	False	NOT_CONTROL_SINGLE_ARM_TRIAL	trial registers 1 arm group(s)		False	Participants orally received BBI608 (480 mg) twice daily plus intravenously received Pem (500 mg/m2) and CDDP (75 mg/m2) on Day 3 in only Cycles 1 and on Days 1 in Cycles 2 and subsequent cycles.  Premeditation with folic acid and vitamin B12 was given to reduce occurrence of serious adverse drug reactions, with reference to the package insert for Pem. Each cycle was defined as 21 days.	
NCT02383927	Antitumor Activity - Best Overall Response (BOR)	Cohort 1	11	2014_2017	bor	Thyroid Cancer ; Squamous Cell Carcinoma Head and Neck Cancer (HNSCC) ; HRAS Mutant Tumor ; Other Squamous Cell Carcinoma (SCC) With HRAS Mutant Tumor	4	4	4	GROUP_SPECIFIC	NAMES_A_TUMOUR_TYPE	thyroid	Thyroid Cancer	group/arm/outcome text names exactly one of the trial conditions	PHASE2	TRIAL_SINGLE	PHASE2		Cohort 1	EXPERIMENTAL	EXACT	2	False	NOT_CONTROL	registry arm 'Cohort 1' type=EXPERIMENTAL (EXACT match)		False	Subjects with thyroid cancer with HRAS mutations.  Subjects received tipifarnib as monotherapy orally BID on Days 1-7 and 15-21 of each 28-day treatment cycle.  In the absence of unacceptable tipifarnib-related emergent toxicity or disease progression, subjects could receive treatment with tipifarnib for up to 12 months at the discretion of the Investigator. Treatment beyond 12 months may have con	Thyroid Cancer
NCT02383927	Antitumor Activity - Best Overall Response (BOR)	Cohort 2/Stage 1	8	2014_2017	bor	Thyroid Cancer ; Squamous Cell Carcinoma Head and Neck Cancer (HNSCC) ; HRAS Mutant Tumor ; Other Squamous Cell Carcinoma (SCC) With HRAS Mutant Tumor	4	4	4	MIXED	UNASSIGNABLE			4 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2		Cohort 2	EXPERIMENTAL	CONTAINMENT	2	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Cohort 2' (type=EXPERIMENTAL); not group-supported		False	Subjects with any solid tumour with HRAS mutation.  Subjects received tipifarnib as monotherapy orally BID on Days 1-7 and 15-21 of each 28-day treatment cycle.  In the absence of unacceptable tipifarnib-related emergent toxicity or disease progression, subjects could receive treatment with tipifarnib for up to 12 months at the discretion of the Investigator. Treatment beyond 12 months may have co	Squamous Head and Neck Cancer
NCT02383927	Antitumor Activity - Best Overall Response (BOR)	Cohort 2/Stage 2	23	2014_2017	bor	Thyroid Cancer ; Squamous Cell Carcinoma Head and Neck Cancer (HNSCC) ; HRAS Mutant Tumor ; Other Squamous Cell Carcinoma (SCC) With HRAS Mutant Tumor	4	4	4	MIXED	UNASSIGNABLE			4 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2		Cohort 2	EXPERIMENTAL	CONTAINMENT	2	False	UNKNOWN_WEAK_MATCH_ONLY	only a substring match to registry arm 'Cohort 2' (type=EXPERIMENTAL); not group-supported		False	Subjects with HNSCC with HRAS mutations.  Subjects received tipifarnib as monotherapy orally BID on Days 1-7 and 15-21 of each 28-day treatment cycle.  In the absence of unacceptable tipifarnib-related emergent toxicity or disease progression, subjects could receive treatment with tipifarnib for up to 12 months at the discretion of the Investigator. Treatment beyond 12 months may have continued up	Squamous Head and Neck Cancer
NCT02383927	Antitumor Activity - Best Overall Response (BOR)	Cohort 3	7	2014_2017	bor	Thyroid Cancer ; Squamous Cell Carcinoma Head and Neck Cancer (HNSCC) ; HRAS Mutant Tumor ; Other Squamous Cell Carcinoma (SCC) With HRAS Mutant Tumor	4	4	4	MIXED	UNASSIGNABLE			4 distinct disease keys at trial level, no single-disease group evidence	PHASE2	TRIAL_SINGLE	PHASE2				NONE	2	False	UNKNOWN	no strong arm match (NONE) and no control language in the group record		False	Subjects with any SCC (excluding HNSCC) with HRAS mutation.  Subjects received tipifarnib as monotherapy orally BID on Days 1-7 and 15-21 of each 28-day treatment cycle.  In the absence of unacceptable tipifarnib-related emergent toxicity or disease progression, subjects could receive treatment with tipifarnib for up to 12 months at the discretion of the Investigator. Treatment beyond 12 months ma	
NCT02394795	Response Rate (RR) in All Participants	Group B; mFOLFOX6 + Bevacizumab Combination Therapy	397	2014_2017	bor	Colorectal Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	colorectal	Colorectal Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Group B; mFOLFOX6 + bevacizumab combination therapy	ACTIVE_COMPARATOR	NORMALIZED	2	True	CONTROL_ACTIVE_COMPARATOR	registry arm 'Group B; mFOLFOX6 + bevacizumab combination therapy' type=ACTIVE_COMPARATOR (NORMALIZED match)		False	OXA: 85 mg/m2/day 1 l-LV: 200 mg/m2/day 1 5-FU iv: 400 mg/m2/day 1 5-FU civ: 2400 mg/m2/day 1-3 bevacizumab: 5 mg/kg/ mFOLFOX6 + bevacizumab combination therapy, once every two weeks.	OXA: 85 mg/m2/day 1 l-LV: 200 mg/m2/day 1 5-FU iv: 400 mg/m2/day 1 5-FU civ: 2400 mg/m2/day 1-3 bevacizumab: 5 mg/kg/ mFOLFOX6 + bevacizumab combination therapy, once every two weeks.
NCT02394795	Response Rate (RR) in All Participants	Group P; mFOLFOX6 + Panitumumab Combination Therapy	394	2014_2017	bor	Colorectal Cancer	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	colorectal	Colorectal Cancer	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Group P; mFOLFOX6 + panitumumab combination therapy	EXPERIMENTAL	NORMALIZED	2	True	NOT_CONTROL	registry arm 'Group P; mFOLFOX6 + panitumumab combination therapy' type=EXPERIMENTAL (NORMALIZED match)		False	OXA: 85 mg/m2/day 1 l-LV: 200 mg/m2/day 1 5-FU iv: 400 mg/m2/day 1 5-FU civ: 2400 mg/m2/day 1-3 panitumumab: 6 mg/kg mFOLFOX6 + panitumumab combination therapy, once every two weeks.	OXA: 85 mg/m2/day 1 l-LV: 200 mg/m2/day 1 5-FU iv: 400 mg/m2/day 1 5-FU civ: 2400 mg/m2/day 1-3 panitumumab: 6 mg/kg mFOLFOX6 + panitumumab combination therapy, once every two weeks.
NCT02395172	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Independent Endpoint Review Committee (IERC) in PD-L1+ Full Analysis Set Population	Avelumab	229	2014_2017	bor	Carcinoma, Non-Small-Cell Lung	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	non small cell lung	Carcinoma, Non-Small-Cell Lung	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Avelumab	EXPERIMENTAL	EXACT	2	True	NOT_CONTROL	registry arm 'Avelumab' type=EXPERIMENTAL (EXACT match)		False	Participants received 10 milligrams per kilogram (mg/kg) of avelumab as a 1-hour intravenous infusion once every 2 weeks until confirmed disease progression, significant clinical deterioration, unacceptable toxicity, or any criterion for withdrawal from the study or Investigational Medicinal Product (IMP) as defined in the study protocol was fulfilled.	
NCT02395172	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by Independent Endpoint Review Committee (IERC) in PD-L1+ Full Analysis Set Population	Docetaxel	192	2014_2017	bor	Carcinoma, Non-Small-Cell Lung	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	non small cell lung	Carcinoma, Non-Small-Cell Lung	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Docetaxel	ACTIVE_COMPARATOR	EXACT	2	True	CONTROL_ACTIVE_COMPARATOR	registry arm 'Docetaxel' type=ACTIVE_COMPARATOR (EXACT match)		False	Participants received 75 mg per square meter (m\^2) (per label) of docetaxel by intravenous infusion once every 3 weeks until confirmed disease progression, significant clinical deterioration, unacceptable toxicity, or any criterion for withdrawal from the study or Investigational Medicinal Product (IMP) as defined in the study protocol was fulfilled.	
NCT02395172	Number of Participants With Confirmed Best Overall Response (BOR) as Assessed by an Independent Endpoint Review Committee (IERC) in Full Analysis Set Population	Avelumab	338	2014_2017	bor	Carcinoma, Non-Small-Cell Lung	1	1	1	TRIAL_SINGLE	NAMES_A_TUMOUR_TYPE	non small cell lung	Carcinoma, Non-Small-Cell Lung	trial lists exactly one condition	PHASE3	TRIAL_SINGLE	PHASE3		Avelumab	EXPERIMENTAL	EXACT	2	True	NOT_CONTROL	registry arm 'Avelumab' type=EXPERIMENTAL (EXACT match)		False	Participants received 10 milligrams per kilogram (mg/kg) of avelumab as a 1-hour intravenous infusion once every 2 weeks until confirmed disease progression, significant clinical deterioration, unacceptable toxicity, or any criterion for withdrawal from the study or Investigational Medicinal Product (IMP) as defined in the study protocol was fulfilled.	
