nct	selected_cohorts	sum_selected_denominators	registered_enrollment	enrollment_type	excess
NCT01910181	1	46	46	ACTUAL	0
NCT01911273	2	3	3	ACTUAL	0
NCT01912274	1	50	50	ACTUAL	0
NCT01924533	2	525	525	ACTUAL	0
NCT01927341	5	53	53	ACTUAL	0
NCT01938001	2	358	358	ACTUAL	0
NCT01941316	5	78	78	ACTUAL	0
NCT01942135	2	521	521	ACTUAL	0
NCT01943864	1	20	20	ACTUAL	0
NCT01946477	3	186	186	ACTUAL	0
NCT01955473	5	51	51	ACTUAL	0
NCT01958021	2	668	668	ACTUAL	0
NCT01966003	2	642	642	ACTUAL	0
NCT01966445	6	29	29	ACTUAL	0
NCT01974440	2	403	403	ACTUAL	0
NCT01980589	3	22	22	ACTUAL	0
NCT01981187	1	12	12	ACTUAL	0
NCT01982955	5	88	88	ACTUAL	0
NCT01983878	1	36	36	ACTUAL	0
NCT01985763	1	13	13	ACTUAL	0
NCT01990859	1	20	20	ACTUAL	0
NCT02001623	15	195	195	ACTUAL	0
NCT02004522	2	319	319	ACTUAL	0
NCT02005471	2	389	389	ACTUAL	0
NCT02005484	1	6	6	ACTUAL	0
NCT02011113	1	36	36	ACTUAL	0
NCT02013206	2	52	52	ACTUAL	0
NCT02017015	1	83	83	ACTUAL	0
NCT02023905	3	27	27	ACTUAL	0
NCT02032810	2	17	17	ACTUAL	0
NCT02038647	2	178	178	ACTUAL	0
NCT02038933	2	121	121	ACTUAL	0
NCT02040870	1	103	103	ACTUAL	0
NCT02049515	2	99	99	ACTUAL	0
NCT02060188	9	385	385	ACTUAL	0
NCT02064387	12	79	79	ACTUAL	0
NCT02069041	1	8	8	ACTUAL	0
NCT02069704	2	142	142	ACTUAL	0
NCT02075840	2	303	303	ACTUAL	0
NCT02078648	2	74	74	ACTUAL	0
NCT02079636	15	142	142	ACTUAL	0
NCT02080260	1	20	20	ACTUAL	0
NCT02083653	3	254	254	ACTUAL	0
NCT02085070	2	65	65	ACTUAL	0
NCT02094573	2	222	222	ACTUAL	0
NCT02098538	1	38	38	ACTUAL	0
NCT02101788	2	260	260	ACTUAL	0
NCT02102490	1	132	132	ACTUAL	0
NCT02105636	2	361	361	ACTUAL	0
NCT02107703	2	669	669	ACTUAL	0
NCT02113878	2	23	23	ACTUAL	0
NCT02115282	2	608	608	ACTUAL	0
NCT02118337	9	97	97	ACTUAL	0
NCT02119026	2	120	120	ACTUAL	0
NCT02119676	4	396	396	ACTUAL	0
NCT02124772	13	139	139	ACTUAL	0
NCT02128958	2	78	78	ACTUAL	0
NCT02129556	3	58	58	ACTUAL	0
NCT02137837	3	37	37	ACTUAL	0
NCT02146833	1	20	20	ACTUAL	0
NCT02151149	2	143	143	ACTUAL	0
NCT02151903	2	5	5	ACTUAL	0
NCT02152631	2	453	453	ACTUAL	0
NCT02152956	13	244	244	ACTUAL	0
NCT02155647	2	204	204	ACTUAL	0
NCT02162719	2	124	124	ACTUAL	0
NCT02165397	3	181	181	ACTUAL	0
NCT02178358	3	132	132	ACTUAL	0
NCT02184195	2	154	154	ACTUAL	0
NCT02186301	3	100	100	ACTUAL	0
NCT02193958	9	55	55	ACTUAL	0
NCT02195479	2	706	706	ACTUAL	0
NCT02196688	2	71	71	ACTUAL	0
NCT02201329	1	5	5	ACTUAL	0
NCT02203604	1	9	9	ACTUAL	0
NCT02205333	9	48	48	ACTUAL	0
NCT02212015	1	26	26	ACTUAL	0
NCT02220855	1	14	14	ACTUAL	0
NCT02227667	1	16	16	ACTUAL	0
NCT02246621	2	493	493	ACTUAL	0
NCT02247349	6	106	106	ACTUAL	0
NCT02250326	3	240	240	ACTUAL	0
NCT02252172	2	737	737	ACTUAL	0
NCT02259582	3	82	82	ACTUAL	0
NCT02260804	2	258	258	ACTUAL	0
NCT02263508	3	713	713	ACTUAL	0
NCT02264574	2	229	229	ACTUAL	0
NCT02271945	2	10	10	ACTUAL	0
NCT02273388	12	65	65	ACTUAL	0
NCT02273973	2	334	334	ACTUAL	0
NCT02276027	4	66	66	ACTUAL	0
NCT02277093	1	11	11	ACTUAL	0
NCT02278120	2	672	672	ACTUAL	0
NCT02289456	1	40	40	ACTUAL	0
NCT02290431	1	31	31	ACTUAL	0
NCT02292758	2	36	36	ACTUAL	0
NCT02300987	2	10	10	ACTUAL	0
NCT02301156	2	126	126	ACTUAL	0
NCT02305563	5	70	70	ACTUAL	0
NCT02305758	2	130	130	ACTUAL	0
NCT02314117	2	645	645	ACTUAL	0
NCT02314247	2	16	16	ACTUAL	0
NCT02315066	14	174	174	ACTUAL	0
NCT02320058	2	119	119	ACTUAL	0
NCT02323126	3	64	64	ACTUAL	0
NCT02325739	11	172	172	ACTUAL	0
NCT02326025	2	49	49	ACTUAL	0
NCT02327078	16	307	307	ACTUAL	0
NCT02328014	4	40	40	ACTUAL	0
NCT02335944	10	177	177	ACTUAL	0
NCT02336165	5	159	159	ACTUAL	0
NCT02336451	5	156	156	ACTUAL	0
NCT02341014	3	27	27	ACTUAL	0
NCT02347332	2	459	459	ACTUAL	0
NCT02350764	1	29	29	ACTUAL	0
NCT02367040	2	458	458	ACTUAL	0
NCT02372006	3	56	56	ACTUAL	0
NCT02383498	2	24	24	ACTUAL	0
NCT02383966	2	243	243	ACTUAL	0
NCT02395172	2	792	792	ACTUAL	0
NCT02399813	1	36	36	ACTUAL	0
NCT02402764	1	10	10	ACTUAL	0
NCT02403895	1	11	11	ACTUAL	0
NCT02407990	2	451	451	ACTUAL	0
NCT02412878	2	478	478	ACTUAL	0
NCT02419417	11	83	83	ACTUAL	0
NCT02421588	2	442	442	ACTUAL	0
NCT02422615	2	726	726	ACTUAL	0
NCT02423902	2	9	9	ACTUAL	0
NCT02426125	2	530	530	ACTUAL	0
NCT02435849	2	80	80	ACTUAL	0
NCT02437318	4	572	572	ACTUAL	0
NCT02441517	1	4	4	ACTUAL	0
NCT02441946	1	224	224	ACTUAL	0
NCT02444793	4	24	24	ACTUAL	0
NCT02445586	1	52	52	ACTUAL	0
NCT02448537	3	42	42	ACTUAL	0
NCT02450539	2	159	159	ACTUAL	0
NCT02450903	1	20	20	ACTUAL	0
NCT02451943	2	509	509	ACTUAL	0
NCT02454478	1	7	7	ACTUAL	0
NCT02460224	29	490	490	ACTUAL	0
NCT02465528	4	22	22	ACTUAL	0
NCT02475681	3	535	535	ACTUAL	0
NCT02477826	10	2747	2747	ACTUAL	0
NCT02481830	2	569	569	ACTUAL	0
NCT02490475	4	19	19	ACTUAL	0
NCT02491983	2	486	486	ACTUAL	0
NCT02494583	3	763	763	ACTUAL	0
NCT02499120	2	125	125	ACTUAL	0
NCT02504892	1	3	3	ACTUAL	0
NCT02509507	9	127	127	ACTUAL	0
NCT02516553	22	174	174	ACTUAL	0
NCT02517398	23	600	600	ACTUAL	0
NCT02517918	3	23	23	ACTUAL	0
NCT02518113	6	36	36	ACTUAL	0
NCT02519348	9	433	433	ACTUAL	0
NCT02525536	3	18	18	ACTUAL	0
NCT02528357	19	141	141	ACTUAL	0
NCT02545075	2	182	182	ACTUAL	0
NCT02545504	2	432	432	ACTUAL	0
NCT02546986	2	100	100	ACTUAL	0
NCT02548962	2	11	11	ACTUAL	0
NCT02552121	8	33	33	ACTUAL	0
NCT02562378	3	15	15	ACTUAL	0
NCT02564198	3	29	29	ACTUAL	0
NCT02566993	2	613	613	ACTUAL	0
NCT02574260	1	3	3	ACTUAL	0
NCT02576509	2	743	743	ACTUAL	0
NCT02578641	2	330	330	ACTUAL	0
NCT02580058	3	566	566	ACTUAL	0
NCT02582970	1	40	40	ACTUAL	0
NCT02587962	5	34	34	ACTUAL	0
NCT02588261	2	530	530	ACTUAL	0
NCT02593786	4	58	58	ACTUAL	0
NCT02603432	2	700	700	ACTUAL	0
NCT02605967	2	122	122	ACTUAL	0
NCT02608268	30	252	252	ACTUAL	0
NCT02612311	4	603	603	ACTUAL	0
NCT02612779	2	74	74	ACTUAL	0
NCT02614794	2	612	612	ACTUAL	0
NCT02625610	2	499	499	ACTUAL	0
NCT02626455	7	551	551	ACTUAL	0
NCT02631876	2	366	366	ACTUAL	0
NCT02639182	2	133	133	ACTUAL	0
NCT02640755	2	4	4	ACTUAL	0
NCT02641639	2	70	70	ACTUAL	0
NCT02644278	4	15	15	ACTUAL	0
NCT02644967	1	53	53	ACTUAL	0
NCT02651987	2	99	99	ACTUAL	0
NCT02654132	2	117	117	ACTUAL	0
NCT02654990	3	248	248	ACTUAL	0
NCT02660034	14	229	229	ACTUAL	0
NCT02664181	2	13	13	ACTUAL	0
NCT02675231	3	237	237	ACTUAL	0
NCT02681549	2	41	41	ACTUAL	0
NCT02684006	2	886	886	ACTUAL	0
NCT02684058	3	151	151	ACTUAL	0
NCT02694822	6	89	89	ACTUAL	0
NCT02698410	1	40	40	ACTUAL	0
NCT02699515	8	114	114	ACTUAL	0
NCT02702401	2	413	413	ACTUAL	0
NCT02703272	4	72	72	ACTUAL	0
NCT02709889	8	200	200	ACTUAL	0
NCT02711553	3	309	309	ACTUAL	0
NCT02715804	2	492	492	ACTUAL	0
NCT02717611	1	60	60	ACTUAL	0
NCT02718300	3	74	74	ACTUAL	0
NCT02718417	3	998	998	ACTUAL	0
NCT02718911	10	72	72	ACTUAL	0
NCT02737072	3	9	9	ACTUAL	0
NCT02741570	2	947	947	ACTUAL	0
NCT02749903	1	46	46	ACTUAL	0
NCT02755597	2	291	291	ACTUAL	0
NCT02759588	8	46	46	ACTUAL	0
NCT02763319	2	453	453	ACTUAL	0
NCT02763566	4	463	463	ACTUAL	0
NCT02783599	1	51	51	ACTUAL	0
NCT02789137	1	111	111	ACTUAL	0
NCT02795429	5	89	89	ACTUAL	0
NCT02807844	10	141	141	ACTUAL	0
NCT02810457	2	731	731	ACTUAL	0
NCT02823574	4	425	425	ACTUAL	0
NCT02832167	1	239	239	ACTUAL	0
NCT02834390	2	7	7	ACTUAL	0
NCT02842580	2	21	21	ACTUAL	0
NCT02848001	17	101	101	ACTUAL	0
NCT02857426	2	66	66	ACTUAL	0
NCT02859324	3	21	21	ACTUAL	0
NCT02860546	1	18	18	ACTUAL	0
NCT02864251	3	367	367	ACTUAL	0
NCT02865135	3	11	11	ACTUAL	0
NCT02874404	1	13	13	ACTUAL	0
NCT02875223	13	75	75	ACTUAL	0
NCT02898077	2	440	440	ACTUAL	0
NCT02899299	2	605	605	ACTUAL	0
NCT02905266	2	106	106	ACTUAL	0
NCT02913313	14	101	101	ACTUAL	0
NCT02913430	2	7	7	ACTUAL	0
NCT02915744	2	178	178	ACTUAL	0
NCT02920008	2	302	302	ACTUAL	0
NCT02920996	1	12	12	ACTUAL	0
NCT02923531	1	9	9	ACTUAL	0
NCT02923921	2	567	567	ACTUAL	0
NCT02927769	2	72	72	ACTUAL	0
NCT02928406	1	1004	1004	ACTUAL	0
NCT02941926	1	3246	3246	ACTUAL	0
NCT02947347	2	445	445	ACTUAL	0
NCT02951156	3	29	29	ACTUAL	0
NCT02952586	2	697	697	ACTUAL	0
NCT02955069	2	116	116	ACTUAL	0
NCT02959437	4	70	70	ACTUAL	0
NCT02967692	4	568	568	ACTUAL	0
NCT02975700	1	6	6	ACTUAL	0
NCT02981108	8	364	364	ACTUAL	0
NCT02981303	2	64	64	ACTUAL	0
NCT02984683	2	23	23	ACTUAL	0
NCT02988817	20	306	306	ACTUAL	0
NCT02990338	2	307	307	ACTUAL	0
NCT02994953	6	52	52	ACTUAL	0
NCT02999672	2	20	20	ACTUAL	0
NCT03000452	1	18	18	ACTUAL	0
NCT03006887	1	6	6	ACTUAL	0
NCT03009344	1	7	7	ACTUAL	0
NCT03018080	2	40	40	ACTUAL	0
NCT03029780	2	104	104	ACTUAL	0
NCT03038100	2	1301	1301	ACTUAL	0
NCT03042611	2	460	460	ACTUAL	0
NCT03048500	1	17	17	ACTUAL	0
NCT03053440	2	201	201	ACTUAL	0
NCT03056001	1	30	30	ACTUAL	0
NCT03062358	2	453	453	ACTUAL	0
NCT03063632	2	28	28	ACTUAL	0
NCT03075527	1	19	19	ACTUAL	0
NCT03084237	2	652	652	ACTUAL	0
NCT03086369	5	184	184	ACTUAL	0
NCT03088540	2	712	712	ACTUAL	0
NCT03088813	4	491	491	ACTUAL	0
NCT03090737	1	129	129	ACTUAL	0
NCT03093870	3	151	151	ACTUAL	0
NCT03098550	3	105	105	ACTUAL	0
NCT03099486	1	2	2	ACTUAL	0
NCT03110107	26	376	376	ACTUAL	0
NCT03112174	5	366	366	ACTUAL	0
NCT03115801	2	6	6	ACTUAL	0
NCT03116152	2	190	190	ACTUAL	0
NCT03117049	2	550	550	ACTUAL	0
NCT03125200	7	21	21	ACTUAL	0
NCT03126591	3	41	41	ACTUAL	0
NCT03132636	2	138	138	ACTUAL	0
NCT03138499	2	23	23	ACTUAL	0
NCT03138538	6	27	27	ACTUAL	0
NCT03141177	3	701	701	ACTUAL	0
NCT03143153	3	970	970	ACTUAL	0
NCT03145064	1	41	41	ACTUAL	0
NCT03147287	3	220	220	ACTUAL	0
NCT03157089	2	24	24	ACTUAL	0
NCT03157128	6	857	857	ACTUAL	0
NCT03158272	4	19	19	ACTUAL	0
NCT03159195	2	652	652	ACTUAL	0
NCT03160079	2	16	16	ACTUAL	0
NCT03166631	11	62	62	ACTUAL	0
NCT03168438	2	6	6	ACTUAL	0
NCT03172624	2	64	64	ACTUAL	0
NCT03180736	2	304	304	ACTUAL	0
NCT03182244	2	276	276	ACTUAL	0
NCT03189719	2	749	749	ACTUAL	0
NCT03190213	1	6	6	ACTUAL	0
NCT03190915	1	10	10	ACTUAL	0
NCT03191786	2	453	453	ACTUAL	0
NCT03206918	1	91	91	ACTUAL	0
NCT03206970	1	86	86	ACTUAL	0
NCT03210714	1	20	20	ACTUAL	0
NCT03212274	6	89	89	ACTUAL	0
NCT03213704	1	9	9	ACTUAL	0
NCT03215095	1	11	11	ACTUAL	0
NCT03215706	2	719	719	ACTUAL	0
NCT03222856	1	44	44	ACTUAL	0
NCT03224104	5	71	71	ACTUAL	0
NCT03224819	14	46	46	ACTUAL	0
NCT03225105	4	15	15	ACTUAL	0
NCT03233204	1	6	6	ACTUAL	0
NCT03241173	13	52	52	ACTUAL	0
NCT03245736	1	5	5	ACTUAL	0
NCT03254927	1	30	30	ACTUAL	0
NCT03255083	4	13	13	ACTUAL	0
NCT03256045	1	9	9	ACTUAL	0
NCT03267498	1	40	40	ACTUAL	0
NCT03269552	1	4	4	ACTUAL	0
NCT03271047	4	75	75	ACTUAL	0
NCT03272464	1	1	1	ACTUAL	0
NCT03275285	2	302	302	ACTUAL	0
NCT03279237	1	25	25	ACTUAL	0
NCT03283696	2	24	24	ACTUAL	0
NCT03284424	2	159	159	ACTUAL	0
NCT03289533	1	22	22	ACTUAL	0
NCT03290950	2	69	69	ACTUAL	0
NCT03294083	6	95	95	ACTUAL	0
NCT03306420	5	15	15	ACTUAL	0
NCT03312738	2	159	159	ACTUAL	0
NCT03314935	15	149	149	ACTUAL	0
NCT03332017	2	217	217	ACTUAL	0
NCT03343054	3	28	28	ACTUAL	0
NCT03344536	1	10	10	ACTUAL	0
NCT03349450	1	25	25	ACTUAL	0
NCT03353753	2	129	129	ACTUAL	0
NCT03361306	1	15	15	ACTUAL	0
NCT03367819	2	44	44	ACTUAL	0
NCT03370302	6	28	28	ACTUAL	0
NCT03375320	4	298	298	ACTUAL	0
NCT03376659	1	8	8	ACTUAL	0
NCT03379259	6	39	39	ACTUAL	0
NCT03382600	2	100	100	ACTUAL	0
NCT03382912	2	52	52	ACTUAL	0
NCT03384940	3	86	86	ACTUAL	0
NCT03386357	2	115	115	ACTUAL	0
NCT03391232	2	11	11	ACTUAL	0
NCT03391466	2	359	359	ACTUAL	0
NCT03396471	1	14	14	ACTUAL	0
NCT03400332	9	281	281	ACTUAL	0
NCT03406156	2	120	120	ACTUAL	0
NCT03406871	1	50	50	ACTUAL	0
NCT03409614	5	789	789	ACTUAL	0
NCT03410030	3	17	17	ACTUAL	0
NCT03411031	2	18	18	ACTUAL	0
NCT03412773	3	684	684	ACTUAL	0
NCT03418922	2	30	30	ACTUAL	0
NCT03419897	1	249	249	ACTUAL	0
NCT03421652	1	20	20	ACTUAL	0
NCT03427073	8	20	20	ACTUAL	0
NCT03428126	1	29	29	ACTUAL	0
NCT03433469	1	27	27	ACTUAL	0
NCT03435107	1	33	33	ACTUAL	0
NCT03436056	3	2	2	ACTUAL	0
NCT03445533	2	481	481	ACTUAL	0
NCT03447314	18	54	54	ACTUAL	0
NCT03450057	1	38	38	ACTUAL	0
NCT03451773	2	7	7	ACTUAL	0
NCT03451825	2	21	21	ACTUAL	0
NCT03452579	2	90	90	ACTUAL	0
NCT03456726	2	20	20	ACTUAL	0
NCT03459222	6	229	229	ACTUAL	0
NCT03462719	2	211	211	ACTUAL	0
NCT03468985	4	3	3	ACTUAL	0
NCT03484923	5	196	196	ACTUAL	0
NCT03493451	3	77	77	ACTUAL	0
NCT03499899	3	88	88	ACTUAL	0
NCT03504397	2	565	565	ACTUAL	0
NCT03505710	3	181	181	ACTUAL	0
NCT03515551	8	29	29	ACTUAL	0
NCT03517449	2	827	827	ACTUAL	0
NCT03519971	2	328	328	ACTUAL	0
NCT03520920	3	41	41	ACTUAL	0
NCT03521154	2	216	216	ACTUAL	0
NCT03522298	4	30	30	ACTUAL	0
NCT03523585	2	608	608	ACTUAL	0
NCT03525834	1	40	40	ACTUAL	0
NCT03526900	1	40	40	ACTUAL	0
NCT03529110	2	524	524	ACTUAL	0
NCT03539484	7	26	26	ACTUAL	0
NCT03541369	18	64	64	ACTUAL	0
NCT03552029	2	10	10	ACTUAL	0
NCT03563716	2	135	135	ACTUAL	0
NCT03573947	1	46	46	ACTUAL	0
NCT03575351	2	184	184	ACTUAL	0
NCT03581786	2	289	289	ACTUAL	0
NCT03582033	10	83	83	ACTUAL	0
NCT03599518	5	20	20	ACTUAL	0
NCT03607539	2	397	397	ACTUAL	0
NCT03609359	1	29	29	ACTUAL	0
NCT03625323	3	187	187	ACTUAL	0
NCT03626545	3	245	245	ACTUAL	0
NCT03629925	2	357	357	ACTUAL	0
NCT03631199	5	673	673	ACTUAL	0
NCT03631706	2	304	304	ACTUAL	0
NCT03635567	2	617	617	ACTUAL	0
NCT03639610	3	35	35	ACTUAL	0
NCT03647488	1	18	18	ACTUAL	0
NCT03651271	5	100	100	ACTUAL	0
NCT03653507	2	507	507	ACTUAL	0
NCT03659136	2	103	103	ACTUAL	0
NCT03661723	2	60	60	ACTUAL	0
NCT03663166	1	19	19	ACTUAL	0
NCT03665285	9	109	109	ACTUAL	0
NCT03666988	6	31	31	ACTUAL	0
NCT03673501	2	453	453	ACTUAL	0
NCT03674827	6	36	36	ACTUAL	0
NCT03676192	2	689	689	ACTUAL	0
NCT03679754	1	36	36	ACTUAL	0
NCT03679767	4	121	121	ACTUAL	0
NCT03681951	6	8	8	ACTUAL	0
NCT03692325	1	33	33	ACTUAL	0
NCT03694522	2	155	155	ACTUAL	0
NCT03697304	8	211	211	ACTUAL	0
NCT03704467	1	3	3	ACTUAL	0
NCT03711188	2	16	16	ACTUAL	0
NCT03713593	2	794	794	ACTUAL	0
NCT03724890	11	57	57	ACTUAL	0
NCT03729245	2	623	623	ACTUAL	0
NCT03730012	2	11	11	ACTUAL	0
NCT03734029	2	557	557	ACTUAL	0
NCT03734692	1	24	24	ACTUAL	0
NCT03747484	5	7	7	ACTUAL	0
NCT03750786	2	490	490	ACTUAL	0
NCT03753919	3	79	79	ACTUAL	0
NCT03759184	1	1	1	ACTUAL	0
NCT03760081	2	19	19	ACTUAL	0
NCT03769181	4	58	58	ACTUAL	0
NCT03770494	14	54	54	ACTUAL	0
NCT03774654	4	13	13	ACTUAL	0
NCT03783442	2	649	649	ACTUAL	0
NCT03783936	1	18	18	ACTUAL	0
NCT03785210	2	22	22	ACTUAL	0
NCT03785964	2	142	142	ACTUAL	0
NCT03790111	1	53	53	ACTUAL	0
NCT03792750	1	12	12	ACTUAL	0
NCT03811002	2	544	544	ACTUAL	0
NCT03817125	2	14	14	ACTUAL	0
NCT03822468	2	376	376	ACTUAL	0
NCT03823131	1	14	14	ACTUAL	0
NCT03828292	4	15	15	ACTUAL	0
NCT03829969	2	514	514	ACTUAL	0
NCT03830866	2	770	770	ACTUAL	0
NCT03834961	2	33	33	ACTUAL	0
NCT03835819	1	18	18	ACTUAL	0
NCT03837353	6	18	18	ACTUAL	0
NCT03839823	2	222	222	ACTUAL	0
NCT03840902	2	153	153	ACTUAL	0
NCT03848845	3	41	41	ACTUAL	0
NCT03849768	2	429	429	ACTUAL	0
NCT03850691	2	4	4	ACTUAL	0
NCT03859427	2	454	454	ACTUAL	0
NCT03872427	4	54	54	ACTUAL	0
NCT03873493	1	14	14	ACTUAL	0
NCT03894540	6	22	22	ACTUAL	0
NCT03899792	3	36	36	ACTUAL	0
NCT03901339	2	543	543	ACTUAL	0
NCT03905135	2	8	8	ACTUAL	0
NCT03910439	1	4	4	ACTUAL	0
NCT03911869	2	13	13	ACTUAL	0
NCT03915951	2	98	98	ACTUAL	0
NCT03917381	26	429	429	ACTUAL	0
NCT03924986	2	263	263	ACTUAL	0
NCT03934684	2	101	101	ACTUAL	0
NCT03936959	3	10	10	ACTUAL	0
NCT03941093	2	284	284	ACTUAL	0
NCT03955471	1	41	41	ACTUAL	0
NCT03957590	2	370	370	ACTUAL	0
NCT03968419	3	88	88	ACTUAL	0
NCT03972488	2	226	226	ACTUAL	0
NCT03976102	2	317	317	ACTUAL	0
NCT03981146	1	35	35	ACTUAL	0
NCT03990961	1	5	5	ACTUAL	0
NCT03999684	1	18	18	ACTUAL	0
NCT04003610	3	7	7	ACTUAL	0
NCT04003636	2	1069	1069	ACTUAL	0
NCT04005716	2	457	457	ACTUAL	0
NCT04014075	1	79	79	ACTUAL	0
NCT04024436	4	64	64	ACTUAL	0
NCT04026412	3	925	925	ACTUAL	0
NCT04031885	2	4	4	ACTUAL	0
NCT04035486	3	587	587	ACTUAL	0
NCT04044768	2	52	52	ACTUAL	0
NCT04052997	1	117	117	ACTUAL	0
NCT04062448	1	16	16	ACTUAL	0
NCT04063163	2	585	585	ACTUAL	0
NCT04075604	3	23	23	ACTUAL	0
NCT04075721	3	10	10	ACTUAL	0
NCT04083235	2	770	770	ACTUAL	0
NCT04088500	1	5	5	ACTUAL	0
NCT04099641	2	80	80	ACTUAL	0
NCT04122625	6	46	46	ACTUAL	0
NCT04134936	2	66	66	ACTUAL	0
NCT04139317	2	76	76	ACTUAL	0
NCT04144140	7	24	24	ACTUAL	0
NCT04148937	8	52	52	ACTUAL	0
NCT04149821	2	1	1	ACTUAL	0
NCT04154189	2	81	81	ACTUAL	0
NCT04164901	2	331	331	ACTUAL	0
NCT04172597	5	1	1	ACTUAL	0
NCT04179396	2	8	8	ACTUAL	0
NCT04182204	3	270	270	ACTUAL	0
NCT04189445	2	115	115	ACTUAL	0
NCT04194775	2	534	534	ACTUAL	0
NCT04197713	2	13	13	ACTUAL	0
NCT04205409	1	20	20	ACTUAL	0
NCT04209621	1	3	3	ACTUAL	0
NCT04209855	2	453	453	ACTUAL	0
NCT04211337	2	291	291	ACTUAL	0
NCT04212221	8	89	89	ACTUAL	0
NCT04217317	1	6	6	ACTUAL	0
NCT04221438	1	3	3	ACTUAL	0
NCT04222972	2	223	223	ACTUAL	0
NCT04231981	1	18	18	ACTUAL	0
NCT04236141	2	42	42	ACTUAL	0
NCT04238819	7	47	47	ACTUAL	0
NCT04248829	2	393	393	ACTUAL	0
NCT04251533	3	137	137	ACTUAL	0
NCT04268277	1	22	22	ACTUAL	0
NCT04284774	1	5	5	ACTUAL	0
NCT04285567	2	166	166	ACTUAL	0
NCT04296942	3	1	1	ACTUAL	0
NCT04313504	1	10	10	ACTUAL	0
NCT04313608	2	23	23	ACTUAL	0
NCT04316182	1	24	24	ACTUAL	0
NCT04320888	1	1	1	ACTUAL	0
NCT04322539	2	691	691	ACTUAL	0
NCT04323436	3	31	31	ACTUAL	0
NCT04329949	1	43	43	ACTUAL	0
NCT04349267	7	44	44	ACTUAL	0
NCT04364620	1	35	35	ACTUAL	0
NCT04387071	1	2	2	ACTUAL	0
NCT04394624	2	31	31	ACTUAL	0
NCT04400474	6	93	93	ACTUAL	0
NCT04408599	7	46	46	ACTUAL	0
NCT04408924	1	44	44	ACTUAL	0
NCT04439123	1	35	35	ACTUAL	0
NCT04439253	1	4	4	ACTUAL	0
NCT04439357	1	4	4	ACTUAL	0
NCT04442126	9	52	52	ACTUAL	0
NCT04452877	1	40	40	ACTUAL	0
NCT04455620	5	49	49	ACTUAL	0
NCT04466891	2	87	87	ACTUAL	0
NCT04479436	2	40	40	ACTUAL	0
NCT04484142	1	137	137	ACTUAL	0
NCT04488822	1	40	40	ACTUAL	0
NCT04499924	2	17	17	ACTUAL	0
NCT04524689	6	57	57	ACTUAL	0
NCT04527991	2	711	711	ACTUAL	0
NCT04535401	4	10	10	ACTUAL	0
NCT04538378	1	4	4	ACTUAL	0
NCT04567615	3	266	266	ACTUAL	0
NCT04579757	9	87	87	ACTUAL	0
NCT04581824	2	243	243	ACTUAL	0
NCT04585815	8	34	34	ACTUAL	0
NCT04601857	2	43	43	ACTUAL	0
NCT04622774	10	56	56	ACTUAL	0
NCT04627064	2	11	11	ACTUAL	0
NCT04629339	5	16	16	ACTUAL	0
NCT04632459	1	26	26	ACTUAL	0
NCT04632992	14	252	252	ACTUAL	0
NCT04633278	2	24	24	ACTUAL	0
NCT04634825	2	62	62	ACTUAL	0
NCT04639245	1	1	1	ACTUAL	0
NCT04646005	1	113	113	ACTUAL	0
NCT04649060	2	54	54	ACTUAL	0
NCT04649359	2	187	187	ACTUAL	0
NCT04655976	3	758	758	ACTUAL	0
NCT04665856	2	123	123	ACTUAL	0
NCT04666038	2	238	238	ACTUAL	0
NCT04690855	1	1	1	ACTUAL	0
NCT04695977	2	20	20	ACTUAL	0
NCT04696055	2	95	95	ACTUAL	0
NCT04698187	1	44	44	ACTUAL	0
NCT04699630	3	121	121	ACTUAL	0
NCT04702880	2	135	135	ACTUAL	0
NCT04704154	6	175	175	ACTUAL	0
NCT04716634	3	84	84	ACTUAL	0
NCT04716933	2	201	201	ACTUAL	0
NCT04719273	1	14	14	ACTUAL	0
NCT04729387	2	358	358	ACTUAL	0
NCT04732494	2	125	125	ACTUAL	0
NCT04738292	1	11	11	ACTUAL	0
NCT04751929	4	19	19	ACTUAL	0
NCT04753658	1	15	15	ACTUAL	0
NCT04768686	2	20	20	ACTUAL	0
NCT04783415	1	12	12	ACTUAL	0
NCT04798586	1	4	4	ACTUAL	0
NCT04816214	3	6	6	ACTUAL	0
NCT04820023	10	45	45	ACTUAL	0
NCT04822298	1	3	3	ACTUAL	0
NCT04824794	11	130	130	ACTUAL	0
NCT04852679	1	43	43	ACTUAL	0
NCT04875806	5	40	40	ACTUAL	0
NCT04885998	4	23	23	ACTUAL	0
NCT04896658	5	10	10	ACTUAL	0
NCT04899349	2	2	2	ACTUAL	0
NCT04907227	2	81	81	ACTUAL	0
NCT04907851	3	45	45	ACTUAL	0
NCT04913220	4	46	46	ACTUAL	0
NCT04914897	4	106	106	ACTUAL	0
NCT04921358	2	377	377	ACTUAL	0
NCT04924062	2	158	158	ACTUAL	0
NCT04924608	2	145	145	ACTUAL	0
NCT04933617	2	8	8	ACTUAL	0
NCT04934722	2	186	186	ACTUAL	0
NCT04940052	2	153	153	ACTUAL	0
NCT04979988	2	51	51	ACTUAL	0
NCT04985604	2	23	23	ACTUAL	0
NCT04995419	1	40	40	ACTUAL	0
NCT04996004	6	76	76	ACTUAL	0
NCT04999969	1	126	126	ACTUAL	0
NCT05004350	3	107	107	ACTUAL	0
NCT05014815	2	272	272	ACTUAL	0
